"sim_id","year","variable","sex","measure","TB_HIV_coinfection","value","in_confidence_interval","upper_rate","lower_rate","run_id"
9,2005,"Tb_inc_neg_female_Y_per_100k_female","Female","TB_incidence","no",396.183670113647,1,1327.657206,203.4008259,1
9,2017,"Tb_inc_neg_female_Y_per_100k_female","Female","TB_incidence","no",318.772312714209,1,1062.217888,294.7324592,1
10001,2005,"Tb_inc_neg_female_Y_per_100k_female","Female","TB_incidence","no",354.749377364533,1,1327.657206,203.4008259,1
10001,2017,"Tb_inc_neg_female_Y_per_100k_female","Female","TB_incidence","no",296.578216874527,1,1062.217888,294.7324592,1
10003,2005,"Tb_inc_neg_female_Y_per_100k_female","Female","TB_incidence","no",420.287315754315,1,1327.657206,203.4008259,1
10003,2017,"Tb_inc_neg_female_Y_per_100k_female","Female","TB_incidence","no",334.698090026436,1,1062.217888,294.7324592,1
10010,2005,"Tb_inc_neg_female_Y_per_100k_female","Female","TB_incidence","no",374.102305977267,1,1327.657206,203.4008259,1
10010,2017,"Tb_inc_neg_female_Y_per_100k_female","Female","TB_incidence","no",315.725077475451,1,1062.217888,294.7324592,1
10012,2005,"Tb_inc_neg_female_Y_per_100k_female","Female","TB_incidence","no",436.927668674902,1,1327.657206,203.4008259,1
10012,2017,"Tb_inc_neg_female_Y_per_100k_female","Female","TB_incidence","no",359.381529780313,1,1062.217888,294.7324592,1
1020,2005,"Tb_inc_neg_female_Y_per_100k_female","Female","TB_incidence","no",393.965322193738,1,1327.657206,203.4008259,1
1020,2017,"Tb_inc_neg_female_Y_per_100k_female","Female","TB_incidence","no",315.518175624022,1,1062.217888,294.7324592,1
10066,2005,"Tb_inc_neg_female_Y_per_100k_female","Female","TB_incidence","no",381.287394660084,1,1327.657206,203.4008259,1
10066,2017,"Tb_inc_neg_female_Y_per_100k_female","Female","TB_incidence","no",315.537701699883,1,1062.217888,294.7324592,1
10088,2005,"Tb_inc_neg_female_Y_per_100k_female","Female","TB_incidence","no",438.809456590362,1,1327.657206,203.4008259,1
10088,2017,"Tb_inc_neg_female_Y_per_100k_female","Female","TB_incidence","no",385.306729512417,1,1062.217888,294.7324592,1
10124,2005,"Tb_inc_neg_female_Y_per_100k_female","Female","TB_incidence","no",427.261954941428,1,1327.657206,203.4008259,1
10124,2017,"Tb_inc_neg_female_Y_per_100k_female","Female","TB_incidence","no",354.706799300227,1,1062.217888,294.7324592,1
1030,2005,"Tb_inc_neg_female_Y_per_100k_female","Female","TB_incidence","no",443.348203959759,1,1327.657206,203.4008259,1
1030,2017,"Tb_inc_neg_female_Y_per_100k_female","Female","TB_incidence","no",359.374477227806,1,1062.217888,294.7324592,1
10227,2005,"Tb_inc_neg_female_Y_per_100k_female","Female","TB_incidence","no",407.590949214222,1,1327.657206,203.4008259,1
10227,2017,"Tb_inc_neg_female_Y_per_100k_female","Female","TB_incidence","no",332.496425260714,1,1062.217888,294.7324592,1
10261,2005,"Tb_inc_neg_female_Y_per_100k_female","Female","TB_incidence","no",422.878451653826,1,1327.657206,203.4008259,1
10261,2017,"Tb_inc_neg_female_Y_per_100k_female","Female","TB_incidence","no",332.016019993298,1,1062.217888,294.7324592,1
10263,2005,"Tb_inc_neg_female_Y_per_100k_female","Female","TB_incidence","no",372.280156395619,1,1327.657206,203.4008259,1
10263,2017,"Tb_inc_neg_female_Y_per_100k_female","Female","TB_incidence","no",320.61089105234,1,1062.217888,294.7324592,1
10311,2005,"Tb_inc_neg_female_Y_per_100k_female","Female","TB_incidence","no",415.583111540437,1,1327.657206,203.4008259,1
10311,2017,"Tb_inc_neg_female_Y_per_100k_female","Female","TB_incidence","no",341.045098613627,1,1062.217888,294.7324592,1
10499,2005,"Tb_inc_neg_female_Y_per_100k_female","Female","TB_incidence","no",424.35653685246,1,1327.657206,203.4008259,1
10499,2017,"Tb_inc_neg_female_Y_per_100k_female","Female","TB_incidence","no",346.685584394884,1,1062.217888,294.7324592,1
10530,2005,"Tb_inc_neg_female_Y_per_100k_female","Female","TB_incidence","no",377.902018694507,1,1327.657206,203.4008259,1
10530,2017,"Tb_inc_neg_female_Y_per_100k_female","Female","TB_incidence","no",296.741966065,1,1062.217888,294.7324592,1
10620,2005,"Tb_inc_neg_female_Y_per_100k_female","Female","TB_incidence","no",411.87307573191,1,1327.657206,203.4008259,1
10620,2017,"Tb_inc_neg_female_Y_per_100k_female","Female","TB_incidence","no",352.868113411423,1,1062.217888,294.7324592,1
10670,2005,"Tb_inc_neg_female_Y_per_100k_female","Female","TB_incidence","no",429.631898953695,1,1327.657206,203.4008259,1
10670,2017,"Tb_inc_neg_female_Y_per_100k_female","Female","TB_incidence","no",359.205196837407,1,1062.217888,294.7324592,1
10706,2005,"Tb_inc_neg_female_Y_per_100k_female","Female","TB_incidence","no",388.230084149511,1,1327.657206,203.4008259,1
10706,2017,"Tb_inc_neg_female_Y_per_100k_female","Female","TB_incidence","no",308.400964023696,1,1062.217888,294.7324592,1
10714,2005,"Tb_inc_neg_female_Y_per_100k_female","Female","TB_incidence","no",415.907171280151,1,1327.657206,203.4008259,1
10714,2017,"Tb_inc_neg_female_Y_per_100k_female","Female","TB_incidence","no",352.603824325741,1,1062.217888,294.7324592,1
