"sim_id","year","variable","sex","measure","TB_HIV_coinfection","value","in_confidence_interval","upper_rate","lower_rate"
10010,2005,"Tb_inc_neg_female_Y_per_100k_female","Female","TB_incidence","no",359.79561649398,1,1327.657206,203.4008259
10010,2017,"Tb_inc_neg_female_Y_per_100k_female","Female","TB_incidence","no",307.267059420852,1,1062.217888,294.7324592
10012,2005,"Tb_inc_neg_female_Y_per_100k_female","Female","TB_incidence","no",419.898761566416,1,1327.657206,203.4008259
10012,2017,"Tb_inc_neg_female_Y_per_100k_female","Female","TB_incidence","no",349.581254500964,1,1062.217888,294.7324592
10088,2005,"Tb_inc_neg_female_Y_per_100k_female","Female","TB_incidence","no",408.785554411798,1,1327.657206,203.4008259
10088,2017,"Tb_inc_neg_female_Y_per_100k_female","Female","TB_incidence","no",366.700985276448,1,1062.217888,294.7324592
10124,2005,"Tb_inc_neg_female_Y_per_100k_female","Female","TB_incidence","no",397.119532019041,1,1327.657206,203.4008259
10124,2017,"Tb_inc_neg_female_Y_per_100k_female","Female","TB_incidence","no",334.527132045852,1,1062.217888,294.7324592
10129,2005,"Tb_inc_neg_female_Y_per_100k_female","Female","TB_incidence","no",431.412451938961,1,1327.657206,203.4008259
10129,2017,"Tb_inc_neg_female_Y_per_100k_female","Female","TB_incidence","no",352.908397571643,1,1062.217888,294.7324592
10158,2005,"Tb_inc_neg_female_Y_per_100k_female","Female","TB_incidence","no",345.675738710816,1,1327.657206,203.4008259
10158,2017,"Tb_inc_neg_female_Y_per_100k_female","Female","TB_incidence","no",302.056402256687,1,1062.217888,294.7324592
10233,2005,"Tb_inc_neg_female_Y_per_100k_female","Female","TB_incidence","no",418.954175285164,1,1327.657206,203.4008259
10233,2017,"Tb_inc_neg_female_Y_per_100k_female","Female","TB_incidence","no",347.578890446382,1,1062.217888,294.7324592
10261,2005,"Tb_inc_neg_female_Y_per_100k_female","Female","TB_incidence","no",396.026860137522,1,1327.657206,203.4008259
10261,2017,"Tb_inc_neg_female_Y_per_100k_female","Female","TB_incidence","no",315.928009841422,1,1062.217888,294.7324592
10263,2005,"Tb_inc_neg_female_Y_per_100k_female","Female","TB_incidence","no",347.156074167341,1,1327.657206,203.4008259
10263,2017,"Tb_inc_neg_female_Y_per_100k_female","Female","TB_incidence","no",303.728807349215,1,1062.217888,294.7324592
10442,2005,"Tb_inc_neg_female_Y_per_100k_female","Female","TB_incidence","no",367.9386743851,1,1327.657206,203.4008259
10442,2017,"Tb_inc_neg_female_Y_per_100k_female","Female","TB_incidence","no",311.201815797084,1,1062.217888,294.7324592
10499,2005,"Tb_inc_neg_female_Y_per_100k_female","Female","TB_incidence","no",393.797511023173,1,1327.657206,203.4008259
