,year,gender_name,G_compartment,year_gender,percent_hiv_compartment_2_eligible,art_coverage,POLICY_ID
1,1980,male,1,1980_male,0,0,1
2,1981,male,1,1981_male,0,0,1
3,1982,male,1,1982_male,0,0,1
4,1983,male,1,1983_male,0,0,1
5,1984,male,1,1984_male,0,0,1
6,1985,male,1,1985_male,0,0,1
7,1986,male,1,1986_male,0,0,1
8,1987,male,1,1987_male,0,0,1
9,1988,male,1,1988_male,0,0,1
10,1989,male,1,1989_male,0,0,1
11,1990,male,1,1990_male,0,0,1
12,1991,male,1,1991_male,0,0,1
13,1992,male,1,1992_male,0,0,1
14,1993,male,1,1993_male,0,0,1
15,1994,male,1,1994_male,0,0,1
16,1995,male,1,1995_male,0,0,1
17,1996,male,1,1996_male,0,0,1
18,1997,male,1,1997_male,0,0,1
19,1998,male,1,1998_male,0,0,1
20,1999,male,1,1999_male,0,0,1
21,2000,male,1,2000_male,0,0,1
22,2001,male,1,2001_male,0,0,1
23,2002,male,1,2002_male,0,0,1
24,2003,male,1,2003_male,0,0,1
25,2004,male,1,2004_male,0,0,1
26,2005,male,1,2005_male,0,0.068571429,1
27,2006,male,1,2006_male,0,0.102857143,1
28,2007,male,1,2007_male,0,0.137142857,1
29,2008,male,1,2008_male,0,0.171428571,1
30,2009,male,1,2009_male,0,0.205714286,1
31,2010,male,1,2010_male,0,0.24,1
32,2011,male,1,2011_male,0.477429587,0.274285714,1
33,2012,male,1,2012_male,0.462384341,0.308571429,1
34,2013,male,1,2013_male,0.453607214,0.342857143,1
35,2014,male,1,2014_male,0.449057673,0.377142857,1
36,2015,male,1,2015_male,0.451354761,0.411428571,1
37,2016,male,1,2016_male,1,0.445714286,1
38,2017,male,1,2017_male,1,0.48,1
39,2018,male,1,2018_male,1,0.48,1
40,1980,female,2,1980_female,0,0,1
41,1981,female,2,1981_female,0,0,1
42,1982,female,2,1982_female,0,0,1
43,1983,female,2,1983_female,0,0,1
44,1984,female,2,1984_female,0,0,1
45,1985,female,2,1985_female,0,0,1
46,1986,female,2,1986_female,0,0,1
47,1987,female,2,1987_female,0,0,1
48,1988,female,2,1988_female,0,0,1
49,1989,female,2,1989_female,0,0,1
50,1990,female,2,1990_female,0,0,1
51,1991,female,2,1991_female,0,0,1
52,1992,female,2,1992_female,0,0,1
53,1993,female,2,1993_female,0,0,1
54,1994,female,2,1994_female,0,0,1
55,1995,female,2,1995_female,0,0,1
56,1996,female,2,1996_female,0,0,1
57,1997,female,2,1997_female,0,0,1
58,1998,female,2,1998_female,0,0,1
59,1999,female,2,1999_female,0,0,1
60,2000,female,2,2000_female,0,0,1
61,2001,female,2,2001_female,0,0,1
62,2002,female,2,2002_female,0,0,1
63,2003,female,2,2003_female,0,0,1
64,2004,female,2,2004_female,0,0,1
65,2005,female,2,2005_female,0,0.098571429,1
66,2006,female,2,2006_female,0,0.147857143,1
67,2007,female,2,2007_female,0,0.197142857,1
68,2008,female,2,2008_female,0,0.246428571,1
69,2009,female,2,2009_female,0,0.295714286,1
70,2010,female,2,2010_female,0,0.345,1
71,2011,female,2,2011_female,0.435142719,0.394285714,1
72,2012,female,2,2012_female,0.395340616,0.443571429,1
73,2013,female,2,2013_female,0.363015732,0.492857143,1
74,2014,female,2,2014_female,0.334786506,0.542142857,1
75,2015,female,2,2015_female,0.320226621,0.591428571,1
76,2016,female,2,2016_female,1,0.640714286,1
77,2017,female,2,2017_female,1,0.69,1
78,2018,female,2,2018_female,1,0.69,1
79,2018,male,1,2018_male,1,0.82,2
80,2018,male,1,2018_male,1,0.82,3
81,2018,female,2,2018_female,1,0.83,2
82,2018,female,1,2018_female,1,0.83,3
