"TB_compartment","DR_compartment","HIV_compartment","G_compartment","tb_adj","dr_adj","hiv_adj","g_adj","total_adj","prop_of_pop"
1,1,1,1,0.5,1,0.97,0.48545013840006,0.235443317124029,0.235443317124029
1,1,1,2,0.5,1,0.962,0.51454986159994,0.247498483429571,0.247498483429571
1,1,2,1,0.5,1,0.03,0.48545013840006,0.00728175207600091,0.00728175207600091
1,1,2,2,0.5,1,0.038,0.51454986159994,0.00977644737039885,0.00977644737039885
1,1,3,1,0.5,1,0,0.48545013840006,0,0
1,1,3,2,0.5,1,0,0.51454986159994,0,0
1,1,4,1,0.5,1,0,0.48545013840006,0,0
1,1,4,2,0.5,1,0,0.51454986159994,0,0
1,2,1,1,0.5,0,0.97,0.48545013840006,0,0
1,2,1,2,0.5,0,0.962,0.51454986159994,0,0
1,2,2,1,0.5,0,0.03,0.48545013840006,0,0
1,2,2,2,0.5,0,0.038,0.51454986159994,0,0
1,2,3,1,0.5,0,0,0.48545013840006,0,0
1,2,3,2,0.5,0,0,0.51454986159994,0,0
1,2,4,1,0.5,0,0,0.48545013840006,0,0
1,2,4,2,0.5,0,0,0.51454986159994,0,0
2,1,1,1,0,0.963,0.97,0.48545013840006,0,0
2,1,1,2,0,0.963,0.962,0.51454986159994,0,0
2,1,2,1,0,0.963,0.03,0.48545013840006,0,0
2,1,2,2,0,0.963,0.038,0.51454986159994,0,0
2,1,3,1,0,0.963,0,0.48545013840006,0,0
2,1,3,2,0,0.963,0,0.51454986159994,0,0
2,1,4,1,0,0.963,0,0.48545013840006,0,0
2,1,4,2,0,0.963,0,0.51454986159994,0,0
2,2,1,1,0,0.037,0.97,0.48545013840006,0,0
2,2,1,2,0,0.037,0.962,0.51454986159994,0,0
2,2,2,1,0,0.037,0.03,0.48545013840006,0,0
2,2,2,2,0,0.037,0.038,0.51454986159994,0,0
2,2,3,1,0,0.037,0,0.48545013840006,0,0
2,2,3,2,0,0.037,0,0.51454986159994,0,0
2,2,4,1,0,0.037,0,0.48545013840006,0,0
2,2,4,2,0,0.037,0,0.51454986159994,0,0
3,1,1,1,0.02401,0.963,0.97,0.48545013840006,0.0108876665290289,0.0108876665290289
3,1,1,2,0.02401,0.963,0.962,0.51454986159994,0.0114451367188393,0.0114451367188393
3,1,2,1,0.02401,0.963,0.03,0.48545013840006,0.00033673195450605,0.00033673195450605
3,1,2,2,0.02401,0.963,0.038,0.51454986159994,0.00045209479762567,0.00045209479762567
3,1,3,1,0.02401,0.963,0,0.48545013840006,0,0
3,1,3,2,0.02401,0.963,0,0.51454986159994,0,0
3,1,4,1,0.02401,0.963,0,0.48545013840006,0,0
3,1,4,2,0.02401,0.963,0,0.51454986159994,0,0
3,2,1,1,0.02401,0.037,0.97,0.48545013840006,0.000418321559266948,0.000418321559266948
3,2,1,2,0.02401,0.037,0.962,0.51454986159994,0.000439740455448656,0.000439740455448656
3,2,2,1,0.02401,0.037,0.03,0.48545013840006,1.29377801835139e-05,1.29377801835139e-05
3,2,2,2,0.02401,0.037,0.038,0.51454986159994,1.73702051008825e-05,1.73702051008825e-05
3,2,3,1,0.02401,0.037,0,0.48545013840006,0,0
3,2,3,2,0.02401,0.037,0,0.51454986159994,0,0
3,2,4,1,0.02401,0.037,0,0.48545013840006,0,0
3,2,4,2,0.02401,0.037,0,0.51454986159994,0,0
4,1,1,1,0.46599,0.963,0.97,0.48545013840006,0.211309609573602,0.211309609573602
4,1,1,2,0.46599,0.963,0.962,0.51454986159994,0.222129082032984,0.222129082032984
4,1,2,1,0.46599,0.963,0.03,0.48545013840006,0.00653534874969904,0.00653534874969904
4,1,2,2,0.46599,0.963,0.038,0.51454986159994,0.00877432964371454,0.00877432964371454
4,1,3,1,0.46599,0.963,0,0.48545013840006,0,0
4,1,3,2,0.46599,0.963,0,0.51454986159994,0,0
4,1,4,1,0.46599,0.963,0,0.48545013840006,0,0
4,1,4,2,0.46599,0.963,0,0.51454986159994,0,0
4,2,1,1,0.46599,0.037,0.97,0.48545013840006,0.00811885311965035,0.00811885311965035
4,2,1,2,0.46599,0.037,0.962,0.51454986159994,0.00853455455370758,0.00853455455370758
4,2,2,1,0.46599,0.037,0.03,0.48545013840006,0.000251098550092279,0.000251098550092279
4,2,2,2,0.46599,0.037,0.038,0.51454986159994,0.00033712377654978,0.00033712377654978
4,2,3,1,0.46599,0.037,0,0.48545013840006,0,0
4,2,3,2,0.46599,0.037,0,0.51454986159994,0,0
4,2,4,1,0.46599,0.037,0,0.48545013840006,0,0
4,2,4,2,0.46599,0.037,0,0.51454986159994,0,0
5,1,1,1,0,0.963,0.97,0.48545013840006,0,0
5,1,1,2,0,0.963,0.962,0.51454986159994,0,0
5,1,2,1,0,0.963,0.03,0.48545013840006,0,0
5,1,2,2,0,0.963,0.038,0.51454986159994,0,0
5,1,3,1,0,0.963,0,0.48545013840006,0,0
5,1,3,2,0,0.963,0,0.51454986159994,0,0
5,1,4,1,0,0.963,0,0.48545013840006,0,0
5,1,4,2,0,0.963,0,0.51454986159994,0,0
5,2,1,1,0,0.037,0.97,0.48545013840006,0,0
5,2,1,2,0,0.037,0.962,0.51454986159994,0,0
5,2,2,1,0,0.037,0.03,0.48545013840006,0,0
5,2,2,2,0,0.037,0.038,0.51454986159994,0,0
5,2,3,1,0,0.037,0,0.48545013840006,0,0
5,2,3,2,0,0.037,0,0.51454986159994,0,0
5,2,4,1,0,0.037,0,0.48545013840006,0,0
5,2,4,2,0,0.037,0,0.51454986159994,0,0
6,1,1,1,0.01,0.963,0.97,0.48545013840006,0.0045346382878088,0.0045346382878088
6,1,1,2,0.01,0.963,0.962,0.51454986159994,0.00476682079085354,0.00476682079085354
6,1,2,1,0.01,0.963,0.03,0.48545013840006,0.000140246544983777,0.000140246544983777
6,1,2,2,0.01,0.963,0.038,0.51454986159994,0.000188294376353882,0.000188294376353882
6,1,3,1,0.01,0.963,0,0.48545013840006,0,0
6,1,3,2,0.01,0.963,0,0.51454986159994,0,0
6,1,4,1,0.01,0.963,0,0.48545013840006,0,0
6,1,4,2,0.01,0.963,0,0.51454986159994,0,0
6,2,1,1,0.01,0.037,0.97,0.48545013840006,0.000174228054671782,0.000174228054671782
6,2,1,2,0.01,0.037,0.962,0.51454986159994,0.000183148877737882,0.000183148877737882
6,2,2,1,0.01,0.037,0.03,0.48545013840006,5.38849653624067e-06,5.38849653624067e-06
6,2,2,2,0.01,0.037,0.038,0.51454986159994,7.23457105409515e-06,7.23457105409515e-06
6,2,3,1,0.01,0.037,0,0.48545013840006,0,0
6,2,3,2,0.01,0.037,0,0.51454986159994,0,0
6,2,4,1,0.01,0.037,0,0.48545013840006,0,0
6,2,4,2,0.01,0.037,0,0.51454986159994,0,0
7,1,1,1,0,0.963,0.97,0.48545013840006,0,0
7,1,1,2,0,0.963,0.962,0.51454986159994,0,0
7,1,2,1,0,0.963,0.03,0.48545013840006,0,0
7,1,2,2,0,0.963,0.038,0.51454986159994,0,0
7,1,3,1,0,0.963,0,0.48545013840006,0,0
7,1,3,2,0,0.963,0,0.51454986159994,0,0
7,1,4,1,0,0.963,0,0.48545013840006,0,0
7,1,4,2,0,0.963,0,0.51454986159994,0,0
7,2,1,1,0,0.037,0.97,0.48545013840006,0,0
7,2,1,2,0,0.037,0.962,0.51454986159994,0,0
7,2,2,1,0,0.037,0.03,0.48545013840006,0,0
7,2,2,2,0,0.037,0.038,0.51454986159994,0,0
7,2,3,1,0,0.037,0,0.48545013840006,0,0
7,2,3,2,0,0.037,0,0.51454986159994,0,0
7,2,4,1,0,0.037,0,0.48545013840006,0,0
7,2,4,2,0,0.037,0,0.51454986159994,0,0
8,1,1,1,0,0.963,0.97,0.48545013840006,0,0
8,1,1,2,0,0.963,0.962,0.51454986159994,0,0
8,1,2,1,0,0.963,0.03,0.48545013840006,0,0
8,1,2,2,0,0.963,0.038,0.51454986159994,0,0
8,1,3,1,0,0.963,0,0.48545013840006,0,0
8,1,3,2,0,0.963,0,0.51454986159994,0,0
8,1,4,1,0,0.963,0,0.48545013840006,0,0
8,1,4,2,0,0.963,0,0.51454986159994,0,0
8,2,1,1,0,0.037,0.97,0.48545013840006,0,0
8,2,1,2,0,0.037,0.962,0.51454986159994,0,0
8,2,2,1,0,0.037,0.03,0.48545013840006,0,0
8,2,2,2,0,0.037,0.038,0.51454986159994,0,0
8,2,3,1,0,0.037,0,0.48545013840006,0,0
8,2,3,2,0,0.037,0,0.51454986159994,0,0
8,2,4,1,0,0.037,0,0.48545013840006,0,0
8,2,4,2,0,0.037,0,0.51454986159994,0,0
