"","year","TB_compartment","DR_compartment","HIV_compartment","G_compartment","pop_estimate","total_pop","prop_of_pop"
"1",1990,1,1,1,1,222291.026237034,881622.039850264,0.252138690038634
"2",1990,1,1,1,2,232632.188363829,881622.039850264,0.26386839013614
"3",1990,1,1,2,1,357.467487398795,881622.039850264,0.000405465688516031
"4",1990,1,1,2,2,2876.20826200163,881622.039850264,0.00326240512599949
"5",1990,1,1,3,1,0,881622.039850264,0
"6",1990,1,1,3,2,0,881622.039850264,0
"7",1990,1,1,4,1,0,881622.039850264,0
"8",1990,1,1,4,2,0,881622.039850264,0
"9",1990,1,2,1,1,0,881622.039850264,0
"10",1990,1,2,1,2,0,881622.039850264,0
"11",1990,1,2,2,1,0,881622.039850264,0
"12",1990,1,2,2,2,0,881622.039850264,0
"13",1990,1,2,3,1,0,881622.039850264,0
"14",1990,1,2,3,2,0,881622.039850264,0
"15",1990,1,2,4,1,0,881622.039850264,0
"16",1990,1,2,4,2,0,881622.039850264,0
"17",1990,2,1,1,1,0,881622.039850264,0
"18",1990,2,1,1,2,0,881622.039850264,0
"19",1990,2,1,2,1,0,881622.039850264,0
"20",1990,2,1,2,2,0,881622.039850264,0
"21",1990,2,1,3,1,0,881622.039850264,0
"22",1990,2,1,3,2,0,881622.039850264,0
"23",1990,2,1,4,1,0,881622.039850264,0
"24",1990,2,1,4,2,0,881622.039850264,0
"25",1990,2,2,1,1,0,881622.039850264,0
"26",1990,2,2,1,2,0,881622.039850264,0
"27",1990,2,2,2,1,0,881622.039850264,0
"28",1990,2,2,2,2,0,881622.039850264,0
"29",1990,2,2,3,1,0,881622.039850264,0
"30",1990,2,2,3,2,0,881622.039850264,0
"31",1990,2,2,4,1,0,881622.039850264,0
"32",1990,2,2,4,2,0,881622.039850264,0
"33",1990,3,1,1,1,196267.219923134,881622.039850264,0.222620591423133
"34",1990,3,1,1,2,209052.886282396,881622.039850264,0.237123026459163
"35",1990,3,1,2,1,315.618453665589,881622.039850264,0.000357997463084287
"36",1990,3,1,2,2,2584.67945880443,881622.039850264,0.0029317319009441
"37",1990,3,1,3,1,0,881622.039850264,0
"38",1990,3,1,3,2,0,881622.039850264,0
"39",1990,3,1,4,1,0,881622.039850264,0
"40",1990,3,1,4,2,0,881622.039850264,0
"41",1990,3,2,1,1,7329.48124194278,881622.039850264,0.00831363204484728
"42",1990,3,2,1,2,7806.95425950855,881622.039850264,0.00885521675573638
"43",1990,3,2,2,1,11.7865812572212,881622.039850264,1.33691998662182e-05
"44",1990,3,2,2,2,96.5232992914519,881622.039850264,0.000109483763935672
"45",1990,3,2,3,1,0,881622.039850264,0
"46",1990,3,2,3,2,0,881622.039850264,0
"47",1990,3,2,4,1,0,881622.039850264,0
"48",1990,3,2,4,2,0,881622.039850264,0
"49",1990,4,1,1,1,0,881622.039850264,0
"50",1990,4,1,1,2,0,881622.039850264,0
"51",1990,4,1,2,1,0,881622.039850264,0
"52",1990,4,1,2,2,0,881622.039850264,0
"53",1990,4,1,3,1,0,881622.039850264,0
"54",1990,4,1,3,2,0,881622.039850264,0
"55",1990,4,1,4,1,0,881622.039850264,0
"56",1990,4,1,4,2,0,881622.039850264,0
"57",1990,4,2,1,1,0,881622.039850264,0
"58",1990,4,2,1,2,0,881622.039850264,0
"59",1990,4,2,2,1,0,881622.039850264,0
"60",1990,4,2,2,2,0,881622.039850264,0
"61",1990,4,2,3,1,0,881622.039850264,0
"62",1990,4,2,3,2,0,881622.039850264,0
"63",1990,4,2,4,1,0,881622.039850264,0
"64",1990,4,2,4,2,0,881622.039850264,0
"65",1990,5,1,1,1,0,881622.039850264,0
"66",1990,5,1,1,2,0,881622.039850264,0
"67",1990,5,1,2,1,0,881622.039850264,0
"68",1990,5,1,2,2,0,881622.039850264,0
"69",1990,5,1,3,1,0,881622.039850264,0
"70",1990,5,1,3,2,0,881622.039850264,0
"71",1990,5,1,4,1,0,881622.039850264,0
"72",1990,5,1,4,2,0,881622.039850264,0
"73",1990,5,2,1,1,0,881622.039850264,0
"74",1990,5,2,1,2,0,881622.039850264,0
"75",1990,5,2,2,1,0,881622.039850264,0
"76",1990,5,2,2,2,0,881622.039850264,0
"77",1990,5,2,3,1,0,881622.039850264,0
"78",1990,5,2,3,2,0,881622.039850264,0
"79",1990,5,2,4,1,0,881622.039850264,0
"80",1990,5,2,4,2,0,881622.039850264,0
"81",1990,6,1,1,1,0,881622.039850264,0
"82",1990,6,1,1,2,0,881622.039850264,0
"83",1990,6,1,2,1,0,881622.039850264,0
"84",1990,6,1,2,2,0,881622.039850264,0
"85",1990,6,1,3,1,0,881622.039850264,0
"86",1990,6,1,3,2,0,881622.039850264,0
"87",1990,6,1,4,1,0,881622.039850264,0
"88",1990,6,1,4,2,0,881622.039850264,0
"89",1990,6,2,1,1,0,881622.039850264,0
"90",1990,6,2,1,2,0,881622.039850264,0
"91",1990,6,2,2,1,0,881622.039850264,0
"92",1990,6,2,2,2,0,881622.039850264,0
"93",1990,6,2,3,1,0,881622.039850264,0
"94",1990,6,2,3,2,0,881622.039850264,0
"95",1990,6,2,4,1,0,881622.039850264,0
"96",1990,6,2,4,2,0,881622.039850264,0
"97",1990,7,1,1,1,0,881622.039850264,0
"98",1990,7,1,1,2,0,881622.039850264,0
"99",1990,7,1,2,1,0,881622.039850264,0
"100",1990,7,1,2,2,0,881622.039850264,0
"101",1990,7,1,3,1,0,881622.039850264,0
"102",1990,7,1,3,2,0,881622.039850264,0
"103",1990,7,1,4,1,0,881622.039850264,0
"104",1990,7,1,4,2,0,881622.039850264,0
"105",1990,7,2,1,1,0,881622.039850264,0
"106",1990,7,2,1,2,0,881622.039850264,0
"107",1990,7,2,2,1,0,881622.039850264,0
"108",1990,7,2,2,2,0,881622.039850264,0
"109",1990,7,2,3,1,0,881622.039850264,0
"110",1990,7,2,3,2,0,881622.039850264,0
"111",1990,7,2,4,1,0,881622.039850264,0
"112",1990,7,2,4,2,0,881622.039850264,0
