"TB_compartment","DR_compartment","G_compartment","total_pop","HIV_compartment","compartment_id","dcompartment_id"
1,1,1,23447.7655223448,1,"N_1_1_1_1","dN_1_1_1_1"
1,1,2,26546.7345326547,1,"N_1_1_1_2","dN_1_1_1_2"
1,1,1,0,2,"N_1_1_2_1","dN_1_1_2_1"
1,1,2,0,2,"N_1_1_2_2","dN_1_1_2_2"
1,1,1,0,3,"N_1_1_3_1","dN_1_1_3_1"
1,1,2,0,3,"N_1_1_3_2","dN_1_1_3_2"
1,1,1,0,4,"N_1_1_4_1","dN_1_1_4_1"
1,1,2,0,4,"N_1_1_4_2","dN_1_1_4_2"
1,2,1,0,1,"N_1_2_1_1","dN_1_2_1_1"
1,2,2,0,1,"N_1_2_1_2","dN_1_2_1_2"
1,2,1,0,2,"N_1_2_2_1","dN_1_2_2_1"
1,2,2,0,2,"N_1_2_2_2","dN_1_2_2_2"
1,2,1,0,3,"N_1_2_3_1","dN_1_2_3_1"
1,2,2,0,3,"N_1_2_3_2","dN_1_2_3_2"
1,2,1,0,4,"N_1_2_4_1","dN_1_2_4_1"
1,2,2,0,4,"N_1_2_4_2","dN_1_2_4_2"
2,1,1,0,1,"N_2_1_1_1","dN_2_1_1_1"
2,1,2,0,1,"N_2_1_1_2","dN_2_1_1_2"
2,1,1,0,2,"N_2_1_2_1","dN_2_1_2_1"
2,1,2,0,2,"N_2_1_2_2","dN_2_1_2_2"
2,1,1,0,3,"N_2_1_3_1","dN_2_1_3_1"
2,1,2,0,3,"N_2_1_3_2","dN_2_1_3_2"
2,1,1,0,4,"N_2_1_4_1","dN_2_1_4_1"
2,1,2,0,4,"N_2_1_4_2","dN_2_1_4_2"
2,2,1,0,1,"N_2_2_1_1","dN_2_2_1_1"
2,2,2,0,1,"N_2_2_1_2","dN_2_2_1_2"
2,2,1,0,2,"N_2_2_2_1","dN_2_2_2_1"
2,2,2,0,2,"N_2_2_2_2","dN_2_2_2_2"
2,2,1,0,3,"N_2_2_3_1","dN_2_2_3_1"
2,2,2,0,3,"N_2_2_3_2","dN_2_2_3_2"
2,2,1,0,4,"N_2_2_4_1","dN_2_2_4_1"
2,2,2,0,4,"N_2_2_4_2","dN_2_2_4_2"
3,1,1,1079.989200108,1,"N_3_1_1_1","dN_3_1_1_1"
3,1,2,1229.987700123,1,"N_3_1_1_2","dN_3_1_1_2"
3,1,1,0,2,"N_3_1_2_1","dN_3_1_2_1"
3,1,2,0,2,"N_3_1_2_2","dN_3_1_2_2"
3,1,1,0,3,"N_3_1_3_1","dN_3_1_3_1"
3,1,2,0,3,"N_3_1_3_2","dN_3_1_3_2"
3,1,1,0,4,"N_3_1_4_1","dN_3_1_4_1"
3,1,2,0,4,"N_3_1_4_2","dN_3_1_4_2"
3,2,1,39.999600004,1,"N_3_2_1_1","dN_3_2_1_1"
3,2,2,49.9995000049999,1,"N_3_2_1_2","dN_3_2_1_2"
3,2,1,0,2,"N_3_2_2_1","dN_3_2_2_1"
3,2,2,0,2,"N_3_2_2_2","dN_3_2_2_2"
3,2,1,0,3,"N_3_2_3_1","dN_3_2_3_1"
3,2,2,0,3,"N_3_2_3_2","dN_3_2_3_2"
3,2,1,0,4,"N_3_2_4_1","dN_3_2_4_1"
3,2,2,0,4,"N_3_2_4_2","dN_3_2_4_2"
4,1,1,21047.7895221048,1,"N_4_1_1_1","dN_4_1_1_1"
4,1,2,23827.7617223828,1,"N_4_1_1_2","dN_4_1_1_2"
4,1,1,0,2,"N_4_1_2_1","dN_4_1_2_1"
4,1,2,0,2,"N_4_1_2_2","dN_4_1_2_2"
4,1,1,0,3,"N_4_1_3_1","dN_4_1_3_1"
4,1,2,0,3,"N_4_1_3_2","dN_4_1_3_2"
4,1,1,0,4,"N_4_1_4_1","dN_4_1_4_1"
4,1,2,0,4,"N_4_1_4_2","dN_4_1_4_2"
4,2,1,809.991900080999,1,"N_4_2_1_1","dN_4_2_1_1"
4,2,2,919.990800091999,1,"N_4_2_1_2","dN_4_2_1_2"
4,2,1,0,2,"N_4_2_2_1","dN_4_2_2_1"
4,2,2,0,2,"N_4_2_2_2","dN_4_2_2_2"
4,2,1,0,3,"N_4_2_3_1","dN_4_2_3_1"
4,2,2,0,3,"N_4_2_3_2","dN_4_2_3_2"
4,2,1,0,4,"N_4_2_4_1","dN_4_2_4_1"
4,2,2,0,4,"N_4_2_4_2","dN_4_2_4_2"
5,1,1,0,1,"N_5_1_1_1","dN_5_1_1_1"
5,1,2,0,1,"N_5_1_1_2","dN_5_1_1_2"
5,1,1,0,2,"N_5_1_2_1","dN_5_1_2_1"
5,1,2,0,2,"N_5_1_2_2","dN_5_1_2_2"
5,1,1,0,3,"N_5_1_3_1","dN_5_1_3_1"
5,1,2,0,3,"N_5_1_3_2","dN_5_1_3_2"
5,1,1,0,4,"N_5_1_4_1","dN_5_1_4_1"
