measure,location,sex,age,cause,metric,year,val,upper,lower
Prevalence,485,Male,15 to 19,HIV/AIDS,Number,1992,1761.900477613381,3495.743777468627,763.1683543734829
Prevalence,485,Female,15 to 19,HIV/AIDS,Number,1992,14513.426601491656,23053.112895742008,9022.031627124603
Prevalence,485,Male,20 to 24,HIV/AIDS,Number,1992,3874.470994763878,7366.441147197651,2119.979881393651
Prevalence,485,Female,20 to 24,HIV/AIDS,Number,1992,18911.56430815673,27455.49078352564,12322.206409919756
Prevalence,485,Male,25 to 29,HIV/AIDS,Number,1992,9558.392463373979,13616.700676527013,6730.175877753548
Prevalence,485,Female,25 to 29,HIV/AIDS,Number,1992,18681.047220799264,24934.44195932587,13618.872704557582
Prevalence,485,Male,30 to 34,HIV/AIDS,Number,1992,11160.162968535516,15686.28810311808,7474.613585982826
Prevalence,485,Female,30 to 34,HIV/AIDS,Number,1992,11073.262913043773,15886.670949138954,7578.2238293417195
Prevalence,485,Male,35 to 39,HIV/AIDS,Number,1992,9182.950846343236,13659.250828646844,5980.178840760647
Prevalence,485,Female,35 to 39,HIV/AIDS,Number,1992,7491.265985461261,10402.602120620964,5218.847990187678
Prevalence,485,Male,40 to 44,HIV/AIDS,Number,1992,4885.849203606826,7429.863855558924,3103.6136740604593
Prevalence,485,Female,40 to 44,HIV/AIDS,Number,1992,5038.110364368534,6953.80721566949,3403.696064198431
Prevalence,485,Male,45 to 49,HIV/AIDS,Number,1992,2485.925618467776,3793.7326088828654,1570.8537467905262
Prevalence,485,Female,45 to 49,HIV/AIDS,Number,1992,3352.4903327895768,4723.67400746862,2367.5570250873584
Prevalence,485,Male,50 to 54,HIV/AIDS,Number,1992,1516.8183681059297,2442.5901374293935,883.9857164730358
Prevalence,485,Female,50 to 54,HIV/AIDS,Number,1992,2253.7540692174593,3272.505271644411,1502.224394229336
Prevalence,485,Male,55 to 59,HIV/AIDS,Number,1992,845.644420146986,1358.8365261778063,502.9115855997938
Prevalence,485,Female,55 to 59,HIV/AIDS,Number,1992,1328.3546377853959,1912.320090956127,898.2694466674187
Prevalence,485,Male,15 to 19,HIV/AIDS,Number,1990,676.0092587006437,1306.5375731556342,334.9143155570861
Prevalence,485,Female,15 to 19,HIV/AIDS,Number,1990,5622.347054813097,8724.851247910066,3547.107910547379
Prevalence,485,Male,20 to 24,HIV/AIDS,Number,1990,1462.8860292771217,2704.3673588526462,832.3440545828245
Prevalence,485,Female,20 to 24,HIV/AIDS,Number,1990,7115.353721425808,10599.061420818476,4571.321277139541
Prevalence,485,Male,25 to 29,HIV/AIDS,Number,1990,3671.8914767981796,5132.378628513967,2561.0735752468904
Prevalence,485,Female,25 to 29,HIV/AIDS,Number,1990,6980.080518340049,9785.45373719697,4893.2415582339545
Prevalence,485,Male,30 to 34,HIV/AIDS,Number,1990,4199.376440333875,6061.288364903214,2794.1481789903823
Prevalence,485,Female,30 to 34,HIV/AIDS,Number,1990,3997.685664378198,5765.189890528524,2667.8844672250234
Prevalence,485,Male,35 to 39,HIV/AIDS,Number,1990,3428.5011008935653,5062.53065304464,2230.621365885404
Prevalence,485,Female,35 to 39,HIV/AIDS,Number,1990,2703.335539012673,3800.0711143871786,1840.4961185166198
Prevalence,485,Male,40 to 44,HIV/AIDS,Number,1990,1735.8832135758705,2608.135230130825,1102.097105922908
Prevalence,485,Female,40 to 44,HIV/AIDS,Number,1990,1863.5267214122753,2647.3365219074867,1226.2972277785732
Prevalence,485,Male,45 to 49,HIV/AIDS,Number,1990,927.3841291518296,1405.724809911032,591.8706799585614
Prevalence,485,Female,45 to 49,HIV/AIDS,Number,1990,1229.6579242290336,1711.15966020814,852.5772136215107
Prevalence,485,Male,50 to 54,HIV/AIDS,Number,1990,553.7808483139472,873.6397577760719,337.3094059891598
Prevalence,485,Female,50 to 54,HIV/AIDS,Number,1990,826.3705463356359,1199.9893783629798,555.8056511717467
Prevalence,485,Male,55 to 59,HIV/AIDS,Number,1990,332.28685244681117,515.8545430939794,205.2116442414635
Prevalence,485,Female,55 to 59,HIV/AIDS,Number,1990,503.8137510298165,720.9802873195721,340.62566374091625
Prevalence,485,Male,15 to 19,HIV/AIDS,Number,1991,1114.3624843476714,2203.119320733959,518.4891046485081
Prevalence,485,Female,15 to 19,HIV/AIDS,Number,1991,9242.044996188008,14495.54425823882,5752.412939335946
Prevalence,485,Male,20 to 24,HIV/AIDS,Number,1991,2408.123245535616,4363.351869529716,1353.0762910238145
Prevalence,485,Female,20 to 24,HIV/AIDS,Number,1991,11747.448950952477,17246.262191638885,7685.477768307096
Prevalence,485,Male,25 to 29,HIV/AIDS,Number,1991,6025.43958887364,8401.196025767495,4275.249253146802
Prevalence,485,Female,25 to 29,HIV/AIDS,Number,1991,11588.022650629524,15717.667076003909,8338.057435871888
Prevalence,485,Male,30 to 34,HIV/AIDS,Number,1991,6953.0729474603995,9865.747706376551,4607.367861497404
Prevalence,485,Female,30 to 34,HIV/AIDS,Number,1991,6701.66163519967,9683.418233018638,4556.3446992572635
Prevalence,485,Male,35 to 39,HIV/AIDS,Number,1991,5693.020246037197,8321.771819388567,3685.643784395063
Prevalence,485,Female,35 to 39,HIV/AIDS,Number,1991,4538.9202812289805,6368.22366362414,3124.846122727729
Prevalence,485,Male,40 to 44,HIV/AIDS,Number,1991,2948.494298367093,4375.756666928023,1872.542824030727
Prevalence,485,Female,40 to 44,HIV/AIDS,Number,1991,3079.790713647231,4319.806982832801,2059.215141883263
Prevalence,485,Male,45 to 49,HIV/AIDS,Number,1991,1530.8476701975035,2370.874422259025,970.3414492220265
Prevalence,485,Female,45 to 49,HIV/AIDS,Number,1991,2048.441093425993,2815.4454330320036,1459.9366051658958
Prevalence,485,Male,50 to 54,HIV/AIDS,Number,1991,924.2564217674544,1459.4404825411839,552.5699812004752
Prevalence,485,Female,50 to 54,HIV/AIDS,Number,1991,1381.384481904028,1976.704458108481,914.2024313761168
Prevalence,485,Male,55 to 59,HIV/AIDS,Number,1991,529.4055398886995,829.7263045678947,320.6133638816343
Prevalence,485,Female,55 to 59,HIV/AIDS,Number,1991,823.6469625340675,1182.9753418474195,558.097641155817
Prevalence,485,Male,15 to 19,HIV/AIDS,Number,1993,2648.707707419767,5428.069370515143,1082.6207987358987
Prevalence,485,Female,15 to 19,HIV/AIDS,Number,1993,21642.472192106306,35193.13157144511,13211.421912454834
Prevalence,485,Male,20 to 24,HIV/AIDS,Number,1993,6011.06873415022,11475.163520921184,3288.2417935485905
Prevalence,485,Female,20 to 24,HIV/AIDS,Number,1993,29346.395070661805,42471.412814652176,19174.67704483843
Prevalence,485,Male,25 to 29,HIV/AIDS,Number,1993,14530.5555800845,20931.7376824198,10041.260475590625
Prevalence,485,Female,25 to 29,HIV/AIDS,Number,1993,28867.734216644363,38569.3197682403,21176.31835857214
Prevalence,485,Male,30 to 34,HIV/AIDS,Number,1993,17220.570998035404,24683.910463259155,11496.13988529451
Prevalence,485,Female,30 to 34,HIV/AIDS,Number,1993,17669.497698256986,25333.018267416013,12216.879423482595
Prevalence,485,Male,35 to 39,HIV/AIDS,Number,1993,14287.665574744156,21036.484592011344,9384.749271491022
Prevalence,485,Female,35 to 39,HIV/AIDS,Number,1993,11922.392615536288,16381.21869154337,8332.563216091372
Prevalence,485,Male,40 to 44,HIV/AIDS,Number,1993,7775.791195676385,11763.96471695575,4971.407825564839
Prevalence,485,Female,40 to 44,HIV/AIDS,Number,1993,8000.083197062382,11017.61358568378,5449.076794720879
Prevalence,485,Male,45 to 49,HIV/AIDS,Number,1993,3934.9145383519344,6124.490599754905,2471.3225705070968
Prevalence,485,Female,45 to 49,HIV/AIDS,Number,1993,5307.227481768248,7496.062637954277,3721.157403888354
Prevalence,485,Male,50 to 54,HIV/AIDS,Number,1993,2396.00526701092,3903.693755727716,1375.7563520892209
Prevalence,485,Female,50 to 54,HIV/AIDS,Number,1993,3508.847751625732,5175.383565274768,2358.8932596616146
Prevalence,485,Male,55 to 59,HIV/AIDS,Number,1993,1326.8798356341426,2136.458514944008,776.5468682860494
Prevalence,485,Female,55 to 59,HIV/AIDS,Number,1993,2094.8924356505104,3052.4448150234334,1425.6599579854026
Prevalence,485,Male,15 to 19,HIV/AIDS,Number,1994,3763.0590160471293,7857.239538046284,1427.2125944974418
Prevalence,485,Female,15 to 19,HIV/AIDS,Number,1994,30487.790896498293,49414.73975567256,18399.063573363055
Prevalence,485,Male,20 to 24,HIV/AIDS,Number,1994,8893.5249422655,16693.868410358995,4852.650673192563
Prevalence,485,Female,20 to 24,HIV/AIDS,Number,1994,43401.96131736672,61934.015033016396,28673.563676684767
Prevalence,485,Male,25 to 29,HIV/AIDS,Number,1994,20978.147031198256,30649.15142744542,14340.9593247183
Prevalence,485,Female,25 to 29,HIV/AIDS,Number,1994,42349.233578220104,55554.405678232375,31603.576187972812
Prevalence,485,Male,30 to 34,HIV/AIDS,Number,1994,25282.76325113515,36435.065985152374,16903.73146347929
Prevalence,485,Female,30 to 34,HIV/AIDS,Number,1994,26870.044676074802,38255.797840645966,18761.21970715654
Prevalence,485,Male,35 to 39,HIV/AIDS,Number,1994,21221.731941467067,31225.79150500995,14012.051264714697
Prevalence,485,Female,35 to 39,HIV/AIDS,Number,1994,18078.68938725662,24550.294624094953,12847.792175591172
Prevalence,485,Male,40 to 44,HIV/AIDS,Number,1994,11770.43246228094,17767.727693939916,7485.761278335334
Prevalence,485,Female,40 to 44,HIV/AIDS,Number,1994,12213.120063835759,16565.371819569318,8511.908944687353
Prevalence,485,Male,45 to 49,HIV/AIDS,Number,1994,6003.32445286378,9472.13237107688,3763.8470663095254
Prevalence,485,Female,45 to 49,HIV/AIDS,Number,1994,8013.679461914867,11220.750689870663,5621.342798278248
Prevalence,485,Male,50 to 54,HIV/AIDS,Number,1994,3588.2400086864686,5981.4422841153955,2042.5023205401442
Prevalence,485,Female,50 to 54,HIV/AIDS,Number,1994,5161.171333787682,7576.87449963579,3446.851671021238
Prevalence,485,Male,55 to 59,HIV/AIDS,Number,1994,2012.1527661828452,3322.5849632477157,1179.2650574448267
Prevalence,485,Female,55 to 59,HIV/AIDS,Number,1994,3169.6154392256585,4633.8874318808885,2141.122914850487
Prevalence,485,Male,15 to 19,HIV/AIDS,Number,1996,6407.715014807716,13855.955658713458,2231.316871052249
Prevalence,485,Female,15 to 19,HIV/AIDS,Number,1996,50701.155176500615,78691.23767320918,31302.590042472468
