measure,location,sex,age,cause,metric,year,val,upper,lower
Incidence,485,Male,15 to 19,Drug-susceptible tuberculosis,Number,1991,843.6128823815055,1249.0701701202393,513.8130294093849
Incidence,485,Female,15 to 19,Drug-susceptible tuberculosis,Number,1991,2247.615796074192,3668.0205153220095,1085.7854892332916
Incidence,485,Male,20 to 24,Drug-susceptible tuberculosis,Number,1991,779.3546734870324,1190.423042226669,405.2846506552455
Incidence,485,Female,20 to 24,Drug-susceptible tuberculosis,Number,1991,2942.835329573415,4454.328515405713,1387.3674068846135
Incidence,485,Male,25 to 29,Drug-susceptible tuberculosis,Number,1991,1176.9388798459377,1948.3353264527411,612.6844988151706
Incidence,485,Female,25 to 29,Drug-susceptible tuberculosis,Number,1991,2920.2206329536607,4518.006705332906,1532.7397156373743
Incidence,485,Male,30 to 34,Drug-susceptible tuberculosis,Number,1991,1288.5082187090948,2122.1847980593175,650.9627149723162
Incidence,485,Female,30 to 34,Drug-susceptible tuberculosis,Number,1991,2536.3244870365747,3946.4223073088915,1472.9369509193734
Incidence,485,Male,35 to 39,Drug-susceptible tuberculosis,Number,1991,1094.4504807436447,1745.4374920211087,550.237087362441
Incidence,485,Female,35 to 39,Drug-susceptible tuberculosis,Number,1991,1392.2064159364998,2127.6685055597727,689.0220284467297
Incidence,485,Male,40 to 44,Drug-susceptible tuberculosis,Number,1991,1145.291278796885,1680.7974539738798,601.6065044578067
Incidence,485,Female,40 to 44,Drug-susceptible tuberculosis,Number,1991,783.0821791652738,1218.336378428108,393.1274123081877
Incidence,485,Male,45 to 49,Drug-susceptible tuberculosis,Number,1991,778.8909259750599,1170.4810994641002,444.6573623648619
Incidence,485,Female,45 to 49,Drug-susceptible tuberculosis,Number,1991,415.09620146681846,692.849962916681,185.7477988136545
Incidence,485,Male,50 to 54,Drug-susceptible tuberculosis,Number,1991,575.6405525098154,845.1210890668378,344.09080018125127
Incidence,485,Female,50 to 54,Drug-susceptible tuberculosis,Number,1991,274.4472759717492,478.9795209632635,120.42064373060147
Incidence,485,Male,55 to 59,Drug-susceptible tuberculosis,Number,1991,427.3058468795329,607.0720113416102,278.3216040780884
Incidence,485,Female,55 to 59,Drug-susceptible tuberculosis,Number,1991,222.71045947724866,359.3358605480164,113.05707228353103
Incidence,485,Male,15 to 19,Multidrug-resistant tuberculosis without extensive drug resistance,Number,1991,4.2354956013464555,16.086100418658138,0.23716733126962022
Incidence,485,Female,15 to 19,Multidrug-resistant tuberculosis without extensive drug resistance,Number,1991,11.216700742569314,48.63136385818251,0.563867720546694
Incidence,485,Male,20 to 24,Multidrug-resistant tuberculosis without extensive drug resistance,Number,1991,4.065899123364624,17.032271167956385,0.21128838811784348
Incidence,485,Female,20 to 24,Multidrug-resistant tuberculosis without extensive drug resistance,Number,1991,16.388602941750374,67.37851373614679,0.8060468294483785
Incidence,485,Male,25 to 29,Multidrug-resistant tuberculosis without extensive drug resistance,Number,1991,5.9874700229526665,23.888824939997896,0.3148580340667367
Incidence,485,Female,25 to 29,Multidrug-resistant tuberculosis without extensive drug resistance,Number,1991,14.90937746786202,60.35399108998925,0.778555783309429
Incidence,485,Male,30 to 34,Multidrug-resistant tuberculosis without extensive drug resistance,Number,1991,6.51260159345452,26.423830376585734,0.3172305536171182
Incidence,485,Female,30 to 34,Multidrug-resistant tuberculosis without extensive drug resistance,Number,1991,12.733420423067667,51.955493813130666,0.6767192774668961
Incidence,485,Male,35 to 39,Multidrug-resistant tuberculosis without extensive drug resistance,Number,1991,5.402364438565133,24.40614268198448,0.2634983868871823
Incidence,485,Female,35 to 39,Multidrug-resistant tuberculosis without extensive drug resistance,Number,1991,7.1054263438494925,31.527886466299,0.33703071908612836
