"year","sex","expected_total_pop"
1990,"Female",2316262.29898367
1990,"Male",2002558.34270953
1991,"Female",2375407.20881496
1991,"Male",2054928.49298671
1992,"Female",2435274.17160332
1992,"Male",2107349.72549214
1993,"Female",2495522.46114969
1993,"Male",2160314.60459497
1994,"Female",2557067.1979194
1994,"Male",2213914.83048745
1995,"Female",2619617.1648871
1995,"Male",2268620.82474264
1996,"Female",2685372.29051526
1996,"Male",2326526.89880064
1997,"Female",2754339.35617875
1997,"Male",2385511.09660617
1998,"Female",2822909.93345805
1998,"Male",2442749.2967396
1999,"Female",2890416.51645822
1999,"Male",2499528.34633947
2000,"Female",2955043.84563336
2000,"Male",2556197.86856065
2001,"Female",3013817.21634666
2001,"Male",2610778.44405463
2002,"Female",3065635.28284927
2002,"Male",2661162.08224727
2003,"Female",3109172.54126252
2003,"Male",2706546.94561048
2004,"Female",3145113.68881412
2004,"Male",2747092.46041106
2005,"Female",3175256.85449247
2005,"Male",2783542.01091736
2006,"Female",3195937.80891723
2006,"Male",2814273.12169571
2007,"Female",3213922.48300252
2007,"Male",2842060.80462581
2008,"Female",3229759.41411
2008,"Male",2866745.41914418
2009,"Female",3244820.40473553
2009,"Male",2888899.03850127
2010,"Female",3259915.76380384
2010,"Male",2909799.68605566
2011,"Female",3272785.15248253
2011,"Male",2931488.91615685
2012,"Female",3286057.44214588
2012,"Male",2954684.64938239
2013,"Female",3299955.1697915
2013,"Male",2979401.29574612
2014,"Female",3314276.63983972
2014,"Male",3005646.10195774
2015,"Female",3328547.24129809
2015,"Male",3032678.12545829
2016,"Female",3342778.72053804
2016,"Male",3059609.170066
2017,"Female",3358182.77389882
2017,"Male",3086443.47435856
2018,"Female",3375571.00808851
2018,"Male",3114103.48962233
2019,"Female",3393894.53127663
2019,"Male",3142312.50873501
