year,gender_name,gender_id,year_gender,PLHIV_2b_CD4_350_more,PLHIV_2a_CD4_350_less,PLHIV_2_CD4_200_more,PLHIV_3_CD4_200_less,hiv_prevalence
1980,male,1,1980_male,NA,NA,NA,NA,NA
1981,male,1,1981_male,NA,NA,NA,NA,NA
1982,male,1,1982_male,NA,NA,NA,NA,NA
1983,male,1,1983_male,NA,NA,NA,NA,NA
1984,male,1,1984_male,NA,NA,NA,NA,NA
1985,male,1,1985_male,NA,NA,NA,NA,NA
1986,male,1,1986_male,NA,NA,NA,NA,NA
1987,male,1,1987_male,NA,NA,NA,NA,NA
1988,male,1,1988_male,NA,NA,NA,NA,NA
1989,male,1,1989_male,NA,NA,NA,NA,NA
1990,male,1,1990_male,0.66113,0.25368,0.91481,0.08519,0.05868
1991,male,1,1991_male,0.64256,0.26494,0.90751,0.09249,0.07406
1992,male,1,1992_male,0.62267,0.27631,0.89898,0.10102,0.09064
1993,male,1,1993_male,0.60244,0.28719,0.88962,0.11038,0.10795
1994,male,1,1994_male,0.58256,0.29723,0.87979,0.12021,0.12553
1995,male,1,1995_male,0.5635,0.30626,0.86976,0.13024,0.14299
1996,male,1,1996_male,0.54294,0.31598,0.85892,0.14108,0.15901
1997,male,1,1997_male,0.52066,0.32628,0.84694,0.15306,0.17251
1998,male,1,1998_male,0.49857,0.33574,0.83431,0.16569,0.18337
1999,male,1,1999_male,0.47757,0.34389,0.82146,0.17854,0.19156
2000,male,1,2000_male,0.45811,0.35062,0.80873,0.19127,0.19717
2001,male,1,2001_male,0.4432,0.35429,0.79749,0.20251,0.2015
2002,male,1,2002_male,0.43283,0.35547,0.78831,0.21169,0.20517
2003,male,1,2003_male,0.4255,0.35549,0.78099,0.21901,0.20827
2004,male,1,2004_male,0.42004,0.35499,0.77504,0.22257,0.21091
2005,male,1,2005_male,0.41512,0.35414,0.76926,0.21962,0.21322
2006,male,1,2006_male,0.40934,0.35272,0.76206,0.20971,0.21534
2007,male,1,2007_male,0.40167,0.35041,0.75208,0.19419,0.21735
2008,male,1,2008_male,0.39184,0.34692,0.73877,0.17781,0.21927
2009,male,1,2009_male,0.38052,0.34231,0.72284,0.16545,0.22101
2010,male,1,2010_male,0.3685,0.33675,0.70526,0.15364,0.22247
2011,male,1,2011_male,0.35586,0.32512,0.68098,0.14513,0.22367
2012,male,1,2012_male,0.34223,0.29434,0.63657,0.15201,0.22361
2013,male,1,2013_male,0.32718,0.27162,0.5988,0.15233,0.22198
2014,male,1,2014_male,0.31104,0.25352,0.56456,0.1492,0.2191
2015,male,1,2015_male,0.29138,0.23971,0.53109,0.14515,0.21524
2016,male,1,2016_male,0.25983,0.23279,0.49262,0.1452,0.21028
2017,male,1,2017_male,0.2378,0.2284,0.46619,0.14815,0.20426
2018,male,1,2018_male,0.22541,0.22643,0.45184,0.15324,0.19823
2019,male,1,2019_male,NA,NA,NA,NA,0.1912
2020,male,1,2020_male,NA,NA,NA,NA,0.18457
2021,male,1,2021_male,NA,NA,NA,NA,0.17911
2022,male,1,2022_male,NA,NA,NA,NA,0.17272
2023,male,1,2023_male,NA,NA,NA,NA,0.16656
2024,male,1,2024_male,NA,NA,NA,NA,0.16066
2025,male,1,2025_male,NA,NA,NA,NA,0.15504
2026,male,1,2026_male,NA,NA,NA,NA,0.14973
2027,male,1,2027_male,NA,NA,NA,NA,0.14473
2028,male,1,2028_male,NA,NA,NA,NA,0.14005
1980,female,2,1980_female,NA,NA,NA,NA,NA
1981,female,2,1981_female,NA,NA,NA,NA,NA
1982,female,2,1982_female,NA,NA,NA,NA,NA
1983,female,2,1983_female,NA,NA,NA,NA,NA
1984,female,2,1984_female,NA,NA,NA,NA,NA
1985,female,2,1985_female,NA,NA,NA,NA,NA
1986,female,2,1986_female,NA,NA,NA,NA,NA
1987,female,2,1987_female,NA,NA,NA,NA,NA
1988,female,2,1988_female,NA,NA,NA,NA,NA
1989,female,2,1989_female,NA,NA,NA,NA,NA
1990,female,2,1990_female,0.73591,0.19943,0.93534,0.06466,0.09943
1991,female,2,1991_female,0.71555,0.21249,0.92804,0.07196,0.12558
1992,female,2,1992_female,0.69344,0.22605,0.91949,0.08051,0.15351
1993,female,2,1993_female,0.67051,0.23946,0.90997,0.09003,0.18235
1994,female,2,1994_female,0.64749,0.25226,0.89975,0.10025,0.2113
1995,female,2,1995_female,0.62497,0.26412,0.88909,0.11091,0.23968
1996,female,2,1996_female,0.60129,0.27629,0.87758,0.12242,0.26552
1997,female,2,1997_female,0.57608,0.28891,0.86499,0.13501,0.28735
1998,female,2,1998_female,0.55086,0.30082,0.85169,0.14831,0.30507
1999,female,2,1999_female,0.52662,0.31142,0.83804,0.16196,0.31872
2000,female,2,2000_female,0.50396,0.32045,0.82441,0.17559,0.32845
2001,female,2,2001_female,0.48548,0.32645,0.81193,0.18807,0.33612
2002,female,2,2002_female,0.47163,0.32958,0.80121,0.19879,0.3426
2003,female,2,2003_female,0.46138,0.33089,0.79227,0.20773,0.34803
2004,female,2,2004_female,0.4536,0.33111,0.78471,0.21205,0.35262
2005,female,2,2005_female,0.44679,0.33038,0.77718,0.20776,0.35669
2006,female,2,2006_female,0.43928,0.32849,0.76777,0.19407,0.36062
2007,female,2,2007_female,0.42974,0.32511,0.75485,0.17279,0.3647
2008,female,2,2008_female,0.41773,0.32008,0.73781,0.15055,0.36902
2009,female,2,2009_female,0.40398,0.31371,0.71769,0.13393,0.37339
2010,female,2,2010_female,0.3895,0.30637,0.69587,0.11938,0.37758
2011,female,2,2011_female,0.3744,0.28843,0.66284,0.10794,0.38154
