,sim_id,HIV_neg_female,HIV_neg_male,HIV_pos_female,HIV_pos_male,tb_mort_mse_total,hiv_prev_mse_male,hiv_prev_mse_female,hiv_prev_mse,max_perc_diff_male,max_perc_diff_female,b1_contact,b2_contact,hiv2_mort,hiv3_mort,hiv4_mort,tb_hiv1_mort,tb_hiv2_mort,tb_hiv3_mort,tb_hiv4_mort,tbmort_rank_total,tbmort_HIV_neg_male,tbmort_HIV_neg_female,tbmort_HIV_pos_male,tbmort_HIV_pos_female
1,1417,4210.893476,15148.56,42980.56509,13975.94442,76315.96298,187769227.1,21543263.99,209312491,0.036791385,0.019011929,7,10,8,35,1.2,17,22,40,17,206,471,486,4,424
2,1433,4219.09435,15165.06972,42949.29311,13859.71721,76193.17439,189373013.6,20467742,209840755.6,0.03681715,0.019011929,7,10,8,35,1.5,17,22,40,17,204,472,496,3,422
3,2177,4049.386315,13731.24013,54220.32037,13858.51997,85859.46677,187196798.2,22215557.5,209412355.7,0.036734206,0.019217627,8,9,8,35,1.2,14,22,40,17,289,383,422,2,507
4,2193,4052.989959,13737.69511,54211.11287,13774.96855,85776.76649,188794907,21116049.91,209910956.9,0.03676001,0.019217627,8,9,8,35,1.5,14,22,40,17,287,384,424,1,506
5,543,3535.468657,11692.40094,18272.80029,29457.02456,62957.69445,211763400.2,15978737.01,227742137.2,0.038708241,0.019262111,6,10,8,35,1.5,17,30,60,17,27,168,165,377,4
6,1419,3896.048751,13445.46019,18021.01228,34329.39532,69691.91654,202050189.2,17436007.93,219486197.1,0.038019452,0.018856189,7,10,8,35,1.2,17,22,60,17,108,361,376,440,2
7,1435,3903.558247,13460.50449,17891.03935,34086.58455,69341.68663,203728483.7,16573653.1,220302136.8,0.038044588,0.018856189,7,10,8,35,1.5,17,22,60,17,100,364,379,437,1
8,2195,4113.101679,14053.62107,18231.96862,26940.65763,63339.34899,202674060.8,17287002.3,219961063.1,0.038001522,0.019041684,8,9,8,35,1.5,14,22,60,17,31,402,450,345,3
9,4623,3092.360252,9789.101431,19838.47047,37300.85231,70020.78446,212726744.1,17114355.94,229841100,0.038900376,0.019779402,11,7,8,35,1.2,17,30,60,17,114,3,4,473,27
10,4624,3082.034966,9739.823473,21782.31804,39074.73601,73678.91248,213197979,16882820.78,230080799.8,0.038909219,0.019779402,11,7,8,35,1.2,17,30,60,20,171,1,1,495,93
11,4639,3097.719765,9799.509357,19726.96986,37098.68191,69722.88088,214460322.7,16336567.41,230796890.1,0.038930165,0.019779402,11,7,8,35,1.5,17,30,60,17,109,4,6,471,24
12,4640,3087.376889,9750.204321,21653.87914,38856.86012,73348.32047,214937588.1,16119430.86,231057019,0.038945822,0.019779402,11,7,8,35,1.5,17,30,60,20,162,2,2,492,90
16,5392,3090.688403,9969.88754,23411.34337,27880.50782,64352.42713,209689800,17590911.38,227280711.3,0.038639439,0.019823927,12,6,8,35,1.2,17,30,60,20,44,9,3,362,150
17,523,3623.526085,12081.70247,25267.04605,17599.9568,58572.2314,196894129.8,18996759.73,215890889.5,0.037604455,0.019154295,6,10,8,35,1.2,17,22,60,17,4,204,231,107,194
18,539,3629.119001,12092.28471,25207.25286,17452.35079,58381.00735,198548763.8,18056571.21,216605335,0.037630095,0.019154295,6,10,8,35,1.5,17,22,60,17,3,207,236,101,193
19,2187,3507.914448,11586.21384,20102.32568,23167.32007,58363.77404,199332328.8,18274458.91,217606787.7,0.037854047,0.018900887,8,9,8,35,1.2,17,22,60,17,2,147,150,285,36
20,2203,3514.254419,11598.72734,20019.43573,22988.16191,58120.5794,200995558.6,17361460.18,218357018.8,0.03787882,0.018900887,8,9,8,35,1.5,17,22,60,17,1,149,153,281,31
