"","sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort"
"1",1,14754.742185795,68625.7871944771,592912.024262108,224167.223100787,120877494.492823,139840248.916919,260717743.409742,0.0338571326019538,0.0474172087087103,6,6,8,35,1.2,14,22,40,17
"2",2,14754.5536965578,68636.2595883374,583328.972211761,220817.267854748,121052430.769918,138931041.280414,259983472.050332,0.0338584717442865,0.047267415099437,6,6,8,35,1.2,14,22,40,20
"3",3,15017.7661893779,70082.6365840672,507136.43189956,183251.381712002,125342946.245303,134399714.514144,259742660.759447,0.034386722800748,0.0467628651477765,6,6,8,35,1.2,14,22,60,17
"4",4,15022.6178841293,70120.9850363985,498978.591691398,180672.234411964,125495193.085255,133651191.838353,259146384.923607,0.0343879179441633,0.0465920589467429,6,6,8,35,1.2,14,22,60,20
"5",5,15041.8763411698,70222.5786031227,522240.302405416,190349.484559229,125993146.863825,132947141.112019,258940287.975844,0.0343878301237065,0.0465337500411183,6,6,8,35,1.2,14,30,40,17
"6",6,15046.9860391697,70262.6243012487,513971.420108455,187601.645793486,126153943.583825,132193665.147442,258347608.731268,0.0343891120625267,0.0463620785586605,6,6,8,35,1.2,14,30,40,20
"7",7,15307.0569772242,71690.8161132999,446476.56354224,155796.074843953,130333471.214575,128119226.923646,258452698.138221,0.0348944186570477,0.0458939116238394,6,6,8,35,1.2,14,30,60,17
"8",8,15311.9592904907,71729.2643716536,439100.712856977,153534.846616766,130487252.246738,127416805.008829,257904057.255567,0.0348955756744809,0.0457295112836607,6,6,8,35,1.2,14,30,60,20
"9",9,11253.4359321886,52440.1650002749,605666.671613477,231332.803903476,120434680.781129,140024007.107133,260458687.888261,0.0338162942340519,0.0475032582889318,6,6,8,35,1.2,17,22,40,17
"10",10,11257.6117769388,52476.2775877829,596593.104721837,228210.203479151,120588942.875736,139234695.529892,259823638.405627,0.033817585840976,0.0473280404507379,6,6,8,35,1.2,17,22,40,20
"11",11,11519.947374581,53920.1850429464,520901.808881302,190578.854989627,124813051.181146,134753630.791414,259566681.972561,0.0343367241683551,0.0468350114505237,6,6,8,35,1.2,17,22,60,17
"12",12,11524.0264166901,53955.3163197829,512798.603740469,187992.820114601,124961198.502406,134018760.781296,258979959.283702,0.0343378850970617,0.0466673437413312,6,6,8,35,1.2,17,22,60,20
"13",13,11542.1402398735,54052.4344486946,536064.138820982,197783.542093535,125404681.070746,133372032.543033,258776713.613779,0.0343353247450478,0.0466114702840656,6,6,8,35,1.2,17,30,40,17
"14",14,11546.4724338114,54089.2831578788,527847.751838347,195031.266214177,125561139.047218,132632026.909615,258193165.956833,0.0343365736752893,0.0464429440426971,6,6,8,35,1.2,17,30,40,20
