"","sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","hiv_prev_mse_male_norm","hiv_prev_mse_female_norm","tb_mort_mse_male_neg_norm","tb_mort_mse_female_neg_norm","tb_mort_mse_male_pos_norm","tb_mort_mse_female_pos_norm","tb_mort_mse_overall_norm","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female"
"1",689,3296.21421147957,11187.582661996,104844.850538335,20611.3863440801,220707262.693445,71510991.741908,292218254.435353,0.0434151215084708,0.033820162177704,6,11,8,45,1.5,14,22,40,17,0.207692512839796,0.259198483637528,0.016573367530258,0.0227771298490628,0.000323398664241489,0.0955139422868572,0.0366213017611938,372,292,341,4,727
"2",1469,2968.40476708524,10182.4391736452,84187.9020225788,20519.9322409737,233308783.732504,66180949.8403504,299489733.572854,0.0443344922232407,0.0322358444834261,7,10,8,45,1.5,17,30,40,17,0.233793781205404,0.201567052559784,0.0105303997998344,0.0124374280021571,0.000237642253879072,0.0717732105176528,0.0261968213918579,234,183,170,3,633
"3",1577,4741.27279037306,19921.9242408216,73250.2050001771,20409.1928717088,221058603.784688,74186402.2753324,295245006.060021,0.0435096779092977,0.0345114434632919,7,11,8,45,1.2,17,22,40,17,0.208420238332773,0.288126537226874,0.0690846208180268,0.0683568869688681,0.000133802070974266,0.0592026737327254,0.0452892442984889,447,667,658,2,563
"4",1593,4760.22883383795,19969.9780613136,73438.0271444748,20266.5009336599,222849595.604863,71257071.1915408,294106666.796404,0.0435138893616626,0.0335618101327475,7,11,8,45,1.5,17,22,40,17,0.21212988243003,0.25645295086912,0.0693735225419324,0.068954794811292,0,0.0594185350030718,0.0454912239715664,458,670,660,1,564
"5",806,3119.32608373613,11110.5708276086,21810.8420488422,55261.6447565255,243805654.281169,64407653.234154,308213307.515323,0.0449706998247521,0.031331616998057,6,12,8,45,1.2,14,30,40,20,0.255535730795499,0.182393165557031,0.0161103689281107,0.0171977588687552,0.0328149072860681,8.41588526161143e-05,0.0165313454009784,40,278,267,587,2
"6",822,3126.04573634935,11114.0679765126,21737.6149426799,54752.5089046953,245829753.404562,61631610.8807184,307461364.28528,0.0449747814548135,0.0301997328542142,6,12,8,45,1.5,14,30,40,20,0.259728205200337,0.152377023748808,0.0161313939441611,0.0174097088467791,0.0323374911663234,0,0.016409467908085,37,279,271,580,1
"7",1725,7320.37071731817,33347.7545704351,22021.687939195,79732.1245631294,248319128.949185,60309854.8460505,308628983.795236,0.0451718772790473,0.0298580205003831,7,12,8,45,1.5,17,30,40,17,0.264884396976837,0.138085449081956,0.149801314878409,0.149706293017422,0.0557608488762448,0.000326480980866847,0.0767277205362997,684,877,885,706,3
"8",2485,3174.66075435434,11811.3099539986,22068.9983693521,68435.9308745425,247449196.09311,61591239.044864,309040435.137974,0.0451143001271278,0.0302484053922031,8,11,8,45,1.5,14,30,40,17,0.263082523150169,0.151940500599742,0.0203232439825648,0.0189431143054969,0.0451684206681274,0.000380854173082931,0.0215180541099755,151,345,295,655,4
"9",5671,2587.8674549657,8509.13634314229,43472.6924623771,100770.611389699,252089856.710541,63918924.1540882,316008780.864629,0.0458638025276128,0.0309737172268235,12,8,8,45,1.2,14,30,60,17,0.272694626942547,0.177108750009515,0.000470428138926103,0.000434593989217881,0.07548861448131,0.024979809819655,0.0303215317159183,287,3,3,773,311
"10",5672,2574.08910659047,8430.88873341272,44483.8274957489,104494.980686424,252738599.214483,63014495.8078892,315753095.022372,0.0458665534489371,0.0306173613393612,12,8,8,45,1.2,14,30,60,20,0.274038353794495,0.16732955861451,0,0,0.0789809514121065,0.0261418926699567,0.031536853224619,298,1,1,788,323
"11",5687,2597.01538042557,8527.11162897495,43509.2014269579,100316.660082242,253993675.371344,61271876.2817611,315265551.653105,0.0458680759095522,0.0298504217777216,12,8,8,45,1.5,14,30,60,17,0.276637966927542,0.148487369571787,0.000578496363503829,0.000723136077892524,0.0750629448472032,0.0250217690439142,0.0302857406556145,286,4,5,772,312
"12",5688,2580.38042701532,8437.09760570587,44363.4140208158,103769.036514101,254806853.61061,60346452.1627904,315153305.7734,0.0458708264089629,0.0294868948457093,12,8,8,45,1.5,14,30,60,20,0.278322286097138,0.138481159993106,3.73280186805811e-05,0.000198439607304361,0.07830023437233,0.0260035032070792,0.0313382747990197,296,2,2,787,321
"13",5552,2591.55384297303,8605.19982516248,48245.5717968142,41378.7789933669,242054878.440787,67693196.9003801,309748075.341167,0.045159559105708,0.0321638285566936,12,7,8,45,1.2,17,30,60,20,0.251909385220533,0.217918324054883,0.00104796610106583,0.000550869323988167,0.0197969595619808,0.0304652109164927,0.0153984182285529,25,7,4,445,367
"17",4005,2770.9007542807,9163.73737254316,33847.7592337842,38736.1516516917,240250860.695017,66700198.691958,306951059.386975,0.0448325870320061,0.0322422088043191,10,9,8,45,1.2,14,30,40,17,0.248172760794584,0.207181465158468,0.00440591888509009,0.00620779477807637,0.0173189708545294,0.0139180134511239,0.0114938380243293,4,53,60,403,149
"18",4006,2757.13330443343,9086.47152129481,31806.5296808362,40839.3959706416,240905745.316655,65716265.0403268,306622010.356981,0.0448354062617848,0.0318808553186632,10,9,8,45,1.2,14,30,40,20,0.249529209687134,0.196542617382715,0.00394139312218273,0.00577354454811117,0.0192911807038627,0.0115720578876026,0.0112019591114984,2,40,54,432,125
"19",4021,2776.72126553783,9168.47927392701,33901.3517392003,38400.2324883321,242237761.004376,63819913.7392015,306057674.743578,0.0448365585805728,0.0311053825118414,10,9,8,45,1.5,14,30,40,17,0.252288186069799,0.176038193340935,0.00443442740887355,0.00639138421402584,0.0170039798301445,0.0139796065414563,0.0114602382360601,3,54,63,398,150
