"","X","sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","tb_mort_mse_total","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","hiv_prev_mse_male_norm","hiv_prev_mse_female_norm","avg_prev_mse_norm","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female"
"1",689,689,3296.21421147957,11187.582661996,104844.850538335,20611.3863440801,139940.033755891,220707262.693445,71510991.741908,292218254.435353,0.0434151215084708,0.033820162177704,6,11,8,45,1.5,14,22,40,17,0.207692512839796,0.259198483637528,0.233445498238662,537,399,480,4,1032
"2",1469,1469,2968.40476708524,10182.4391736452,84187.9020225788,20519.9322409737,117858.678204283,233308783.732504,66180949.8403504,299489733.572854,0.0443344922232407,0.0322358444834261,7,10,8,45,1.5,17,30,40,17,0.233793781205403,0.201567052559784,0.217680416882594,348,245,230,3,896
"3",1577,1577,4741.27279037306,19921.9242408216,73250.2050001771,20409.1928717088,118322.594903081,221058603.784688,74186402.2753324,295245006.060021,0.0435096779092977,0.0345114434632919,7,11,8,45,1.2,17,22,40,17,0.208420238332772,0.288126537226874,0.248273387779823,364,975,962,2,806
"4",1593,1593,4760.22883383795,19969.9780613136,73438.0271444748,20266.5009336599,118434.734973286,222849595.604863,71257071.1915408,294106666.796404,0.0435138893616626,0.0335618101327475,7,11,8,45,1.5,17,22,40,17,0.212129882430028,0.25645295086912,0.234291416649574,368,978,965,1,807
"5",781,781,5497.29778825516,24580.5767187219,17053.512810863,81458.8369711308,128590.224288971,156442599.296434,92578624.6055946,249021223.902029,0.036981934803982,0.0396273627502828,6,12,8,35,1.2,17,30,40,17,0.0745824525104379,0.486993659318972,0.280788055914705,463,1135,1109,923,2
"6",797,797,5510.30280711493,24587.9311776016,16933.073454396,80743.0455809177,127774.35302003,157986706.121989,88576010.3771957,246562716.499185,0.036985921271127,0.0384567172007045,6,12,8,35,1.5,17,30,40,17,0.0777807288545441,0.443715127874902,0.260747928364723,451,1136,1115,913,1
"7",1557,1557,3085.46241540828,10769.6914829378,17493.5312692162,67111.7170313542,98460.4021989165,156542591.72539,90756781.6116033,247299373.336993,0.0368717130643378,0.0389195402494384,7,11,8,35,1.5,14,30,40,17,0.0747895647482876,0.467294861282882,0.271042213015585,136,337,354,783,3
"8",1566,1566,4445.07209170041,18743.444298231,17969.3689295429,61608.3213781212,102766.206697596,155596258.533163,89812692.9590242,245408951.492187,0.0367472808904681,0.0386359046387238,7,11,8,35,1.5,17,30,40,20,0.0728294444947851,0.457086840198377,0.264958142346581,182,922,886,741,4
"9",5671,5671,2587.8674549657,8509.13634314229,43472.6924623771,100770.611389699,155340.307650184,252089856.710541,63918924.1540882,316008780.864629,0.0458638025276128,0.0309737172268235,12,8,8,45,1.2,14,30,60,17,0.272694626942547,0.177108750009515,0.224901688476031,622,3,3,1061,465
"10",5672,5672,2574.08910659047,8430.88873341272,44483.8274957489,104494.980686424,159983.786022176,252738599.214483,63014495.8078892,315753095.022372,0.0458665534489371,0.0306173613393612,12,8,8,45,1.2,14,30,60,20,0.274038353794495,0.16732955861451,0.220683956204502,646,1,1,1092,481
"11",5687,5687,2597.01538042557,8527.11162897495,43509.2014269579,100316.660082242,154949.9885186,253993675.371344,61271876.2817611,315265551.653105,0.0458680759095522,0.0298504217777216,12,8,8,45,1.5,14,30,60,17,0.276637966927542,0.148487369571787,0.212562668249664,618,4,5,1056,466
"12",5688,5688,2580.38042701532,8437.09760570587,44363.4140208158,103769.036514101,159149.928567638,254806853.61061,60346452.1627904,315153305.7734,0.0458708264089629,0.0294868948457093,12,8,8,45,1.5,14,30,60,20,0.278322286097137,0.138481159993105,0.208401723045121,641,2,2,1089,479
"13",5552,5552,2591.55384297303,8605.19982516248,48245.5717968142,41378.7789933669,100821.104458317,242054878.440787,67693196.9003801,309748075.341167,0.045159559105708,0.0321638285566936,12,7,8,45,1.2,17,30,60,20,0.251909385220533,0.217918324054883,0.234913854637708,155,7,4,488,535
"17",662,662,3348.17592129873,11289.6408181036,26104.6222313535,37725.1212346214,78467.5602053772,152146469.58034,93014619.6618237,245161089.242164,0.0365125871627972,0.0393542552005633,6,11,8,35,1.5,14,30,40,20,0.0656839684063632,0.491707884741095,0.278695926573729,1,415,512,427,104
"18",670,670,3461.83289039195,13102.6784201935,29999.5273158058,32719.7825810977,79283.8212074888,150720406.602672,93616970.7493877,244337377.352059,0.0363984541643511,0.0394849298515841,6,11,8,35,1.5,17,30,40,20,0.0627301938285961,0.498220845770051,0.280475519799324,2,591,572,330,184
"19",1573,1573,2985.36430749958,10145.6420141674,29624.0196033203,38459.0835509614,81214.1094759487,240387320.966955,66560871.9357364,306948192.902691,0.0448149274282846,0.0321419966359714,7,11,8,45,1.2,14,30,40,17,0.248455408116923,0.205674985378989,0.227065196747956,4,237,246,435,178
"20",1589,1589,2991.14957793895,10149.0037532597,29660.3791849277,38088.3410883927,80888.8736045191,242378934.230486,63690415.469558,306069349.700044,0.0448190096717855,0.0310065261915363,7,11,8,45,1.5,14,30,40,17,0.252580595236066,0.174637984723538,0.213609289979802,3,240,251,430,179
