"sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","hiv_prev_mse_male_norm","hiv_prev_mse_female_norm","hiv_prev_mse_male_norm_rank","hiv_prev_mse_female_norm_rank"
1,9284.11691871971,34222.7758202961,236709.710383116,43823.5213438206,45372628.0046356,344880870.267544,390253498.27218,0.0208637774207214,0.0663556225477612,6,6,8,35,1.2,14,22,40,17,0.00130235376174664,0.995650000135867,8,6271
2,9286.46971604396,34239.3836697065,229841.262077514,42680.9979150005,45364327.3335903,343209433.088517,388573760.422107,0.0208656918816829,0.0661080699658005,6,6,8,35,1.2,14,22,40,20,0.00127844893221137,0.990102210370519,7,6269
3,9602.011963321,35903.9844814719,152265.407234178,27013.0673766991,49018701.0659067,325842106.427023,374860807.49293,0.0218590902799928,0.0650282265182582,6,6,8,35,1.2,14,22,60,17,0.0118025596518895,0.932457042300171,94,6224
4,9604.41190800392,35921.5039835648,147074.152499631,26747.0924485255,49027981.4566623,324333352.801877,373361334.258539,0.0218607345602786,0.0647965253937197,6,6,8,35,1.2,14,22,60,20,0.0118292859439951,0.927449227453737,95,6218
5,9596.65778141918,35841.2825532332,184514.115390583,30609.0361122785,48756083.7372733,328752222.734832,377508306.472105,0.0216915179422847,0.0651180036915101,6,6,8,35,1.2,14,30,40,17,0.0110462566446182,0.942116222837141,85,6238
6,9599.19990306056,35859.6873037248,178844.557880206,29985.3751935657,48770410.0515555,327184516.827605,375954926.87916,0.0216933528910451,0.0648807442868781,6,6,8,35,1.2,14,30,40,20,0.0110875145259281,0.936912735146236,86,6232
7,9913.92995867477,37539.2039194398,115627.068322459,22685.695197932,52545004.6085345,310797465.622238,363342470.230773,0.0226333117259374,0.0638271698898362,6,6,8,35,1.2,14,30,60,17,0.0219578452444997,0.882521271259906,256,6114
8,9916.49386388663,37558.2788036802,111430.611063229,22797.0814145114,52572718.7752956,309382436.912004,361955155.687299,0.0226348874951132,0.0636050409692473,6,6,8,35,1.2,14,30,60,20,0.0220376583618388,0.877824545654652,258,6099
9,6301.46669451493,21670.2124031946,248307.146759424,47786.5233843531,45011584.2754785,346191437.504085,391203021.779563,0.0207922646631334,0.0664594077277245,6,6,8,35,1.2,17,22,40,17,0.00026259580084251,1,4,6272
10,6302.24664267014,21672.984258593,241369.538925753,46555.385447605,45000544.7705132,344541443.694973,389541988.465486,0.0207941314832164,0.0662152170759797,6,6,8,35,1.2,17,22,40,20,0.000230803493581243,0.994523384496927,3,6270
11,6587.95949003905,23052.3608977658,162440.146983419,29128.7110274501,48554716.4633569,326925347.43327,375480063.896627,0.0217673158726696,0.0651061017282342,6,6,8,35,1.2,17,22,60,17,0.0104663456554176,0.936052506995625,78,6230
12,6588.97586961565,23057.7662954857,157164.669797037,28765.0053047117,48561409.0351134,325438103.313099,373999512.348213,0.0217689191978858,0.0648776410305575,6,6,8,35,1.2,17,22,60,20,0.010485619372701,0.931116085925192,80,6222
13,6582.72200973573,23003.7731596969,195328.63342955,33430.306391408,48291490.8339336,329791083.510716,378082574.344649,0.0216014432063773,0.0651959477966378,6,6,8,35,1.2,17,30,40,17,0.00970829082270834,0.945564381854055,62,6243
14,6583.80570466802,23009.4186469353,189579.808857639,32711.7822267049,48302934.5702997,328246018.760642,376548953.330942,0.0216032324255663,0.0649620311983104,6,6,8,35,1.2,17,30,40,20,0.00974124726268565,0.94043604408892,64,6234
15,6875.78407490556,24447.7419772378,124968.425291919,23546.7668030174,51958683.5102077,312161416.813399,364120100.323607,0.0225239805868101,0.0639293420834244,6,6,8,35,1.2,17,30,60,17,0.0202693183974763,0.887048461724317,225,6130
16,6877.07267746318,24455.7027130442,120665.942130065,23552.9996685273,51983314.7194466,310766294.451046,362749609.170492,0.0225255170658397,0.0637103767877775,6,6,8,35,1.2,17,30,60,20,0.0203402530068449,0.882417808738737,228,6113
17,9282.93399368703,34219.3252166399,236889.174329074,43875.0078467841,45293526.652662,339929912.212972,385223438.865634,0.0208673081132791,0.0655556145443229,6,6,8,35,1.5,14,22,40,17,0.00107455237983402,0.979216912031532,6,6266
18,9285.28247265176,34235.9167119459,230008.95577377,42720.4170726881,45293358.5764341,338273618.316453,383566976.892887,0.0208692224244871,0.0653082256277954,6,6,8,35,1.5,14,22,40,20,0.00107406834263327,0.973719385446142,5,6262
19,9600.66894880535,35899.8378155068,152450.242047351,26992.5716743335,49014590.9376413,321019109.650355,370033700.587996,0.0218626327862013,0.0642314349997243,6,6,8,35,1.5,14,22,60,17,0.0117907230286794,0.916448679861166,93,6197
20,9603.06482649188,35917.3410327916,147245.506022083,26713.6717596571,49031178.3964748,319524375.139693,368555553.536168,0.021864276934701,0.0639998839104994,6,6,8,35,1.5,14,22,60,20,0.0118384927058142,0.911487396886125,96,6189
21,9591.87931560613,35821.9745333516,184347.037284646,30542.6243765194,48778668.8376782,323339915.3825,372118584.220178,0.0216950394790004,0.0642690837252926,6,6,8,35,1.5,14,30,40,17,0.0111112987324524,0.924151836431875,87,6211
