"sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","hiv_prev_mse_male","hiv_prev_mse_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","hiv_prev_mse_male_norm","hiv_prev_mse_female_norm","hiv_prev_mse_male_norm_rank","hiv_prev_mse_female_norm_rank","tb_mort_mse_male_neg_norm","tb_mort_mse_female_neg_norm","tb_mort_mse_male_pos_norm","tb_mort_mse_female_pos_norm","tb_mort_mse_overall_norm","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female"
321,3753.67576947119,11035.2706824305,86313.1639648047,15717.3527570775,161717522.458577,123559204.294303,6,8,12,35,1.2,14,22,40,17,0.404698462683371,0.291887951773352,3185,3285,0.027814175171177,0.0874227261896635,8.61536975993093e-05,0.0475853849762093,0.0373488418743107,588,541,978,2,864
337,3746.75415383244,11023.3461816918,85923.5666188739,15541.8423158987,163034801.433723,120000784.82045,6,8,12,35,1.5,14,22,40,17,0.409013394975786,0.279461910110227,3207,3195,0.0277584305520977,0.0871667136397847,0,0.0473339724713622,0.0371852205797852,584,539,976,1,863
338,3745.61563871288,11007.8647900043,81449.1311625047,15955.2695174567,163482778.2354,118709355.684552,6,8,12,35,1.5,14,22,40,20,0.410480805907164,0.274952224738517,3215,3158,0.0276860581902398,0.0871246029283487,0.000202941100615598,0.0444465579712081,0.0363569819452648,578,537,975,3,845
345,2147.98545790443,6918.83498349927,93544.5396877154,16039.821697673,162086055.999285,120863200.326542,6,8,12,35,1.5,17,22,40,17,0.405905646055793,0.282473474960402,3189,3220,0.00857067432951745,0.0280324201636327,0.000244445656793479,0.0522518908006866,0.0230695198358741,375,231,565,4,903
1481,2874.43609407107,25202.5938904573,12638.3783725242,83724.2584225034,168870371.044145,113225426.57706,7,10,12,35,1.2,17,22,40,17,0.428128622829358,0.255802281324587,3341,2987,0.0940435337758823,0.0549019387027608,0.0334690473078697,4.20364824721043e-05,0.0398424196328312,611,984,797,508,2
1497,2885.94288161667,25261.6343603327,12573.2372133231,83442.3879871982,170211487.222374,109939339.772265,7,10,12,35,1.5,17,22,40,17,0.432521637228359,0.244327228468938,3375,2879,0.0943195359813908,0.0553275448291646,0.0333306841422235,0,0.0399286214047781,612,985,801,506,1
2241,1588.41639034504,7934.27583909648,13317.9057513908,69842.9516604654,168574747.655671,114677297.632237,8,9,12,35,1.2,14,22,40,17,0.427160266900669,0.260872231720731,3335,3032,0.0133176540927174,0.00733541655985218,0.026655060077096,0.000480544809639539,0.0122712955965346,110,357,192,466,4
2257,1592.16613923714,7956.91527413782,13233.5227660534,69588.5097030249,169912883.938919,111362785.713151,8,9,12,35,1.5,14,22,40,17,0.431543520235141,0.249297918039583,3366,2930,0.0134234888534513,0.00747411001314033,0.0265301608670509,0.000426091313146976,0.0122663954273777,109,358,197,464,3
5415,1785.60084768953,5127.11953454675,44495.0963567429,159714.168935002,110315392.837113,144853036.014895,12,6,8,45,1.2,14,30,60,17,0.236323567777072,0.36624625665334,2618,3743,0.000194768504270604,0.0146287564902891,0.0707705988675427,0.020599613037525,0.0303757685704322,491,3,384,745,593
5416,1781.76870191829,5085.45601237353,47675.3422078351,165088.957049326,110638232.356073,143320568.984605,12,6,8,45,1.2,14,30,60,20,0.237381073963621,0.360894864186635,2632,3703,0,0.0144870153908687,0.0734089482828351,0.0226518692548825,0.031715648339489,514,1,378,764,621
