"sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","hiv_prev_mse_male","hiv_prev_mse_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","hiv_prev_mse_male_norm","hiv_prev_mse_female_norm","hiv_prev_mse_male_norm_rank","hiv_prev_mse_female_norm_rank"
1,7739.08140632302,28501.6021413406,207354.368358989,38201.6711435056,38574832.2218596,325095562.406071,6,6,8,35,1.2,14,22,40,17,0.00132728565672462,0.995655228490637,8,6271
2,7741.26863073511,28517.1375538673,201012.373379295,37178.679515294,38561268.9894237,323479424.564248,6,6,8,35,1.2,14,22,40,20,0.00128285738395078,0.990011656589286,7,6269
3,8017.47023842531,29977.024031845,134075.783266388,23493.4797575982,41651220.6617543,307404173.012309,6,6,8,35,1.2,14,22,60,17,0.0114044280644963,0.93387669358187,95,6225
4,8019.70861773742,29993.4746989186,129291.248589303,23293.7339383333,41655222.1459585,305944593.913203,6,6,8,35,1.2,14,22,60,20,0.0114175354880078,0.928779826607818,96,6220
5,8010.75337941363,29911.09326289,161578.42604848,26482.195492129,41431162.1536793,310004940.368165,6,6,8,35,1.2,14,30,40,17,0.0106835955144982,0.942958603052474,84,6240
6,8013.12350955085,29928.3672761403,156353.527957633,25942.6291862273,41439658.8389415,308489010.491539,6,6,8,35,1.2,14,30,40,20,0.010711427600418,0.937664958516259,86,6232
7,8288.76985614939,31403.0901030496,101756.634782643,19476.5809343723,44650795.0170246,293310203.063061,6,6,8,35,1.2,14,30,60,17,0.0212299551496885,0.884660388681607,253,6118
8,8291.16695333705,31421.0479033317,97899.1244662156,19627.5816373919,44672796.3221835,291941196.30938,6,6,8,35,1.2,14,30,60,20,0.0213020235147781,0.879879801377795,256,6103
9,5250.28695889458,17985.0489199327,217467.22768095,41685.1495201098,38280093.0554135,326339765.505296,6,6,8,35,1.2,17,22,40,17,0.000361826121476026,1,4,6272
10,5250.94580572225,17987.1579214877,211059.374100047,40578.4254275794,38263975.3357516,324744319.572953,6,6,8,35,1.2,17,22,40,20,0.000309030267020451,0.994428684484155,3,6270
