"sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","hiv_prev_mse_male","hiv_prev_mse_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","hiv_prev_mse_male_norm","hiv_prev_mse_female_norm","hiv_prev_mse_male_norm_rank","hiv_prev_mse_female_norm_rank","tb_mort_mse_male_neg_norm","tb_mort_mse_female_neg_norm","tb_mort_mse_male_pos_norm","tb_mort_mse_female_pos_norm","tb_mort_mse_overall_norm","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female"
1336,2036.35151791393,6144.37854994527,40015.614475626,155363.206298304,110681742.783835,140005791.637866,7,9,8,45,1.5,14,30,60,20,0.237523598480711,0.349319623629074,2633,3625,0.00493475365083384,0.0239389461262384,0,0,0.00577473995541445,1,7,72,1,1
2999,1781.28846793904,5695.34303415243,48806.5467323958,174415.134644873,111526643.67047,139954789.738865,9,8,8,45,1.5,14,30,60,17,0.240291189999607,0.349141524412119,2663,3623,0.00283084607415078,0.0144907870736344,0.0163895817562435,0.00954328876477821,0.0112441877858636,4,6,54,4,5
3008,1571.08316392146,10405.9943248629,44231.679069793,163175.343494158,110634504.449143,139378261.48171,9,8,8,45,1.5,17,30,60,20,0.237368862680893,0.347128281118006,2631,3610,0.0249020956592502,0.00670426861768954,0.00672045679226523,0.00457688908273739,0.00971047661788873,3,39,27,2,2
5432,1783.26061276685,5091.15754562424,47509.9551493227,164402.487998632,111374365.970658,140195625.100862,12,6,8,45,1.5,14,30,60,20,0.239792383006759,0.349982524261665,2659,3628,0,0.0145638401403555,0.00777611818343423,0.00813573066674844,0.0076863226831259,2,1,55,3,4
575,1764.22840389862,12658.5318181355,47165.7504390442,176324.128175632,111153862.201123,138764819.800574,6,10,8,45,1.5,17,30,60,17,0.239070091940312,0.344986135723485,2650,3596,0.0354561176289629,0.0138588405862173,0.0180318095126873,0.00776206780046316,0.0176011548369812,6,51,52,5,3
4648,1579.14925063166,5475.25403182409,67748.7914875843,207795.357818855,112704730.216515,139747844.10932,11,7,8,45,1.2,14,30,60,20,0.244150177941186,0.348418867897446,2704,3620,0.00179964274332817,0.00700305619267349,0.0451051997661221,0.0301066722913274,0.0243241014044352,15,2,30,17,18
4663,1586.166908398,5536.26970725036,62815.8998956052,200565.772080732,113102996.471029,138241730.060763,11,7,8,45,1.5,14,30,60,17,0.245454754993583,0.343159500345557,2714,3584,0.00208552512303063,0.00726300739595323,0.0388858877698068,0.0247516078302914,0.0209609551838262,10,4,32,13,14
4664,1581.09504625501,5482.23495675735,67520.666052957,206981.018507227,113461665.411963,136672787.23065,11,7,8,45,1.5,14,30,60,20,0.246629625483984,0.337680733967031,2724,3552,0.00183235111570137,0.00707513322043221,0.0444046575174595,0.0298590231417662,0.0240606010649944,14,3,31,15,17
5543,1396.91895926952,7235.27667172095,108533.043266574,281375.770040079,116227669.956384,136620461.544506,12,7,8,45,1.2,14,30,60,17,0.255690061849305,0.337498012070174,2804,3549,0.0100460393800724,0.000252800610136649,0.108403368844899,0.0743813726773512,0.0568951904547169,36,21,3,46,50
5544,1390.09433933055,7163.11647593724,115682.404531173,289474.778054198,116615473.057267,134954379.508024,12,7,8,45,1.2,14,30,60,20,0.256960365372454,0.331680034467577,2815,3514,0.00970794054979116,0,0.11537060867371,0.0821425994777566,0.0611955505553981,40,19,1,50,55
5559,1399.64272808413,7244.71859808549,108243.812268771,280393.678805145,116999643.451118,133595563.072794,12,7,8,45,1.5,14,30,60,17,0.258218769453514,0.32693503187281,2823,3488,0.0100902785097585,0.000353695667204103,0.107558516591928,0.0740673883522377,0.0565765663186422,34,22,4,45,49
5560,1392.79575674128,7172.45882701132,115360.416759129,288468.619726029,117397117.203708,131949637.076614,12,7,8,45,1.5,14,30,60,20,0.259520750554552,0.3211874393944,2836,3457,0.00975171313017178,0.000100067106413829,0.114505052501166,0.0817930549473713,0.0608597882818782,39,20,2,49,54
