"","sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","tb_mort_mse_total","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","b1_calib_id","b2_calib_id","mh2_calib_id","mh3_calib_id","mh4_calib_id","mtb_calib_id","mtbh2_calib_id","mtbh3_calib_id","mtbh4_calib_id","total_mse","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female","hivprev_rank_total","hivprev_male","hivprev_female","prev_mort_mse_rank"
"1",1,14836.9300567823,62798.8041767834,216702.306376675,77635.6374426946,371973.678052935,25855608.130721,1377891293.63203,1403746901.76275,6,6,10,50,1.5,15,30,70,25,1404118875.4408,2045,3011,2939,1258,2425,1305,1347,1300,1306
"2",2,14829.9466590604,62757.0308859713,220936.883752634,78431.1268775138,376954.988175179,26012058.6662725,1379652586.64095,1405664645.30722,6,6,10,50,1.5,15,30,70,20,1406041600.29539,2070,3008,2936,1266,2450,1327,1426,1325,1330
"3",3,14825.3894516349,62720.5292124909,225924.179066678,79375.607186908,382845.704917712,26207845.6895716,1382350377.16988,1408558222.85945,6,6,10,50,1.5,15,30,70,15,1408941068.56437,2094,3005,2933,1276,2473,1370,1502,1365,1374
"4",4,14593.5388348245,61456.6058762005,282792.501686395,99216.1541619766,458058.800559397,26201958.6961418,1397777164.34499,1423979123.04113,6,6,10,50,1.5,15,30,50,25,1424437181.84169,2320,2981,2879,1509,2702,1564,1498,1564,1564
"5",5,14586.4911776635,61414.4138026842,288591.219704155,100605.960186768,465198.084871271,26377927.8830022,1399702820.55553,1426080748.43853,6,6,10,50,1.5,15,30,50,20,1426545946.5234,2344,2979,2877,1525,2728,1579,1556,1579,1579
"6",6,14581.8377625849,61377.3363299741,295257.196732835,102195.057959636,473411.428785029,26596881.1454109,1402578700.7551,1429175581.90051,6,6,10,50,1.5,15,30,50,15,1429648993.32929,2367,2977,2875,1546,2749,1610,1616,1611,1613
"7",7,14496.0845636585,60942.8224031448,269141.478408416,100381.641694654,444962.027069873,26158168.2325911,1400372793.24825,1426530961.48084,6,6,10,50,1.5,15,22,70,25,1426975923.50791,2277,2951,2872,1522,2644,1582,1483,1588,1586
"8",8,14489.3013407611,60902.4391867194,274678.942864867,101609.070858302,451679.754250649,26334685.5469836,1402279061.394,1428613746.94098,6,6,10,50,1.5,15,22,70,20,1429065426.69523,2296,2945,2867,1542,2670,1606,1545,1607,1607
"9",9,14484.9101911703,60867.2580955551,281056.496905268,103018.616768846,459427.28196084,26554412.0299091,1405121967.777,1431676379.80691,6,6,10,50,1.5,15,22,70,15,1432135807.08887,2325,2940,2863,1553,2689,1629,1609,1628,1631
"10",10,14250.7448152328,59595.4391002532,347753.268914147,128657.616187682,550257.069017315,26662985.5933992,1421529079.42063,1448192065.01403,6,6,10,50,1.5,15,22,50,25,1448742322.08305,2521,2909,2813,1752,2866,1708,1634,1708,1708
"11",11,14243.9263488371,59554.8593343225,355089.388422356,130586.032284167,559474.206389682,26861909.4541866,1423610745.23059,1450472654.68478,6,6,10,50,1.5,15,22,50,20,1451032128.89117,2540,2907,2811,1774,2882,1715,1671,1715,1715
"12",12,14239.46137886,59519.3106325724,363392.695043288,132755.673392809,569907.140447529,27108007.9712075,1426644252.15891,1453752260.13012,6,6,10,50,1.5,15,22,50,15,1454322167.27057,2568,2905,2809,1788,2917,1721,1698,1721,1721
