"sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","TB_mort_mse","TB_mort_rank","TB_mort_norm","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_total","hiv_prev_norm","HIV_prev_rank","weighted_rank_mort_TB_mort","weighted_rank","b1_calib_id","b2_calib_id","mh2_calib_id","mh3_calib_id","mh4_calib_id","mtb_calib_id","mtbh2_calib_id","mtbh3_calib_id","mtbh4_calib_id"
867,6592.94357852752,23396.5074387681,57411.3475388682,86276.7624791831,173677.561035347,380,0.0120442415495256,25105686.685787,1321350811.44952,1346456498.13531,0.130855919293921,477,0.0714500804217235,1,6.8,8.4,10,50,1.5,15,30,70,15
866,6588.90474128156,23360.0043266202,69762.5928918127,93021.2491666064,192732.751126321,655,0.0182604779592971,24819857.5560612,1316768436.68525,1341588294.24131,0.125532231504023,422,0.07189635473166,2,6.8,8.4,10,50,1.5,15,30,70,20
289,7863.98219105504,28782.0811665794,67354.4882975092,66094.7617402108,170095.313395354,333,0.0108756308926795,24770371.9881597,1324058116.02174,1348828488.0099,0.133449839722913,504,0.0721627353077962,3,6,8.4,10,50,1.5,15,30,70,25
290,7865.4276659384,28796.1278447832,58668.7354122441,61457.6847009227,156787.975623888,166,0.00653447464195808,25023029.0368479,1328134578.62835,1353157607.6652,0.138184004920543,556,0.0723592397812504,4,6,8.4,10,50,1.5,15,30,70,20
1346,7243.06771416773,26029.4764072664,59563.7054827108,71433.5040914185,164269.753695563,260,0.00897520081876002,24687018.0192977,1326591108.26386,1351278126.28316,0.136128673569847,535,0.0725519371943035,5,7.6,7.6,10,50,1.5,15,30,70,20
865,6585.09202751028,23325.54124714,83182.3597551124,99591.0277334545,212684.020763217,992,0.0247690358978922,24555376.284917,1312351997.83077,1336907374.11569,0.120413350318908,377,0.0725911931084003,6,6.8,8.4,10,50,1.5,15,30,70,25
1345,7240.91065411463,26009.3684521797,69817.0836676805,76724.9333999828,179792.296173958,466,0.0140390072287589,24429773.0673724,1322397090.57247,1346826863.63984,0.131260937316426,481,0.0726499722725923,7,7.6,7.6,10,50,1.5,15,30,70,25
1347,7245.38470954744,26051.0500192968,50339.9795076734,66030.567303409,149666.981539927,85,0.00421144440782471,24964530.8078387,1330941306.20888,1355905837.01672,0.141189366931073,594,0.072700405669449,8,7.6,7.6,10,50,1.5,15,30,70,15
291,7867.0045792825,28811.4011231018,50980.4166326439,56732.9267345062,144391.749069534,47,0.00249054359309106,25295445.0826344,1332363021.68057,1357658466.7632,0.14310597802312,613,0.0727982608081058,9,6,8.4,10,50,1.5,15,30,70,15
1825,7942.94152802017,29123.5998917763,64634.6757351651,59851.6657135549,161552.882868516,219,0.00808889576091989,24606353.2868026,1328235048.35656,1352841401.64336,0.13783821370592,554,0.0729635547334199,10,8.4,6.8,10,50,1.5,15,30,70,25
