"sim_calib_id","b1_calib_id","b2_calib_id","mh2_calib_id","mh3_calib_id","mh4_calib_id","mtb_calib_id","mtbh2_calib_id","mtbh3_calib_id","mtbh4_calib_id"
1,6,6,10,50,1.5,15,30,70,25
2,6,6,10,50,1.5,15,30,70,20
3,6,6,10,50,1.5,15,30,70,15
4,6,6,10,50,1.5,15,30,50,25
5,6,6,10,50,1.5,15,30,50,20
6,6,6,10,50,1.5,15,30,50,15
7,6,6,10,50,1.5,15,22,70,25
8,6,6,10,50,1.5,15,22,70,20
9,6,6,10,50,1.5,15,22,70,15
10,6,6,10,50,1.5,15,22,50,25
11,6,6,10,50,1.5,15,22,50,20
12,6,6,10,50,1.5,15,22,50,15
13,6,6,10,50,1.5,10,30,70,25
14,6,6,10,50,1.5,10,30,70,20
15,6,6,10,50,1.5,10,30,70,15
16,6,6,10,50,1.5,10,30,50,25
17,6,6,10,50,1.5,10,30,50,20
18,6,6,10,50,1.5,10,30,50,15
19,6,6,10,50,1.5,10,22,70,25
20,6,6,10,50,1.5,10,22,70,20
21,6,6,10,50,1.5,10,22,70,15
22,6,6,10,50,1.5,10,22,50,25
23,6,6,10,50,1.5,10,22,50,20
24,6,6,10,50,1.5,10,22,50,15
25,6,6,10,50,1.2,15,30,70,25
26,6,6,10,50,1.2,15,30,70,20
27,6,6,10,50,1.2,15,30,70,15
28,6,6,10,50,1.2,15,30,50,25
29,6,6,10,50,1.2,15,30,50,20
30,6,6,10,50,1.2,15,30,50,15
31,6,6,10,50,1.2,15,22,70,25
32,6,6,10,50,1.2,15,22,70,20
33,6,6,10,50,1.2,15,22,70,15
34,6,6,10,50,1.2,15,22,50,25
35,6,6,10,50,1.2,15,22,50,20
36,6,6,10,50,1.2,15,22,50,15
37,6,6,10,50,1.2,10,30,70,25
38,6,6,10,50,1.2,10,30,70,20
39,6,6,10,50,1.2,10,30,70,15
40,6,6,10,50,1.2,10,30,50,25
41,6,6,10,50,1.2,10,30,50,20
42,6,6,10,50,1.2,10,30,50,15
43,6,6,10,50,1.2,10,22,70,25
44,6,6,10,50,1.2,10,22,70,20
45,6,6,10,50,1.2,10,22,70,15
46,6,6,10,50,1.2,10,22,50,25
47,6,6,10,50,1.2,10,22,50,20
48,6,6,10,50,1.2,10,22,50,15
49,6,6,10,35,1.5,15,30,70,25
50,6,6,10,35,1.5,15,30,70,20
51,6,6,10,35,1.5,15,30,70,15
52,6,6,10,35,1.5,15,30,50,25
53,6,6,10,35,1.5,15,30,50,20
54,6,6,10,35,1.5,15,30,50,15
55,6,6,10,35,1.5,15,22,70,25
56,6,6,10,35,1.5,15,22,70,20
57,6,6,10,35,1.5,15,22,70,15
58,6,6,10,35,1.5,15,22,50,25
59,6,6,10,35,1.5,15,22,50,20
60,6,6,10,35,1.5,15,22,50,15
61,6,6,10,35,1.5,10,30,70,25
62,6,6,10,35,1.5,10,30,70,20
63,6,6,10,35,1.5,10,30,70,15
64,6,6,10,35,1.5,10,30,50,25
65,6,6,10,35,1.5,10,30,50,20
66,6,6,10,35,1.5,10,30,50,15
67,6,6,10,35,1.5,10,22,70,25
68,6,6,10,35,1.5,10,22,70,20
69,6,6,10,35,1.5,10,22,70,15
70,6,6,10,35,1.5,10,22,50,25
71,6,6,10,35,1.5,10,22,50,20
72,6,6,10,35,1.5,10,22,50,15
73,6,6,10,35,1.2,15,30,70,25
74,6,6,10,35,1.2,15,30,70,20
75,6,6,10,35,1.2,15,30,70,15
76,6,6,10,35,1.2,15,30,50,25
77,6,6,10,35,1.2,15,30,50,20
78,6,6,10,35,1.2,15,30,50,15
79,6,6,10,35,1.2,15,22,70,25
80,6,6,10,35,1.2,15,22,70,20
81,6,6,10,35,1.2,15,22,70,15
82,6,6,10,35,1.2,15,22,50,25
83,6,6,10,35,1.2,15,22,50,20
84,6,6,10,35,1.2,15,22,50,15
85,6,6,10,35,1.2,10,30,70,25
86,6,6,10,35,1.2,10,30,70,20
87,6,6,10,35,1.2,10,30,70,15
88,6,6,10,35,1.2,10,30,50,25
89,6,6,10,35,1.2,10,30,50,20
90,6,6,10,35,1.2,10,30,50,15
91,6,6,10,35,1.2,10,22,70,25
92,6,6,10,35,1.2,10,22,70,20
93,6,6,10,35,1.2,10,22,70,15
94,6,6,10,35,1.2,10,22,50,25
95,6,6,10,35,1.2,10,22,50,20
96,6,6,10,35,1.2,10,22,50,15
97,6,6.8,10,50,1.5,15,30,70,25
98,6,6.8,10,50,1.5,15,30,70,20
99,6,6.8,10,50,1.5,15,30,70,15
