"","sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","tb_mort_mse_total","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","b1_calib_id","b2_calib_id","mh2_calib_id","mh3_calib_id","mh4_calib_id","mtb_calib_id","mtbh2_calib_id","mtbh3_calib_id","mtbh4_calib_id","norm_hiv_prev_mse","norm_tb_mort_mse","norm_hiv_prev_tb_mort_mse","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female","hivprev_rank_total","hivprev_male","hivprev_female","hiv_tb_rank"
"1",1,14805.9594370287,63186.7853720649,214063.120575761,78999.8314058379,371055.696790692,25761632.2292395,1281186826.51999,1306948458.74923,6,6,10,50,1.5,15,30,70,25,0.213213442705144,0.0482256488870756,0.26143909159222,2228,4231,4181,1334,2667,1896,1921,1894,1559
"2",2,14798.8164996048,63143.4922036258,218588.960691911,79845.5429337185,376376.81232886,25916718.1380057,1282993229.11618,1308909947.25418,6,6,10,50,1.5,15,30,70,20,0.215269922608885,0.0492993486630956,0.26456927127198,2262,4229,4179,1356,2705,1937,1998,1928,1596
"3",3,14794.1012390276,63105.4451186123,223886.109821406,80840.4920071764,382626.148186223,26111124.0639584,1285681149.56163,1311792273.62559,6,6,10,50,1.5,15,30,70,15,0.218291834918772,0.0505603456217585,0.26885218054053,2301,4227,4177,1376,2723,1978,2081,1972,1639
"4",4,14554.7357038542,61797.9489697396,282890.285828296,100660.109892221,459903.080394112,26106497.0163659,1301240848.61638,1327347345.63275,6,6,10,50,1.5,15,30,50,25,0.234600211390589,0.0661533588175758,0.300753570208165,2562,4195,4127,1611,3036,2190,2080,2191,1860
"5",5,14547.5258279092,61754.1751050973,289065.07133705,102088.793368696,467455.565638752,26281065.5512051,1303215224.62142,1329496290.17262,6,6,10,50,1.5,15,30,50,20,0.236853225491537,0.0676773065043717,0.304530531995908,2587,4191,4125,1620,3049,2213,2140,2209,1881
"6",6,14542.711825459,61715.4957226488,296131.338495491,103716.565099671,476106.111143269,26498565.7886398,1306085731.57845,1332584297.36709,6,6,10,50,1.5,15,30,50,15,0.240090779380837,0.0694228218392724,0.309513601220109,2624,4185,4123,1651,3082,2243,2218,2241,1907
"7",7,14471.3670982225,61367.2950736393,263383.919956325,102120.528482222,441343.110610409,26069079.2162523,1301817717.64389,1327886796.86015,6,6,10,50,1.5,15,22,70,25,0.235165787281244,0.0624083103861411,0.297574097667385,2493,4167,4121,1622,2934,2196,2064,2199,1845
"8",8,14464.4190895535,61325.2923412978,269166.339229288,103397.344001804,448353.394661943,26243891.465611,1303763208.23842,1330007099.70403,6,6,10,50,1.5,15,22,70,20,0.237388772619817,0.0638228521982815,0.301211624818099,2526,4162,4116,1646,2952,2218,2130,2219,1862
"9",9,14459.8667806738,61288.4843803309,275804.429224102,104855.89758171,456408.677966817,26461849.2043449,1306591302.04021,1333053151.24455,6,6,10,50,1.5,15,22,70,15,0.240582339017487,0.0654482549579439,0.306030593975431,2547,4157,4109,1673,3002,2249,2209,2246,1889
"10",10,14218.0988032183,59972.181055934,344657.856750781,130439.158450847,549287.29506078,26570712.04148,1323111353.96719,1349682066.00867,6,6,10,50,1.5,15,22,50,25,0.25801656254061,0.0841893910327994,0.342205953573409,2804,4121,4061,1887,3254,2334,2232,2335,2029
"11",11,14211.1145310229,59929.9118425181,352324.939457604,132403.666675503,558869.632506649,26767864.912363,1325235022.26369,1352002887.17605,6,6,10,50,1.5,15,22,50,20,0.26044977694836,0.0861229242356735,0.346572701184033,2834,4119,4059,1903,3280,2339,2274,2339,2046
"12",12,14206.4864089125,59892.6798206291,360980.518601472,134608.497700823,569688.182531837,27012107.0546902,1328257978.76971,1355270085.8244,6,6,10,50,1.5,15,22,50,15,0.263875200214865,0.0883059015936327,0.352181101808498,2859,4117,4057,1921,3315,2345,2313,2345,2059
"13",13,21950.9020136197,97555.5550367034,193695.950424405,70786.3707121583,383988.778186887,25608901.2482634,1270945284.10996,1296554185.35822,6,6,10,50,1.5,10,30,70,25,0.202315793145337,0.0508352984048764,0.253151091550214,2305,4703,4696,1215,2521,1710,1838,1700,1468
"14",14,21948.6918800817,97509.1663350897,198184.662293592,71496.9569838451,389139.477492609,25795955.4398728,1274640430.18281,1300436385.62268,6,6,10,50,1.5,10,30,70,20,0.206386001462127,0.0518746114307319,0.258260612892859,2327,4701,4695,1221,2551,1787,1937,1781,1526
