"sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","tb_mort_mse_total","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_calib_id","b2_calib_id","mh2_calib_id","mh3_calib_id","mh4_calib_id","mtb_calib_id","mtbh2_calib_id","mtbh3_calib_id","mtbh4_calib_id","norm_hiv_prev_mse","norm_tb_mort_mse","norm_hiv_prev_tb_mort_mse","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female","hivprev_rank_total","hivprev_male","hivprev_female","hiv_tb_rank"
636,3718.09724982596,12570.526687123,27485.0161349169,30197.3617048633,73971.0017767292,334947549.609842,12985889.6189146,347933439.228757,0.0478636783119222,0.0123369367845672,6,10.8,10,35,1.5,15,22,50,15,0.0796380892204022,0,0.0796380892204022,1,778,739,533,190,756,783,137,4
660,3711.32791584477,12560.9001723332,27504.1611562958,30296.9131850637,74073.3024295375,332538535.675586,13511056.8665745,346049592.542161,0.0478243901002579,0.0128445509587874,6,10.8,10,35,1.2,15,22,50,15,0.0747191005489462,0.00019641526998717,0.0749155158189334,2,776,733,551,192,676,681,423,1
1206,3624.14101120868,11963.3794269649,22777.9142784686,38085.6833941186,76451.1181107607,351424247.123837,14252408.6041734,365676655.72801,0.0488587278985224,0.0135022723446065,6.8,10,10,35,1.5,15,30,50,15,0.125330042158638,0.00472414944938503,0.130054191608023,9,622,630,1303,33,1407,1423,1057,135
1782,3738.23255627619,12540.812632262,29921.2502884509,30251.6150382612,76451.9105152503,348366942.203564,14121959.2900138,362488901.493577,0.0486739156489262,0.0133075683234951,7.6,9.2,10,35,1.5,15,30,50,15,0.117204074339953,0.00472564648300077,0.121929720822953,10,768,754,543,354,1304,1309,954,89
1884,3641.14373058195,12405.1159776143,23303.576802585,36638.0485683224,75987.8850791036,337017211.508129,13015144.1520331,350032355.660162,0.0479725324313719,0.0124243313042489,7.6,10,10,35,1.5,15,22,50,15,0.0851029972960031,0.00384766414265585,0.0889506614386589,5,730,651,1195,43,844,871,149,17
1908,3633.68423223449,12394.0042732205,23327.6885430555,36748.0222151401,76103.3992636505,334602148.44204,13514698.3740934,348116846.816133,0.0479331706560966,0.0125552269674348,7.6,10,10,35,1.2,15,22,50,15,0.0801162800973517,0.00406647851947305,0.0841827586168247,6,727,643,1208,44,762,768,428,9
2460,3499.78682563051,11578.6265626902,31401.2411978656,29422.0784223366,75901.733008523,334256225.272818,13030223.7663437,347286449.039162,0.0478104025677692,0.0122790216373313,8.4,9.2,10,35,1.5,15,22,50,15,0.0779502116527392,0.00368436106823659,0.0816345727209758,3,501,461,436,451,727,748,157,7
2484,3493.24626394718,11568.8228377478,31415.3253174248,29510.1859468775,75987.5803659973,331847341.028829,13569949.1213104,345417290.15014,0.0477709475181381,0.0129960194673637,8.4,9.2,10,35,1.2,15,22,50,15,0.0730650702132993,0.00384708671568904,0.0769121569289884,4,496,447,446,452,655,645,475,3
3708,3412.47182763472,11347.0382912733,26439.3783067914,34927.2732089043,76126.1616346038,336768979.509529,13693457.8756974,350462437.385226,0.0479348669450598,0.0124644091460703,10,8.4,10,35,1.5,15,22,50,15,0.0862207683179475,0.00410957687202395,0.0903303451899715,7,427,290,1056,157,857,857,579,20
3732,3405.25290681424,11335.7536147407,26458.0897895728,35025.2498914002,76224.346202528,334358977.039515,14205478.3327486,348564455.372263,0.0478956351726665,0.0127398008032863,10,8.4,10,35,1.2,15,22,50,15,0.081282782444956,0.00429540607816803,0.0855781885231241,8,423,279,1071,158,778,752,1014,11
