"","sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","tb_mort_mse_total","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_calib_id","b2_calib_id","mh2_calib_id","mh3_calib_id","mh4_calib_id","mtb_calib_id","mtbh2_calib_id","mtbh3_calib_id","mtbh4_calib_id","norm_hiv_prev_mse","norm_tb_mort_mse","norm_hiv_prev_tb_mort_mse","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female","hivprev_rank_total","hivprev_male","hivprev_female","hiv_tb_rank"
"1",1,13454.0366663014,64479.26594249,421376.537846993,185026.75211496,684336.592570745,545052874.256046,88254471.2923335,633307345.548379,0.0583741238332859,0.0304984011944171,6,6,10,50,1.5,15,30,70,25,0.715646341773208,0.59777864048263,1.31342498225584,4490,4235,4121,4196,4556,2815,2796,2850,4572
"2",2,13451.1795937631,64452.3805221034,427307.587957297,186777.380229984,691988.528303147,544519092.152565,87981718.7919915,632500810.944556,0.0583663366830714,0.0304906605885549,6,6,10,50,1.5,15,30,70,20,0.714082209699292,0.602661729592844,1.31674393929214,4514,4233,4117,4210,4568,2790,2777,2831,4577
"3",3,13451.5895605072,64437.9732112674,433707.562005387,188675.509340698,700272.63411786,543459210.555906,87491585.2715759,630950795.827482,0.0583511017651123,0.0304827444789165,6,6,10,50,1.5,15,30,70,15,0.711073425436887,0.60791789933165,1.31899132476854,4526,4231,4118,4219,4578,2757,2739,2793,4580
"4",4,13247.8060781747,63307.6685135306,492962.536627291,213621.447138771,783139.458357767,538378932.163794,83754739.5401705,622133671.703965,0.0580778557647284,0.0298771978540776,6,6,10,50,1.5,15,30,50,25,0.693887464972292,0.658874631607935,1.35276209658023,4594,4187,4079,4338,4658,2551,2562,2533,4625
"5",5,13244.8579021736,63279.7506337502,499731.206950558,215689.891247011,791945.706733492,537809209.447755,83478742.634025,621287952.08178,0.0580691885645369,0.0298687445428196,6,6,10,50,1.5,15,30,50,20,0.69223264191408,0.66412781766616,1.35636045958024,4610,4185,4075,4347,4664,2535,2545,2509,4628
"6",6,13245.1497011015,63264.2706955146,507020.713978926,217933.151001968,801463.28537751,536714779.848127,82995327.8588898,619710107.707017,0.0580530270448969,0.0298600990221876,6,6,10,50,1.5,15,30,50,15,0.689142253679838,0.66977259682091,1.35891485050075,4616,4183,4076,4356,4670,2504,2509,2478,4631
"7",7,13174.5819037245,62912.228459389,477781.50638263,213255.311399342,767123.628145086,534362465.191808,83215890.4179325,617578355.609741,0.057848977493445,0.0298369920831688,6,6,10,50,1.5,15,22,70,25,0.684960718858713,0.649244444537219,1.33420516339593,4574,4181,4073,4336,4636,2463,2453,2494,4604
"8",8,13171.7988899723,62885.5053044322,484389.373284128,215243.60257827,775690.280056803,533809533.532213,82949788.0529852,616759321.585199,0.0578408547422922,0.0298289770417997,6,6,10,50,1.5,15,22,70,20,0.683352225344352,0.65440787339859,1.33776009874294,4584,4179,4071,4344,4649,2450,2442,2475,4609
"9",9,13161.9573400132,62850.6786077819,491039.511848851,217321.035656957,784373.183453603,533576394.908905,82995243.4856724,616571638.394577,0.0578509882421457,0.0298207800516484,6,6,10,50,1.5,15,22,70,15,0.682983485641268,0.659612357596238,1.34259584323751,4597,4177,4069,4352,4656,2447,2437,2477,4614
"10",10,12963.486247185,61736.4513416461,558205.20095416,246561.247210517,879466.385753508,526410168.466926,78273020.4204721,604683188.887398,0.0575002309847884,0.0291480638582366,6,6,10,50,1.5,15,22,50,25,0.659510866355369,0.714826898756544,1.37433776511191,4646,4135,4019,4444,4686,2366,2367,2367,4644
