"sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","tb_mort_mse_total","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_calib_id","b2_calib_id","mh2_calib_id","mh3_calib_id","mh4_calib_id","mtb_calib_id","mtbh2_calib_id","mtbh3_calib_id","mtbh4_calib_id","norm_hiv_prev_mse","norm_tb_mort_mse","norm_hiv_prev_tb_mort_mse","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female","hivprev_rank_total","hivprev_male","hivprev_female","hiv_tb_rank"
635,3553.03281812883,11781.8223692632,26189.5592698171,29326.0809534073,70850.4954106164,336253578.862334,12832758.8895024,349086337.751837,0.0479105260526706,0.0123602593279712,6,10.8,10,35,1.5,15,22,50,20,0.0831742684705686,0.00374188852631865,0.0869161569968873,7,686,692,619,285,816,861,53,14
636,3576.14320101055,11900.6199212848,26561.7178504502,26943.0446210944,68981.5255938399,334446582.318484,13110038.5139937,347556620.832478,0.0478581019454302,0.0123344064977195,6,10.8,10,35,1.5,15,22,50,15,0.0791753684568112,0,0.0791753684568112,1,721,705,337,321,757,784,124,3
659,3546.16933208701,11770.5052178826,26209.8999086784,29422.6417429575,70949.2162016055,333832130.548385,13326018.8396313,347158149.388017,0.0478712339273159,0.0124205384530381,6,10.8,10,35,1.2,15,22,50,20,0.0781322628131979,0.00393815817956349,0.0820704209927614,8,685,684,632,287,738,752,222,6
660,3569.21197593384,11889.2139135645,26569.1559761292,27014.7917422257,69042.3736078532,332029845.596653,13652758.1372152,345682603.733868,0.0478187054992361,0.0130808490599845,6,10.8,10,35,1.2,15,22,50,15,0.074264404788004,0.000122617215285791,0.0743870220032898,2,719,701,344,322,680,679,439,1
1206,3515.20221801609,11477.3447220545,21106.5875444873,34617.6559762916,70716.7904608495,350874243.474112,14351261.0597391,365225504.533851,0.0488546089826972,0.0134998923472713,6.8,10,10,35,1.5,15,30,50,15,0.12484194096743,0.00347584771909064,0.128317788686521,5,610,633,1161,50,1414,1425,1044,115
1230,3509.80511138192,11468.8303139017,21118.1248356291,34689.2726595073,70786.0329204201,348381309.359638,14747153.2264705,363128462.586109,0.0488150172239154,0.0134708039901207,6.8,10,10,35,1.2,15,30,50,15,0.119480634144814,0.00361365498698419,0.123094289131798,6,607,624,1166,51,1346,1336,1365,85
1884,3496.42716417851,11710.2211068838,21923.931024789,33146.5661952644,70277.1454911157,336148309.85401,13169932.1947551,349318242.048765,0.0479668737121122,0.0124217036512055,7.6,10,10,35,1.5,15,22,50,15,0.0837797342494801,0.00259928177153177,0.0863790160210119,3,678,596,1043,81,826,854,149,13
1908,3488.77200248233,11697.1565540236,21934.7642037872,33227.0397089673,70347.7324692604,333729056.796125,13690935.0798079,347419991.875933,0.0479274010208284,0.0128272954543492,7.6,10,10,35,1.2,15,22,50,15,0.0788177729954744,0.00274020276642763,0.081557975761902,4,674,577,1051,83,748,747,471,5
3708,3283.69113568991,10737.8049958971,25440.7042113661,31801.2701326679,71263.4704756209,336286255.401875,13810245.726148,350096501.128023,0.0479293038929798,0.0124618337166915,10,8.4,10,35,1.5,15,22,50,15,0.0858101791613812,0.00456202869888313,0.0903722078602644,9,381,258,912,254,863,862,573,21
3732,3276.29139686642,10724.7642414148,25448.1248843228,31872.3497927548,71321.5303153588,333868430.493841,14339247.386911,348207677.880752,0.0478899630976127,0.0129684441943211,10,8.4,10,35,1.2,15,22,50,15,0.0808783987045987,0.00467714083066574,0.0855555395352644,10,377,243,919,256,782,754,1034,12
