"","sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","tb_mort_mse_total","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female"
"1",1,14356.3583728519,69027.279418437,521930.925158308,208444.356125859,813758.919075456,158596958.138572,49125928.0971335,207722886.235706,0.0358362537942885,0.0302768676265105,6,6,8,35,1.2,14,22,40,17,1430,1503,1461,1218,1518
"2",2,14358.8058647083,69050.4685956945,516056.732548984,206563.496544957,806029.503554344,158807070.921135,48734950.9552451,207542021.87638,0.0358403891328851,0.0301169270155943,6,6,8,35,1.2,14,22,40,20,1424,1505,1463,1212,1516
"3",3,14636.1693574115,70619.4209033095,418058.126061598,163134.987910995,666448.704233314,164572430.912959,45130833.0361645,209703263.949124,0.0363559627676438,0.0291538515029004,6,6,8,35,1.2,14,22,60,17,1341,1515,1475,1097,1429
"4",4,14638.568667231,70641.7641639853,413114.449952623,161660.181767611,660054.96455145,164771292.589291,44781958.5921661,209553251.181458,0.0363596935925698,0.0290032538112534,6,6,8,35,1.2,14,22,60,20,1327,1517,1476,1093,1423
"5",5,14648.1674208043,70669.085601464,454779.923825218,176271.525714811,716368.702562297,165114851.562179,45537149.7148856,210652001.277064,0.0364500484722829,0.029382419227965,6,6,8,35,1.2,14,30,40,17,1385,1519,1479,1143,1467
"6",6,14650.6792199207,70692.3378177696,449558.034840182,174631.707704995,709532.759582867,165322652.412056,45177164.1956478,210499816.607704,0.0364540199019722,0.029228833197253,6,6,8,35,1.2,14,30,40,20,1381,1521,1480,1133,1461
"7",7,14923.1971581861,72227.453187926,362333.267253469,137659.393001157,587143.310600737,171241516.083284,41692761.7479177,212934277.831202,0.0369716345259963,0.028211604024302,6,6,8,35,1.2,14,30,60,17,1280,1529,1489,1021,1359
"8",8,14932.3123719902,72260.9817267181,358323.53433042,136459.076944554,581975.905373682,171224754.917737,41671797.2301553,212896552.147893,0.0369751732204446,0.0282052809544802,6,6,8,35,1.2,14,30,60,20,1267,1531,1491,1015,1354
"9",9,10876.0533078181,52688.487472423,535433.467553628,215713.807247139,814711.815581008,158058586.339098,49309876.0230575,207368462.362156,0.0357934446408278,0.0303410999754044,6,6,8,35,1.2,17,22,40,17,1432,1380,1314,1234,1528
"10",10,10877.7419512276,52709.5830849739,529591.479592778,213834.810079245,807013.614708225,158263663.989753,48925883.928797,207189547.91855,0.0357974876300875,0.0301843102797455,6,6,8,35,1.2,17,22,40,20,1426,1382,1315,1230,1520
"11",11,11150.7508126045,54287.8570913604,432156.228645849,170299.854272478,667894.690822292,164152586.204869,45283939.7013891,209436525.906258,0.0363576102021597,0.0292770722310941,6,6,8,35,1.2,17,22,60,17,1343,1400,1343,1121,1445
"12",12,11152.4687418433,54308.3987658881,427226.293974917,168818.005325437,661505.166808085,164346284.281856,44941553.9320804,209287838.213936,0.0363611940887577,0.0291294952942734,6,6,8,35,1.2,17,22,60,20,1331,1402,1344,1113,1435
"13",13,11159.7956213505,54324.8534190434,468703.489602399,183522.974671028,717711.113313822,164422278.284188,45780081.7663564,210202360.050545,0.0363945343525417,0.0294663660106706,6,6,8,35,1.2,17,30,40,17,1387,1405,1347,1161,1485
"14",14,11161.6184378535,54346.3445334405,463495.895643845,181878.890294072,710882.748909212,164625020.471886,45426223.2093387,210051243.681225,0.0363984172470603,0.0293158177135312,6,6,8,35,1.2,17,30,40,20,1383,1408,1348,1159,1477
"15",15,11429.6091757613,55889.9212265311,376485.82501982,144614.431184752,588419.786606865,170406167.437075,41992926.6789377,212399094.116013,0.0369049417727912,0.0283186201925491,6,6,8,35,1.2,17,30,60,17,1283,1431,1359,1049,1384
"16",16,11438.5634327598,55923.0333734924,372464.905232238,143400.25267011,583226.7547086,170385445.779492,41978793.5470553,212364239.326548,0.0369084023519536,0.0283151533095981,6,6,8,35,1.2,17,30,60,20,1273,1433,1361,1039,1375
"17",17,14353.8365570747,69017.2763699352,521966.977521446,208497.961882719,813836.052331175,159933827.585177,46804899.4566761,206738727.041853,0.0358554614553311,0.0292665535936678,6,6,8,35,1.5,14,22,40,17,1431,1502,1459,1219,1519
"18",18,14356.2774461441,69040.4188007209,516102.736498321,206623.448446994,806122.88119218,160147031.087258,46426988.1162246,206574019.203483,0.0358595923233496,0.0291075202419735,6,6,8,35,1.5,14,22,40,20,1425,1504,1460,1213,1517
"19",19,14633.5538200808,70609.1527811659,418082.84979117,163178.410680432,666503.967072849,165953555.259261,42925186.7544216,208878742.013682,0.0363755031701859,0.0281478584054189,6,6,8,35,1.5,14,22,60,17,1342,1514,1472,1098,1430
"20",20,14635.9467673993,70631.4497861511,413147.740383059,161708.482223965,660123.619160575,166155156.660215,42588441.8592149,208743598.51943,0.0363792298091107,0.0279981165035746,6,6,8,35,1.5,14,22,60,20,1328,1516,1473,1094,1424
"21",21,14645.5613454206,70658.8499146751,454805.412914318,176318.030489372,716427.854663785,166496770.909104,43314128.613874,209810899.522978,0.036469109972329,0.0283733030823463,6,6,8,35,1.5,14,30,40,17,1386,1518,1477,1144,1468
"22",22,14648.0660229193,70682.0600607771,449592.414162851,174683.745239312,709606.285485859,166707584.380757,42966752.9371462,209674337.317903,0.0364730771117333,0.0282205935501566,6,6,8,35,1.5,14,30,40,20,1382,1520,1478,1135,1462
"23",23,14920.5146533389,72216.9961983087,362349.261812799,137696.517546337,587183.290210784,172664654.10941,39591522.6377735,212256176.747183,0.036990752934509,0.0272078617675228,6,6,8,35,1.5,14,30,60,17,1281,1528,1488,1022,1360
"24",24,14929.6203805058,72250.4655780789,358347.201198265,136500.468556038,582027.755712887,172649152.665488,39570723.9848231,212219876.650311,0.0369942877008191,0.0272015968552051,6,6,8,35,1.5,14,30,60,20,1268,1530,1490,1016,1355
"25",25,10874.1793514765,52679.0980934536,535469.616773553,215767.71322574,814790.607444223,159391645.180854,46982397.9597904,206374043.140644,0.035812643392398,0.029330437951451,6,6,8,35,1.5,17,22,40,17,1433,1379,1312,1235,1529
"26",26,10875.8597090366,52700.1448234318,529637.608656959,213895.130403663,807108.743593091,159599761.052409,46611213.6272499,206210974.679659,0.0358166820144609,0.029174538010948,6,6,8,35,1.5,17,22,40,20,1427,1381,1313,1231,1521
"27",27,11148.7403236868,54278.1144179565,432181.118903343,170343.749369063,667951.723014049,165525844.14027,43074694.9240237,208600539.064294,0.0363767553817342,0.0282715510206803,6,6,8,35,1.5,17,22,60,17,1344,1399,1341,1122,1446
"28",28,11150.4503895355,54298.6078461693,427259.778749408,168866.868182882,661575.705167995,165722235.430611,42744171.9681102,208466407.398721,0.0363803353004495,0.028124811875968,6,6,8,35,1.5,17,22,60,20,1332,1401,1342,1114,1436
"29",29,11157.7794030867,54315.1026649096,468729.176591961,183569.912724449,717771.971384407,165799331.346916,43548461.0919477,209347792.438864,0.0364135869681585,0.0284568822124333,6,6,8,35,1.5,17,30,40,17,1388,1404,1345,1162,1486
"30",30,11159.5937400586,54336.5476549329,463530.536285199,181931.440876587,710958.118556778,166004985.568827,43206922.5745304,209211908.143357,0.0364174656716292,0.0283071934213027,6,6,8,35,1.5,17,30,40,20,1384,1406,1346,1160,1478
"31",31,11427.4612974293,55879.8334973121,376502.056081169,144652.270654642,588461.621530553,171823800.739338,39880609.8509483,211704410.590287,0.0369240545929567,0.0273143971242341,6,6,8,35,1.5,17,30,60,17,1284,1430,1358,1050,1386
"32",32,11436.4064152735,55912.8834043869,372488.913523108,143442.467501522,583280.670844289,171804180.747001,39866323.0417138,211670503.788715,0.0369275113341041,0.0273109720913323,6,6,8,35,1.5,17,30,60,20,1274,1432,1360,1040,1376
"33",33,14260.5453146765,69399.8867506715,571334.472456119,241871.804223084,896866.708744551,274999347.529244,22978453.5518919,297977801.081136,0.0445415757007379,0.0182305486479222,6,6,8,45,1.2,14,22,40,17,1474,1507,1452,1282,1546
"34",34,14262.6589527961,69420.1543642616,565942.889655117,240139.590038439,889765.293010613,275273544.185053,22866209.0005631,298139753.185616,0.0445449614044839,0.0182305486479222,6,6,8,45,1.2,14,22,40,20,1468,1509,1453,1272,1542
"35",35,14507.1310511036,70798.9773627548,473780.438117725,198890.296751562,757976.843283146,281736410.700257,23458760.8353395,305195171.535596,0.0449729145381764,0.0182568305411488,6,6,8,45,1.2,14,22,60,17,1403,1522,1467,1190,1488
"36",36,14509.1818638263,70818.4038247119,469160.227296965,197481.012842016,751968.825827519,281993498.892185,23365705.9607642,305359204.852949,0.0449759197996913,0.0182568305411488,6,6,8,45,1.2,14,22,60,20,1401,1523,1468,1187,1487
"37",41,10779.2628792307,53058.3106630142,584594.955879854,249125.410572505,897557.939994604,274628174.053836,22839280.0621815,297467454.116017,0.0445075703434143,0.0181692254932125,6,6,8,45,1.2,17,22,40,17,1476,1384,1299,1294,1554
"38",42,10780.7068673652,53076.8627099621,579239.761317918,247399.988300111,890497.319195357,274896737.342178,22729437.5029803,297626174.845158,0.0445108795739944,0.0181692254932125,6,6,8,45,1.2,17,22,40,20,1470,1386,1300,1286,1548
"39",43,11019.665550632,54457.2276497502,487708.295522521,206177.569124154,759362.757847058,280991217.470014,23381720.728304,304372938.198318,0.0449301508756643,0.0181949379655856,6,6,8,45,1.2,17,22,60,17,1404,1410,1328,1210,1496
"40",44,11021.1195513447,54475.213444239,483106.329896824,204767.488870539,753370.151762946,281242406.320161,23289666.7123853,304532073.032547,0.0449330887042169,0.0181949379655856,6,6,8,45,1.2,17,22,60,20,1402,1411,1329,1207,1495
"41",49,14258.3657959567,69391.3379805444,571366.655195909,241919.811048665,896936.170021074,276783477.885003,22277342.988918,299060820.873921,0.0445572732135299,0.0182305486479222,6,6,8,45,1.5,14,22,40,17,1475,1506,1450,1283,1547
"42",50,14260.4737167548,69411.5691520818,565984.210941335,240193.549386568,889849.803196739,277059102.140276,22174674.1309668,299233776.271243,0.0445606552748193,0.0182305486479222,6,6,8,45,1.5,14,22,40,20,1469,1508,1451,1273,1543
"43",57,10777.6616220013,53050.23573688,584627.178529766,249173.478326605,897628.554215253,276414010.066539,22138954.9653807,298552965.03192,0.0445232591992383,0.0181692254932125,6,6,8,45,1.5,17,22,40,17,1477,1383,1297,1295,1555
"44",58,10779.0987454223,53068.7499946475,579281.127804436,247454.039126092,890583.015670597,276683973.288921,22038498.6385986,298722471.92752,0.0445265648724617,0.0181692254932125,6,6,8,45,1.5,17,22,40,20,1471,1385,1298,1287,1549
"45",59,11017.9627998186,54448.8955139344,487731.055323678,206218.29732232,759416.210959751,282796343.878035,22762324.1627271,305558668.040762,0.0449457499044749,0.0181949379655856,6,6,8,45,1.5,17,22,60,17,1405,1409,1327,1211,1497
"46",129,11410.3800100146,53325.98239879,397936.264404467,144057.858069937,606730.484883209,161901356.648996,47883407.979752,209784764.628748,0.0360429625101911,0.029567340595744,6,7,8,35,1.2,14,22,40,17,1297,1388,1355,1043,1409
"47",130,11412.1023976445,53348.0596814843,392014.150015621,142287.038305913,599061.350400662,162163462.776488,47419430.9832942,209582893.759782,0.0360480655645843,0.0293726696085928,6,7,8,35,1.2,14,22,40,20,1291,1390,1357,1035,1405
"48",131,11715.4748419783,55095.2524958094,293751.568550519,102576.730445208,463139.026333515,169451488.488681,43086453.3584389,212537941.84712,0.0367376740842866,0.0282956938574879,6,7,8,35,1.2,14,22,60,17,1155,1417,1366,865,1259
"49",132,11713.6885812237,55111.386201043,288965.671507944,101305.845795239,457096.592085449,169597464.303033,42724086.1214378,212321550.424471,0.0367421328895711,0.0280520678648858,6,7,8,35,1.2,14,22,60,20,1141,1419,1364,863,1251
"50",133,11733.5810437927,55149.5635438118,330708.039360333,114237.153212747,511828.337160684,169642219.149574,43892022.7612816,213534241.910855,0.0367660433112679,0.0285066575697045,6,7,8,35,1.2,14,30,40,17,1204,1421,1369,927,1318
"51",134,11735.4866702479,55172.3533141154,325633.072266511,112768.874226473,505309.786477347,169902914.759351,43469173.8665927,213372088.625943,0.0367709251572944,0.028320077583803,6,7,8,35,1.2,14,30,40,20,1200,1424,1372,921,1309
"52",135,12032.0087014948,56898.4490958134,241135.895235677,81057.120589415,391123.4736224,176790943.29643,39760018.6429935,216550961.939424,0.0373989486430879,0.0272354155313809,6,7,8,35,1.2,14,30,60,17,1059,1439,1384,764,1163
"53",136,12031.7644532023,56919.2244636544,236899.815244833,79976.7510078166,385827.555169506,177335950.806997,39129795.0397687,216465745.846766,0.037403269485435,0.0269756915533225,6,7,8,35,1.2,14,30,60,20,1045,1441,1383,761,1155
"54",137,8107.2901756841,37527.5065228876,412782.912642266,151445.423176084,609863.132516921,161287773.84028,48213825.5985007,209501599.438781,0.0360105042246848,0.029724564261819,6,7,8,35,1.2,17,22,40,17,1301,1181,1106,1070,1419
"55",138,8107.43218511762,37543.7341357983,406841.87651758,149653.26946283,602146.312301325,161543392.180771,47755440.3860346,209298832.566806,0.0360154808813241,0.0295334571195531,6,7,8,35,1.2,17,22,40,20,1293,1183,1107,1063,1417
"56",139,8370.7690746522,39158.2388329776,308080.689613731,109248.036757623,464857.734278984,169018115.066777,43022489.9638099,212040605.030587,0.0366903842858708,0.0283440371019523,6,7,8,35,1.2,17,22,60,17,1161,1219,1125,905,1283
"57",140,8370.07554084534,39188.5828668789,303235.737133193,107956.71196151,458751.107502427,169284157.034847,42600994.4442931,211885151.47914,0.0366947337717679,0.0281019712270518,6,7,8,35,1.2,17,22,60,20,1147,1221,1122,897,1277
"58",141,8385.80668256547,39202.6970668295,345092.781893039,121169.05710788,513850.342750314,169100828.19169,43913671.699782,213014499.891472,0.0367180670880573,0.0285913211155574,6,7,8,35,1.2,17,30,40,17,1206,1223,1129,955,1335
"59",142,8386.25356838968,39220.2393307625,339989.299038192,119676.301677405,507272.093614749,169354905.697746,43498114.1731779,212853019.870924,0.0367228280222214,0.0284083933813513,6,7,8,35,1.2,17,30,40,20,1202,1225,1130,949,1332
"60",143,8656.25042605699,40856.9342352271,255063.726991907,87173.4594262332,391750.371079424,176073954.736295,39859705.9282014,215933660.664497,0.0373370282322754,0.0273485122206061,6,7,8,35,1.2,17,30,60,17,1061,1248,1154,795,1191
"61",144,8654.2313638646,40872.0463168193,250772.425605952,86058.0997725455,386356.803059181,176611375.033943,39233852.1883773,215845227.22232,0.0373412432099656,0.0270921380291644,6,7,8,35,1.2,17,30,60,20,1049,1250,1152,791,1183
"62",145,11408.8079970334,53318.493632737,397973.984446875,144108.041595138,606809.327671784,163261044.034324,45632780.4386736,208893824.472998,0.0360624969787272,0.0285627300103759,6,7,8,35,1.5,14,22,40,17,1298,1387,1354,1044,1410
"63",146,11410.5220576755,53340.5241997671,392060.78010448,142342.206543283,599154.032905206,163526877.093377,45184627.8425664,208711504.935943,0.0360675944414412,0.0283691580040442,6,7,8,35,1.5,14,22,40,20,1292,1389,1356,1036,1406
"64",147,11713.772621624,55087.4413667483,293776.677108865,102612.173569903,463190.06466714,170861624.221472,40983596.7488818,211845220.970354,0.0367569509299959,0.02729663734628,6,7,8,35,1.5,14,22,60,17,1156,1416,1365,866,1260
"65",148,11711.9747490274,55103.5344872665,288997.770989481,101344.340461832,457157.620687607,171009524.309248,40636115.6349395,211645639.944188,0.0367614046880358,0.0270548891960218,6,7,8,35,1.5,14,22,60,20,1142,1418,1363,864,1252
"66",149,11731.8570094699,55141.7332859207,330734.466533546,114278.483185623,511886.540014559,171060927.693889,41752299.2853014,212813226.97919,0.036785405714449,0.0275023310175657,6,7,8,35,1.5,14,30,40,17,1205,1420,1368,928,1319
