"","sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","tb_mort_mse_total","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female"
"1",1,14210.9341561402,68445.25008392,477719.950535891,198489.922973107,758866.057749058,201664461.839406,12049513.3973672,213713975.236773,0.0376855101953725,0.0174000003270414,6,6,8,35,1.2,14,22,40,17,5612,5825,5564,5068,5804
"2",2,14208.6716651184,68447.7765674927,474086.944446767,197134.839456446,753878.232135824,201753376.327412,11976243.2826131,213729619.610025,0.0377117226575442,0.0174000003270414,6,6,8,35,1.2,14,22,40,20,5601,5826,5563,5057,5791
"3",3,14495.2055545863,70081.5286974108,362178.083205678,151021.987217124,597776.804674799,209163087.804306,11190446.8626945,220353534.667001,0.0382961345806002,0.0174284920723341,6,6,8,35,1.2,14,22,60,17,5221,5853,5602,4612,5373
"4",4,14498.1153329206,70100.476101415,359524.363220854,150051.446755331,594174.40141052,209128404.379007,11175848.8780456,220304253.257053,0.03829457380739,0.0174284920723341,6,6,8,35,1.2,14,22,60,20,5205,5856,5606,4594,5366
"5",5,14505.1598473905,70083.8917893142,414727.014583179,167389.079556913,666705.145776797,208982446.963724,11365952.6240909,220348399.587815,0.0382976110964338,0.0174155860805099,6,6,8,35,1.2,14,30,40,17,5415,5854,5609,4792,5610
"6",6,14498.0865822066,70079.7249078786,411402.170696806,166223.588942688,662203.57112958,209377873.127274,11297652.7534153,220675525.880689,0.0383435931306668,0.0174155860805099,6,6,8,35,1.2,14,30,40,20,5396,5852,5605,4777,5593
"7",7,14781.5010623443,71691.4027094722,312075.973210881,126962.25292643,525511.129909128,216327606.62787,10851874.4828042,227179481.110674,0.038917834728107,0.0174438663919758,6,6,8,35,1.2,14,30,60,17,4960,5895,5656,4247,5128
"8",8,14779.6327532352,71695.5001066448,309544.077328731,126069.375381525,522088.585570136,216392945.768541,10816470.7838508,227209416.552392,0.0389420186204783,0.0174438663919758,6,6,8,35,1.2,14,30,60,20,4947,5896,5654,4237,5105
"9",9,10757.5645151561,52135.8142803067,491473.387721414,205784.753881962,760151.520398839,201058861.94841,12056100.5083523,213114962.456762,0.0376419896605469,0.0173373629516641,6,6,8,35,1.2,17,22,40,17,5617,5400,5006,5133,5843
"10",10,10755.7532048,52146.2576735584,487976.04062616,204504.230189045,755382.281693563,201351743.96611,11982230.9045656,213333974.870676,0.0376672345086132,0.0173373629516641,6,6,8,35,1.2,17,22,40,20,5607,5403,5004,5115,5832
"11",11,11028.3883727039,53769.1598486802,376432.664920067,158206.319611643,599436.532753094,208386868.791507,11224734.7056544,219611603.497161,0.0382561850735484,0.017365239222645,6,6,8,35,1.2,17,22,60,17,5223,5463,5086,4679,5451
"12",12,11025.9982006639,53772.1547920781,373522.0004663,157163.502782236,595483.656241278,208455050.026673,11174781.1881925,219629831.214866,0.0382805069669374,0.017365239222645,6,6,8,35,1.2,17,22,60,20,5209,5464,5084,4665,5447
"13",13,11041.2342481509,53763.2013529639,428772.23492471,174636.077136746,668212.747662571,208200229.517614,11371730.6047003,219571960.122314,0.0382399107480797,0.0173487481503383,6,6,8,35,1.2,17,30,40,17,5417,5460,5092,4873,5667
"14",14,11033.4679366694,53757.4498768329,425448.232024977,173467.821625056,663706.971463535,208590481.6564,11302968.4839076,219893450.140307,0.0382854911538765,0.0173487481503383,6,6,8,35,1.2,17,30,40,20,5404,5458,5089,4854,5646
"15",15,11308.1035149004,55366.809371801,326161.661961194,133868.624983966,526705.199831862,215383813.709267,10843219.9412765,226227033.650544,0.038847945118161,0.0173764216971016,6,6,8,35,1.2,17,30,60,17,4964,5544,5158,4368,5197
"16",16,11306.6179684932,55378.1417044795,323713.095319686,133024.290718274,523422.145710932,215666255.334334,10809858.45785,226476113.792184,0.0388720153535933,0.0173764216971016,6,6,8,35,1.2,17,30,60,20,4956,5547,5156,4355,5187
"17",17,14206.2818189546,68432.5442999638,477632.054857237,198531.507015799,758802.387991954,202832946.53292,11647477.5818285,214480424.114748,0.0377384402798731,0.0174000003270414,6,6,8,35,1.5,14,22,40,17,5611,5823,5560,5069,5803
"18",18,14207.6743912118,68443.2249398613,474159.664394906,197209.680664547,754020.244390526,202772995.613898,11587502.7845553,214360498.398453,0.0377387129535977,0.0174000003270414,6,6,8,35,1.5,14,22,40,20,5602,5824,5561,5058,5792
