"sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","tb_mort_mse_total","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female"
561,4792.66970791226,15756.9105047805,60696.4266976686,15679.7694906468,96925.7764010082,157834495.730385,14390919.817432,172225415.547817,0.033523911663334,0.0176662148515328,6,10,6,40,1.5,14,22,40,17,1108,2364,2106,10,1819
577,4786.40534692446,15735.4295555892,57776.5714324779,15296.8770116747,93595.2833466663,274005694.818008,13224286.1665942,287229980.984603,0.0432425820923866,0.0199804155329333,6,10,10,30,1.2,14,22,40,17,1022,2353,2094,2,1723
593,4789.021947278,15737.0727012048,57742.5806676413,15236.2899705009,93504.965286625,275214305.101771,13163038.3235767,288377343.425348,0.0432702006453373,0.0199804155329333,6,10,10,30,1.5,14,22,40,17,1017,2355,2099,1,1721
737,4110.46808388287,10803.7015181453,42391.0897853501,15466.931607323,72772.1909947013,440981070.545513,68966749.6950585,509947820.240571,0.0535584957295639,0.0241819378716198,6,11,10,40,1.2,14,22,40,17,276,978,1065,5,1137
753,4114.00117471816,10806.2120646085,42349.8098228059,15410.0222889487,72680.0453510813,442406887.483905,69754849.1029993,512161736.586904,0.0535957187255753,0.0242686999712587,6,11,10,40,1.5,14,22,40,17,273,982,1075,3,1133
761,5253.75363329733,12723.7556008719,47779.5485092894,15651.6946635137,81408.7524069723,441232171.618051,69303253.4736723,510535425.091724,0.0535278560905735,0.0242358477288353,6,11,10,40,1.5,17,22,40,17,586,1657,2554,9,1374
2241,4358.73609917315,13363.5526509147,46062.4155815692,15629.4749534651,79414.1792851221,275573399.068301,13419156.1115302,288992555.179831,0.043340996902384,0.020052077986011,8,9,10,30,1.2,14,22,40,17,502,1841,1520,8,1298
2249,4176.4815999486,10345.772727514,52402.3115301083,15508.7199402795,82433.2857978504,274572356.717401,13211815.1007841,287784171.818185,0.0432585046996419,0.019862845325136,8,9,10,30,1.2,17,22,40,17,614,746,1182,6,1543
2257,4361.74794335398,13365.748896626,46014.1024240212,15551.4265356364,79293.0257996376,276786276.867773,13369597.5189548,290155874.386727,0.043368773523445,0.020052077986011,8,9,10,30,1.5,14,22,40,17,499,1844,1530,7,1297
2265,4181.87365120195,10350.8258364958,52361.6539055118,15439.6310967205,82333.9844899301,275784004.042202,13159644.2125789,288943648.254781,0.0432862444346441,0.019862845325136,8,9,10,30,1.5,17,22,40,17,611,749,1191,4,1540
