"","X","sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","tb_mort_mse_total","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","hiv_prev_mse_male_norm","hiv_prev_mse_female_norm","avg_prev_mse_norm","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female"
"1",33,33,14675.285594802,68983.1581839608,641711.806301343,257023.669867211,982393.919947317,202706700.870771,88283974.5169838,290990675.387755,0.0424183522336105,0.0382898963294244,6,6,8,45,1.2,14,22,40,17,0.170408323620968,0.440557470794361,0.305482897207664,1954,1838,1860,1710,2020
"2",34,34,14680.1448331796,69021.583542215,632674.022930677,253828.410433206,970204.161739278,202940592.487391,87727919.1938121,290668511.681203,0.0424194388409035,0.0381225908729934,6,6,8,45,1.2,14,22,40,20,0.170892778460581,0.434545085784139,0.30271893212236,1947,1840,1862,1704,2018
"3",35,35,14925.7999559834,70302.8461951114,566244.531007107,219756.377105875,871229.554264076,205107124.061611,88489908.081606,293597032.143217,0.0426607510316473,0.0381778096516653,6,6,8,45,1.2,14,22,60,17,0.175380270237645,0.442784141101146,0.309082205669396,1915,1848,1872,1624,1990
"4",36,36,14930.5463990066,70340.2691014583,557999.944006564,217019.141492265,860289.900999293,205328352.958612,87957413.3548511,293285766.313463,0.0426619136823983,0.0380163910656488,6,6,8,45,1.2,14,22,60,20,0.175838497049548,0.437026506600136,0.306432501824842,1905,1850,1874,1610,1984
"5",37,37,14980.7705336015,70647.9601898124,568767.024505262,220565.163345428,874960.918574104,208463290.284358,85978131.8713007,294441422.155658,0.0428356689992163,0.0377539627961702,6,6,8,45,1.2,14,30,40,17,0.182331827512992,0.415625394468287,0.298978610990639,1920,1852,1876,1628,1992
"6",38,38,14985.7313235693,70686.768581323,560552.493737275,217734.700732799,863959.694374966,208693449.586216,85454797.5966483,294148247.182864,0.042836901029173,0.0375929909988988,6,6,8,45,1.2,14,30,40,20,0.182808551686686,0.409966807962347,0.296387679824516,1911,1854,1878,1617,1988
"7",39,39,15209.7487247221,71917.0872831716,501034.62929393,188699.575831175,776861.041132999,212103122.390551,84830024.3847508,296933146.775302,0.0432032718415316,0.0372936370234322,6,6,8,45,1.2,14,30,60,17,0.189870936031323,0.403211406228981,0.296541171130152,1867,1868,1887,1525,1954
"8",40,40,15214.5294063565,71954.500898982,493570.148266738,186286.82907199,767026.007644067,212321337.428351,84336117.6228943,296657455.051245,0.0432043840945139,0.037138468917486,6,6,8,45,1.2,14,30,60,20,0.190322920299363,0.397871006654177,0.29409696347677,1856,1870,1890,1509,1942
"9",41,41,11181.6802560967,52817.5457569662,654688.968482595,264270.062807933,982958.257303591,201479392.819517,88804897.001744,290284289.821261,0.0423661717638351,0.0384288881493597,6,6,8,45,1.2,17,22,40,17,0.167866225987376,0.446189979662356,0.307028102824866,1955,1696,1722,1727,2026
"10",42,42,11185.7286266896,52852.6983944352,645728.373285388,261085.772186415,970852.572492927,201707724.850615,88256349.7904374,289964074.641053,0.0423672269541559,0.0382646177851969,6,6,8,45,1.2,17,22,40,20,0.168339165373159,0.440258776608949,0.304298970991054,1949,1698,1724,1720,2022
