year,gender,year_gender,hiv_incidence,PLHIV_2b_CD4_350_more,PLHIV_2a_CD4_350_less,PLHIV_2_CD4_200_more,PLHIV_3_CD4_200_less,art_coverage,hiv_prevalence,n1_prop,n2_prop,n3_prop,n4_prop,n2_prop_eligible
1980,Males,1980_Males,0.000397387,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
1981,Males,1981_Males,0.000715297,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
1982,Males,1982_Males,0.001080894,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
1983,Males,1983_Males,0.001227132,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
1984,Males,1984_Males,0.001607035,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
1985,Males,1985_Males,0.003593971,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
1986,Males,1986_Males,0.005580908,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
1987,Males,1987_Males,0.007567845,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
1988,Males,1988_Males,0.009554782,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
1989,Males,1989_Males,0.011939106,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
1990,Males,1990_Males,0.021856306,0.661131179,0.2536832,0.914814379,0.085185621,0,0.058681519,0.941318481,0.053682697,0.004998822,0,0
1991,Males,1991_Males,0.025237745,0.642562234,0.264944741,0.907506975,0.092493025,0,0.074061314,0.925938686,0.067211159,0.006850155,0,0
1992,Males,1992_Males,0.028432071,0.622667739,0.276309675,0.898977414,0.101022586,0,0.090639807,0.909360193,0.081483139,0.009156668,0,0
1993,Males,1993_Males,0.031393861,0.602436231,0.287186618,0.88962285,0.11037715,0,0.107946764,0.892053236,0.096031908,0.011914856,0,0
1994,Males,1994_Males,0.034098064,0.582562082,0.297227668,0.87978975,0.12021025,0,0.125531974,0.874468026,0.110441744,0.01509023,0,0
1995,Males,1995_Males,0.035686472,0.563500811,0.306263047,0.869763858,0.130236142,0,0.142993243,0.857006757,0.124370355,0.018622888,0,0
1996,Males,1996_Males,0.035537865,0.542944273,0.31597883,0.858923102,0.141076898,0,0.159006582,0.840993418,0.136574426,0.022432155,0,0
1997,Males,1997_Males,0.034906471,0.520662517,0.326279045,0.846941562,0.153058438,0,0.172507805,0.827492195,0.14610403,0.026403775,0,0
1998,Males,1998_Males,0.033876989,0.498569501,0.335740985,0.834310486,0.165689514,0,0.183366976,0.816633024,0.152984991,0.030381985,0,0
1999,Males,1999_Males,0.032499283,0.477570883,0.343888182,0.821459065,0.178540935,0,0.191557848,0.808442152,0.15735693,0.034200917,0,0
2000,Males,2000_Males,0.032107492,0.458106251,0.350624809,0.808731059,0.191268941,0,0.197168983,0.802831017,0.15945668,0.037712302,0,0
2001,Males,2001_Males,0.032530148,0.443197534,0.354290382,0.797487916,0.202512084,0,0.201500849,0.798499151,0.160694492,0.040806357,0,0
2002,Males,2002_Males,0.032839537,0.43283218,0.355473087,0.788305266,0.211694734,0,0.205174588,0.794825412,0.161740208,0.04343438,0,0
2003,Males,2003_Males,0.03304829,0.42550289,0.35548898,0.78099187,0.21900813,0,0.208274373,0.791725627,0.162660592,0.045613781,0,0
2004,Males,2004_Males,0.03307115,0.420044582,0.354994797,0.775039379,0.222566072,0.034285714,0.210909405,0.789090595,0.163463094,0.046941278,0.000505033,0
2005,Males,2005_Males,0.032789843,0.415123853,0.354135732,0.769259585,0.219617015,0.068571429,0.213219193,0.786780807,0.164020908,0.046826563,0.002371722,0
2006,Males,2006_Males,0.032173105,0.409335851,0.352720394,0.762056245,0.209711036,0.102857143,0.215335328,0.784664672,0.164097632,0.045158195,0.006079502,0
2007,Males,2007_Males,0.03127664,0.401669514,0.350408574,0.752078088,0.19418537,0.137142857,0.217347114,0.782652886,0.163462002,0.04220563,0.011679482,0
2008,Males,2008_Males,0.030271561,0.391841492,0.346924794,0.738766287,0.17781183,0.171428571,0.21927206,0.78072794,0.161990806,0.038989166,0.018292088,0
2009,Males,2009_Males,0.029253695,0.380522978,0.342314704,0.722837682,0.165452191,0.205714286,0.221012135,0.778987865,0.159755899,0.036566942,0.024689294,0
2010,Males,2010_Males,0.028173028,0.368502683,0.336754419,0.705257102,0.153640621,0.24,0.222472877,0.777527123,0.156900577,0.034180871,0.03139143,0
2011,Males,2011_Males,0.026525429,0.35586282,0.325121401,0.68098422,0.145129004,0.274285714,0.223674347,0.776325653,0.152318701,0.032461635,0.038894011,0.477428685
2012,Males,2012_Males,0.02419335,0.342229025,0.294339405,0.63656843,0.152012728,0.308571429,0.223613359,0.776386641,0.142345205,0.033992077,0.047276077,0.462384546
2013,Males,2013_Males,0.021863502,0.327175233,0.271623827,0.59879906,0.15232551,0.342857143,0.221983883,0.778016117,0.132923741,0.033813808,0.055246334,0.453614318
2014,Males,2014_Males,0.019662343,0.311039839,0.253518074,0.564557913,0.149200173,0.377142857,0.219101437,0.780898563,0.12369545,0.032689972,0.062716015,0.449055921
2015,Males,2015_Males,0.017422516,0.291381069,0.239708838,0.531089907,0.145149465,0.411428571,0.215239223,0.784760777,0.114311379,0.031241858,0.069685986,0.451352652
2016,Males,2016_Males,0.015195017,0.259831376,0.23279106,0.492622436,0.145202528,0.445714286,0.210284351,0.789715649,0.10359079,0.030533819,0.076159742,1
2017,Males,2017_Males,0.014019715,0.237798127,0.228395051,0.466193178,0.14814807,0.48,0.204258929,0.795741071,0.095224119,0.030260566,0.078774243,1
2018,Males,2018_Males,0.013376727,0.225411663,0.226429313,0.451840977,0.153235196,0.48,0.198233506,0.80219431,0.089355769,0.03032418,0.078125741,1
2019,Males,2019_Males,0.012876318,NA,NA,0.443176301,0.158122296,0.48,0.191198358,0.808801642,0.084734581,0.030225581,0.076238196,1
2020,Males,2020_Males,0.012501816,NA,NA,0.438067192,0.161628853,0.48,0.18456938,0.81543062,0.08085379,0.0298253,0.07389029,1
2021,Males,2021_Males,0.012187086,NA,NA,0.435409046,0.163719979,0.48,0.179107189,0.820892811,0.07798489,0.029317816,0.071804482,1
