"","sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort"
"1",1,13365.0696428003,61734.6800409548,512128.37895474,187339.684865888,90370192.3124394,195600283.474636,285970475.787076,0.0300199475874785,0.0544777636943362,6,6,8,35,1.2,14,22,40,17
"2",2,13378.4821493955,61797.8643536231,504503.06613346,184643.601606939,90219897.6272618,195866079.226561,286085976.853823,0.0300212784642123,0.0543185375792108,6,6,8,35,1.2,14,22,40,20
"3",3,13615.0245335801,63114.7971473198,431865.116356203,148947.129490284,93966000.8669261,189406844.594053,283372845.460979,0.0305813711729655,0.053769678864137,6,6,8,35,1.2,14,22,60,17
"4",4,13619.1765394724,63147.7604489393,424580.279214551,146664.166766592,94060586.3122202,188538158.074335,282598744.386556,0.0305825606421452,0.0536031499662589,6,6,8,35,1.2,14,22,60,20
"5",5,13628.1481472817,63190.0786504622,449184.246126788,157000.19510796,94162078.2363717,188417264.132075,282579342.368446,0.0305499688640736,0.0535960979490482,6,6,8,35,1.2,14,30,40,17
"6",6,13632.5130132359,63224.470353976,441767.638593176,154537.857067175,94263526.516328,187538627.56491,281802154.081238,0.0305512451176747,0.0534283927368993,6,6,8,35,1.2,14,30,40,20
"7",7,13866.3931376822,64526.6352309955,377454.926250842,124535.839931864,97958581.6305965,181611873.879289,279570455.509886,0.0310886735748991,0.0529163834193761,6,6,8,35,1.2,14,30,60,17
"8",8,13870.5856289525,64559.7355746721,370886.152373721,122555.076539419,98057868.1014845,180791965.006254,278849833.107738,0.0310898258093594,0.0527558559378125,6,6,8,35,1.2,14,30,60,20
"9",9,10201.3291681872,46913.0878716979,524489.139405182,194023.691734388,89688464.2613658,197366290.032631,287054754.293997,0.0299708685793947,0.0545427741564388,6,6,8,35,1.2,17,22,40,17
"10",10,10204.9303421792,46943.7268342601,516317.513579893,191194.967368085,89781384.5216348,196449806.633089,286231191.154724,0.0299721741580308,0.0543716422150275,6,6,8,35,1.2,17,22,40,20
"11",11,10438.9664066579,48242.7152194406,443883.364787148,155290.590164295,93549803.5536599,189841163.553936,283390967.107596,0.0305320562775663,0.0538363730877546,6,6,8,35,1.2,17,22,60,17
"12",12,10442.4796830773,48272.577718073,436639.67245225,152995.358197382,93641477.726806,188987922.796976,282629400.523782,0.030533212151921,0.0536727609695885,6,6,8,35,1.2,17,22,60,20
"13",13,10450.6758389247,48311.5088947042,461239.428244693,163462.176731363,93703642.7374369,188926799.058964,282630441.7964,0.0304988263188884,0.0536670647343525,6,6,8,35,1.2,17,30,40,17
"14",14,10454.3946805639,48342.7870729954,453862.948848687,160990.274651668,93801977.441357,188063557.784193,281865535.22555,0.0305000699220441,0.0535022901548662,6,6,8,35,1.2,17,30,40,20
"15",15,10689.1865395473,49645.3654584366,389737.576907159,130699.557752135,97438977.6893168,182198904.16527,279637881.854587,0.0310285207598489,0.0530013486838126,6,6,8,35,1.2,17,30,60,17
"16",16,10692.8102667184,49675.8121366694,383190.737214037,128699.178117329,97535148.0973098,181393204.297684,278928352.394994,0.031029640567784,0.0528436325579978,6,6,8,35,1.2,17,30,60,20
"17",17,13371.1038334018,61754.6321090205,513066.82191426,187754.188625348,90742834.6108292,190992602.238526,281735436.849355,0.0300247348326063,0.0533433459560629,6,6,8,35,1.5,14,22,40,17
"18",18,13375.4148350298,61788.810286745,504837.824845632,184923.597746365,90845349.6771869,190077116.660546,280922466.337733,0.0300260530822535,0.0531696306993377,6,6,8,35,1.5,14,22,40,20
"19",19,13611.8641812247,63105.1798836125,432271.938080303,149251.410891348,94635157.982472,183717409.927028,278352567.9095,0.0305862521085515,0.0526234404249464,6,6,8,35,1.5,14,22,60,17
"20",20,13616.0120915429,63138.1264798674,424981.671572546,146962.222685082,94736106.6836461,182864438.053584,277600544.73723,0.0305874413967213,0.0524572642601192,6,6,8,35,1.5,14,22,60,20
"21",21,13625.0212540442,63180.794634188,449498.503342651,157259.094660436,94850422.2722259,182739505.086065,277589927.358291,0.0305547289012704,0.0524489337903165,6,6,8,35,1.5,14,30,40,17
"22",22,13629.3823010579,63215.1712447858,442078.19505589,154791.778407414,94958374.5175149,181876827.312689,276835201.830204,0.030556004967198,0.052281590024933,6,6,8,35,1.5,14,30,40,20
"23",23,13863.1714581594,64516.7732036289,377829.90147718,124807.73214922,98693362.4855107,176043222.123922,274736584.609432,0.0310935428360931,0.0517720847184355,6,6,8,35,1.5,14,30,60,17
"24",24,13867.3600642213,64549.8565798997,371255.633329817,122820.913364046,98798679.0466921,175238426.868595,274037105.915287,0.0310946948949889,0.0516119007427353,6,6,8,35,1.5,14,30,60,20
"25",25,10195.3904125805,46890.093765744,524389.178647363,194169.358213722,90436230.8607845,190975346.065116,281411576.925901,0.0299757070992839,0.0533636857937001,6,6,8,35,1.5,17,22,40,17
"26",26,10198.9554349583,46920.550788849,516231.994509091,191341.403771982,90535921.1673448,190077223.069014,280613144.236359,0.0299770124844142,0.0531931181464808,6,6,8,35,1.5,17,22,40,20
"27",27,10436.1571127903,48233.464094607,444287.800437871,155597.139819054,94211660.6953502,184144489.775832,278356150.471182,0.0305369025360923,0.0526900006243735,6,6,8,35,1.5,17,22,60,17
"28",28,10439.6633527308,48263.3043294256,437039.044651883,153295.986443239,94309590.0485818,183306675.082291,277616265.130873,0.0305380582354057,0.0525267360677546,6,6,8,35,1.5,17,22,60,20
"29",29,10447.8846312932,48302.5343125925,461552.241488723,163722.726907573,94384449.3690839,183239784.478779,277624233.847863,0.030503566439789,0.0525196290916737,6,6,8,35,1.5,17,30,40,17
"30",30,10451.5966796887,48333.791995085,454172.372597987,161246.111955554,94489178.9862553,182392212.814513,276881391.800768,0.0305048098606187,0.0523552110713077,6,6,8,35,1.5,17,30,40,20
"31",31,10686.2727709175,49635.7702786629,390111.258002984,130974.904805011,98165172.0275216,176620395.54081,274785567.568331,0.0310333556691638,0.05185687174471,6,6,8,35,1.5,17,30,60,17
"32",32,10689.8897982315,49666.1944844947,383559.282072241,128968.763149558,98267271.5961465,175829531.284865,274096802.881011,0.0310344753073038,0.0516994943984056,6,6,8,35,1.5,17,30,60,20
"33",33,13318.8012571482,62147.0230822966,558382.025296121,218522.048410336,161144916.866791,122161166.717291,283306083.584082,0.0387827591605773,0.0455163430656518,6,6,8,45,1.2,14,22,40,17
"34",34,13322.9981308426,62180.2584483658,550210.107186715,215601.563830406,161325844.223696,121480897.048096,282806741.271792,0.0387840200146481,0.0453532375640159,6,6,8,45,1.2,14,22,40,20
"35",35,13532.8818499677,63313.8035956816,485682.016127087,182777.382087684,164424487.312448,119704572.125634,284129059.438082,0.0391553737409901,0.0450140298121323,6,6,8,45,1.2,14,22,60,17
"36",36,13536.944671073,63345.9947957742,478293.24248503,180319.55520523,164597299.015868,119061691.107905,283658990.123773,0.0391565279770683,0.0448568887630077,6,6,8,45,1.2,14,22,60,20
"37",37,13576.9780410543,63588.9448212438,492003.666987609,185212.718743725,166866125.171354,117140470.463192,284006595.634546,0.0393069281701703,0.0446597811803645,6,6,8,45,1.2,14,30,40,17
"38",38,13581.2473808374,63622.4743486793,484599.603988053,182645.387215757,167047630.104221,116501704.770325,283549334.874547,0.0393081469046872,0.0445025288066595,6,6,8,45,1.2,14,30,40,20
"39",39,13778.2649255098,64725.9746449836,426985.887396864,154779.489537871,170603018.097969,114151185.633296,284754203.731265,0.039705763191024,0.0441498035723146,6,6,8,45,1.2,14,30,60,17
"40",40,13782.3516403185,64758.1771866207,420307.950905596,152628.847404046,170775940.990706,113550142.095458,284326083.086164,0.0397068566995723,0.043998382071318,6,6,8,45,1.2,14,30,60,20
"41",41,10133.3741836852,47228.7779298577,568900.610592294,224745.477501466,161054193.569864,120904227.182262,281958420.752126,0.038838724445541,0.045293432494942,6,6,8,45,1.2,17,22,40,17
"42",42,10136.8516975645,47258.5773414492,560826.606609993,221842.33423392,161231752.846838,120241561.063788,281473313.910626,0.0388397586276253,0.0451333382320734,6,6,8,45,1.2,17,22,40,20
"43",43,10353.1414718787,48431.1845510225,497419.490889152,189221.184576081,163932982.760045,119864755.138956,283797737.899002,0.039117871937886,0.0450698037922303,6,6,8,45,1.2,17,22,60,17
"44",44,10356.5962473756,48460.5710482335,490086.722927205,186761.878964244,164101621.698139,119233449.158364,283335070.856503,0.039118993493084,0.0449154609938381,6,6,8,45,1.2,17,22,60,20
"45",45,10392.2707371756,48682.4206224905,503562.580196765,191611.029433054,165895612.067244,117378224.707604,283273836.774849,0.0392441708823529,0.044732648863647,6,6,8,45,1.2,17,30,40,17
"46",46,10395.9364574171,48713.2054694082,496211.490474297,189043.87417045,166072666.875647,116750400.858263,282823067.73391,0.0392453555497441,0.0445781766135614,6,6,8,45,1.2,17,30,40,20
"47",47,10597.2927340081,49837.1415060685,439136.346732394,161171.613885522,169973422.152603,114407315.860895,284380738.013498,0.0396575811359719,0.0442237363157034,6,6,8,45,1.2,17,30,60,17
"48",48,10600.8400804239,49866.9658818187,432495.064242949,159011.771944852,170142065.994927,113816737.340952,283958803.335879,0.0396586437485461,0.0440750096655606,6,6,8,45,1.2,17,30,60,20
"49",49,13315.916748735,62138.6430181582,558692.644048046,218791.778206447,162380994.634717,117780707.043752,280161701.678469,0.0387872820110755,0.0444091614559155,6,6,8,45,1.5,14,22,40,17
"50",50,13320.1098056837,62171.8638103543,550518.662622247,215867.481806894,162567503.943896,117115082.44828,279682586.392176,0.0387885426794513,0.0442464009635253,6,6,8,45,1.5,14,22,40,20
"51",51,13529.9021182567,63304.9007544861,486061.570677659,183076.765988929,165691308.783208,115379929.814995,281071238.598204,0.0391600530377304,0.0439084843576796,6,6,8,45,1.5,14,22,60,17
"52",52,13533.9610949346,63337.0759353059,478668.998268525,180614.122004363,165869363.176221,114751040.60111,280620403.777331,0.0391612070965075,0.0437516697636661,6,6,8,45,1.5,14,22,60,20
"53",53,13569.8668573265,63562.8933521872,491853.953107951,185317.707691564,168376057.332624,112418531.998698,280794589.331321,0.0393114353237838,0.0435268137662976,6,6,8,45,1.5,14,30,40,17
"54",54,13574.1006892669,63596.234138287,484465.383790258,182752.232394737,168562643.768352,111795659.160317,280358302.928669,0.0393126538786966,0.0433701277585067,6,6,8,45,1.5,14,30,40,20
"55",55,13775.2336033519,64716.8506053754,427337.453619136,155050.991050402,171927802.076701,109954062.501784,281881864.578485,0.0397103276394857,0.0430462167607775,6,6,8,45,1.5,14,30,60,17
"56",56,13779.3165652034,64749.0364133585,420655.60333224,152895.651521696,172105676.24492,109366435.605949,281472111.850869,0.0397114209822752,0.0428951134518103,6,6,8,45,1.5,14,30,60,20
"57",57,10130.867312472,47220.7576231849,569206.30298444,225012.810094332,162292030.499481,116553169.265209,278845199.76469,0.0388424652323457,0.0441868330177716,6,6,8,45,1.5,17,22,40,17
"58",58,10134.3382616765,47250.5380351035,561130.45576179,222106.106624769,162475059.56563,115904819.727434,278379879.293064,0.0388434992800747,0.0440270772331809,6,6,8,45,1.5,17,22,40,20
"59",59,10350.4898396289,48422.5681813086,497796.058966752,189521.148830898,165194071.144091,115535073.309242,280729144.453333,0.0391225180258718,0.0439642066192364,6,6,8,45,1.5,17,22,60,17
"60",60,10353.9380774811,48451.9337791627,490459.801174861,187057.284242138,165367860.789706,114917495.39718,280285356.186886,0.0391236394096283,0.0438101857546697,6,6,8,45,1.5,17,22,60,20
"61",61,10389.6430838099,48674.0900344369,503854.009090054,191861.461945335,167187623.840704,113093539.395831,280281163.236535,0.0392486462444805,0.043626117685584,6,6,8,45,1.5,17,30,40,17
"62",62,10393.3025935163,48704.8556952616,496500.787171773,189290.717743898,167369884.787091,112479522.740167,279849407.527259,0.0392498307381613,0.0434719708684172,6,6,8,45,1.5,17,30,40,20
"63",63,10594.5490075721,49828.2156574046,439485.911297011,161444.767617497,171291346.742736,110202666.730049,281494013.472784,0.0396621132547256,0.0431200514471989,6,6,8,45,1.5,17,30,60,17
"64",64,10598.0901045508,49858.0187522047,432841.024873597,159280.479615635,171464855.237425,109625254.412042,281090109.649466,0.0396631757070098,0.0429716383985114,6,6,8,45,1.5,17,30,60,20
"65",65,13271.3626045972,62026.2695746676,558360.292898296,228061.358277726,294038520.61585,63499081.0110919,357537601.626942,0.0475090482223996,0.0326715271105195,6,6,12,35,1.2,14,22,40,17
