"","sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","hiv_prev_mse_male_norm","hiv_prev_mse_female_norm","hiv_prev_mse_male_norm_rank","hiv_prev_mse_female_norm_rank","tb_mort_mse_male_neg_norm","tb_mort_mse_female_neg_norm","tb_mort_mse_male_pos_norm","tb_mort_mse_female_pos_norm","tb_mort_mse_overall_norm","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female"
"1",184,11127.6579738104,50739.2686021396,311148.367041459,98851.3939931628,175745318.791173,104735022.7214,280480341.512572,0.0400434451404352,0.0420738696670713,6,7,8,45,1.5,14,30,60,20,0.200016822562514,0.397929179120828,1923,4460,0.269414214212838,0.315415194644256,0.0704161671842778,0.321710426176855,0.234603859779759,1115,1113,1163,816,1219
"2",192,8015.07646614324,36213.233266835,323523.735825997,104678.473541704,174879942.329378,104928796.597139,279808738.926518,0.039984454555379,0.042163407125017,6,7,8,45,1.5,17,30,60,20,0.198005479582874,0.399188641501272,1892,4469,0.178139159243427,0.204706363745635,0.0754243327490617,0.335234538074092,0.199766765844759,1076,1011,1053,835,1225
"3",295,8506.24220651898,37055.4475873216,211039.948621914,55095.3597633134,179559478.219805,102531400.70578,282090878.925585,0.0404913613199164,0.0420913235481617,6,8,8,45,1.2,14,30,60,17,0.208881846201016,0.383606407184718,2078,4368,0.183431254204232,0.222176230722776,0.0328094274691317,0.212309447819513,0.154657159571995,1014,1017,1083,615,1115
"4",296,8508.81313161331,37079.9752920362,204763.313467412,53759.216793776,179825408.79034,101735942.721318,281561351.511658,0.0404926500053416,0.0418818223975533,6,8,8,45,1.2,14,30,60,20,0.209499932790764,0.378436208659084,2086,4326,0.183585375238941,0.222267673825815,0.0316610605807235,0.205450184257714,0.152303983264482,1008,1020,1084,602,1102
"5",307,8209.2229465148,35462.7823374792,268145.106933521,75575.7096584054,172928307.109917,104627448.579137,277555755.689054,0.0398172635124806,0.0421350255714913,6,8,8,45,1.5,14,22,60,17,0.193469410056157,0.397229984842073,1826,4455,0.173423664048237,0.211611798932496,0.0504115525551028,0.274715390168524,0.174545175413234,1041,999,1058,732,1188
"6",308,8211.46550836617,35485.2282309111,260685.766675292,73764.7063260277,173200042.291344,103785338.095976,276985380.387319,0.0398186029231849,0.0419166713769123,6,8,8,45,1.5,14,22,60,20,0.194100987957352,0.391756561401108,1834,4422,0.173564703919719,0.211691562755603,0.0488550602416946,0.266563636949024,0.17167686249228,1039,1000,1060,721,1183
"7",309,8268.46823380099,35750.6666605421,273940.740438719,76598.11901795,174358537.889669,103389523.442532,277748061.332201,0.0398100843456835,0.0419519643742638,6,8,8,45,1.5,14,30,40,17,0.196793610291689,0.389183904670482,1873,4406,0.175232599301791,0.213719045433688,0.0512902766749523,0.281049003122151,0.177492112886227,1047,1005,1065,739,1194
"8",310,8271.0007968253,35775.0862332651,266509.571472314,74627.2482570633,174644000.31839,102543752.808311,277187753.126701,0.0398118747770263,0.0417336477987868,6,8,8,45,1.5,14,30,40,20,0.197457093616355,0.383686691528506,1885,4370,0.175386040883831,0.213809124068065,0.049596384049137,0.272928036193514,0.174596359063174,1042,1006,1066,728,1187
"9",311,8495.53135922615,37031.8583379461,210743.823696012,55123.2987161641,181245606.108113,98018130.3913952,279263736.499508,0.0404950084549049,0.0409212239216359,6,8,8,45,1.5,14,30,60,17,0.212800812848079,0.354271729576331,2151,4154,0.183283029999641,0.221795265476147,0.0328334399955469,0.211985835109203,0.154461441626583,1012,1016,1081,616,1114
"10",312,8498.08706701538,37056.3341068928,204467.170532672,53778.1279675394,181518413.527062,97244412.9410949,278762826.468157,0.0404962969713679,0.0407122204091435,6,8,8,45,1.5,14,30,60,20,0.213434882887099,0.349242836914573,2165,4116,0.183436824693407,0.221886167327477,0.0316773140552886,0.205126551866895,0.152105758180832,1007,1018,1082,603,1101
