"","sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","hiv_prev_mse_male_norm","hiv_prev_mse_female_norm","hiv_prev_mse_male_norm_rank","hiv_prev_mse_female_norm_rank","tb_mort_mse_male_neg_norm","tb_mort_mse_female_neg_norm","tb_mort_mse_male_pos_norm","tb_mort_mse_female_pos_norm","tb_mort_mse_overall_norm","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female"
"1",1343,4429.63120371885,13203.6569237845,77774.6087237839,19775.6655851519,119495362.760849,182228829.9624,301724192.723249,0.0325739676551261,0.0528144676268229,7,9,8,45,1.5,17,30,60,17,0.221356296096247,0.390761978888059,2514,3730,0.0472605755006531,0.222905054989444,0.000486389650173562,0.116555508997491,0.0891456956923188,328,277,521,3,476
"2",2103,7936.06311618843,26603.8496641641,97181.073566208,19307.6645920061,118845423.941287,185036375.208307,303881799.149594,0.0324887843201347,0.0531550236357011,8,8,8,45,1.5,14,30,60,17,0.219387662633842,0.39945593784851,2485,3804,0.16342751532935,0.520796150215336,0,0.150748391310699,0.182069250502147,478,468,632,1,507
"3",2104,7937.32548674907,26609.5758918412,93586.3686879883,19806.2710345765,119034002.554012,183969704.680507,303003707.234519,0.0324906218338527,0.0529464642758454,8,8,8,45,1.5,14,30,60,20,0.219958858192762,0.396152842446385,2495,3780,0.163477156282948,0.520903395688306,0.000518197646432237,0.144414763736089,0.180355998809007,477,469,634,4,504
"4",2112,5101.81591041315,15541.774816086,102609.579743608,19719.7825516348,118043993.211651,184657360.029883,302701353.241534,0.0323938363922526,0.0530408775645189,8,8,8,45,1.5,17,30,60,20,0.216960167453256,0.398282264009627,2450,3797,0.0675298362321739,0.280010923139678,0.000428310865040498,0.160313053106009,0.117730561065685,381,322,565,2,517
"5",2469,2426.60825257005,9658.26757752374,11686.6709777498,104226.798191609,124854959.028227,177884054.224004,302739013.252231,0.0330067551553811,0.0524146734549128,8,11,8,45,1.2,14,30,40,17,0.237590255723489,0.377307769372809,2727,3628,0.0165254182655402,0.0527369993775865,0.0882557693027965,0.000113019547647959,0.0403631201837587,88,101,256,226,2
"6",2477,2333.02911090898,19169.9401146867,11925.6305440492,94192.057699423,123197115.205392,178345272.96905,301542388.174442,0.0328699449574589,0.0524842140118166,8,11,8,45,1.2,17,30,40,17,0.232568726424354,0.378735998124265,2675,3635,0.0989825823304496,0.0447869254290291,0.077826744601867,0.000534050188438789,0.0522621399889875,173,379,224,203,4
"7",2485,2428.54196050678,9662.52750913339,11622.5257601034,103679.916740342,125581657.978479,174408598.392784,299990256.371264,0.0330103329042382,0.0516632525836137,8,11,8,45,1.5,14,30,40,17,0.239791391934319,0.366545531289722,2748,3552,0.0165623478253279,0.0529012787332105,0.0876873998299447,0,0.0401989452606911,87,102,258,225,1
"8",2493,2337.09393901197,19178.1346839983,11871.1917208719,93666.1146061943,123913977.35323,174862660.566352,298776637.919582,0.0328735046010434,0.0517325901954647,8,11,8,45,1.5,17,30,40,17,0.234740067433216,0.36795159871045,2700,3563,0.0990536214608999,0.045132255418526,0.077280136195318,0.000438132653262563,0.0521526560304594,172,380,228,202,3
"9",5552,2403.08390983694,7764.45268712083,24348.5989214756,58710.7432276181,125145141.632321,176030294.2988,301175435.931121,0.0332446098003887,0.0523173159830879,12,7,8,45,1.2,17,30,60,20,0.23846920489137,0.371567340884345,2735,3586,0.000107842437903671,0.0507384742682544,0.040951301202404,0.0224224826855026,0.0291813985076036,14,3,239,111,221
"10",5568,2404.78249950627,7769.3507585135,24366.4545135093,58301.1169414331,125867484.884484,172532764.012489,298400248.896973,0.0332483418438962,0.0515602663178377,12,7,8,45,1.5,17,30,60,20,0.240657147901928,0.360736746144527,2756,3517,0.000150304063327421,0.0508827790058244,0.0405255799134379,0.0224539430345151,0.0291004734982162,10,4,240,109,223
"11",5672,2701.53565376355,7752.01274977177,26216.8229412885,153470.961960031,132071609.101666,164610063.180745,296681672.28241,0.0340205688430612,0.0509188484299883,12,8,8,45,1.2,14,30,60,20,0.25944914211932,0.336202988055484,2909,3381,0,0.0760936270531144,0.139434830756096,0.0257141674185468,0.0647634248630157,222,1,325,304,247
"12",5688,2702.8374390733,7755.86043930515,26093.8930869667,152747.361464421,132858212.320172,161250744.090281,294108956.410453,0.0340242583904695,0.0501686550971292,12,8,8,45,1.5,14,30,60,20,0.261831725480984,0.325800383734099,2928,3336,3.33558126486614e-05,0.0762042210305104,0.138682798608557,0.0254975733054131,0.064501626942823,220,2,326,302,245
"13",5031,1811.66258621471,11365.8387265243,108733.80476082,339131.705164615,140805617.988648,153108577.500991,293914195.489639,0.0349418340373168,0.0495650126753563,11,10,8,45,1.2,14,30,60,17,0.285904035469823,0.30058701904135,3053,3221,0.0313284378013284,0.000493909356771524,0.332390540809715,0.171103524578966,0.157412689048224,446,206,3,521,524
"14",5032,1805.84885240996,11297.4291531096,115309.218816933,347777.514291818,141206821.876358,151529020.636189,292735842.512548,0.0349452629422046,0.0492344938588089,11,10,8,45,1.2,14,30,60,20,0.28711926277249,0.295695698918084,3057,3193,0.0307353917942643,0,0.341376060367229,0.182688960711042,0.163366584682334,454,202,1,527,537
"15",5047,1814.46398149509,11372.6832138017,108422.654664615,337966.784882202,141656337.385966,149897133.850165,291553471.236131,0.0349455232661372,0.0488224140177068,11,10,8,45,1.5,14,30,60,17,0.288480823657067,0.29064233182935,3062,3161,0.0313877730032255,0.000731903628174827,0.33117984857414,0.17055529909289,0.156944479626389,445,207,4,519,522
"16",5048,1808.63486307083,11304.2198715474,114963.75469604,346582.923872297,142066538.284015,148337227.659347,290403765.943362,0.0349489517408707,0.048492275275261,11,10,8,45,1.5,14,30,60,20,0.289723302471846,0.285811862783518,3065,3128,0.0307942608714065,0.000236687261522806,0.340134532197928,0.182080276227545,0.162870632154228,453,203,2,526,536
