"","sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort"
"1",1,16467.1508972226,69167.8542583518,534410.076194299,176006.463892191,46787391.3510835,378554656.45298,425342047.804064,0.0203985257222656,0.0691272809847432,6,6,8,35,1.2,14,22,40,17
"2",2,16470.0561723476,69190.6952512621,528046.403557721,173714.6158365,46767274.6946889,377574147.409658,424341422.104347,0.02039990952993,0.0689855855298881,6,6,8,35,1.2,14,22,40,20
"3",3,16691.0224277119,70504.9706386456,437328.410029172,131885.178638258,49503177.1445038,363011032.757449,412514209.901953,0.0211773987108605,0.0681344762667212,6,6,8,35,1.2,14,22,60,17
"4",4,16694.3631954431,70528.8381439051,431938.303206675,130161.875104116,49458139.8780122,361933594.206694,411391734.084706,0.0211783993558806,0.0679874395330092,6,6,8,35,1.2,14,22,60,20
"5",5,16682.4653130449,70437.2791549295,474959.459395979,146083.477739248,49152994.8899931,364915055.455422,414068050.345415,0.0210727555471014,0.0681936749458547,6,6,8,35,1.2,14,30,40,17
"6",6,16685.3292450318,70459.9195739269,469192.433080028,144107.076449546,49142956.7329619,363985087.265514,413128043.998476,0.0210738306200729,0.0680567104471782,6,6,8,35,1.2,14,30,40,20
"7",7,16913.0496132725,71790.3067145621,388075.820538114,108832.345303328,51601990.1814634,352538063.900421,404140054.081885,0.0217100382273234,0.0673456287816023,6,6,8,35,1.2,14,30,60,17
"8",8,16915.8115120905,71812.2604289166,383058.661882702,107323.353325576,51598486.5264833,351671213.031515,403269699.557998,0.021711012314705,0.0672150892804475,6,6,8,35,1.2,14,30,60,20
"9",9,13302.7366541803,54046.5624929963,544783.818054538,181928.353907701,46593479.8517366,378970420.022741,425563899.874478,0.0203565348126899,0.0691654297591197,6,6,8,35,1.2,17,22,40,17
"10",10,13305.4927294648,54067.5962645122,538465.707342311,179631.647827409,46572737.8081119,378006062.816051,424578800.624163,0.020357885432121,0.0690259248405417,6,6,8,35,1.2,17,22,40,20
"11",11,13537.4914134376,55402.0149414752,448495.86409372,137669.62358581,49232767.0193166,363441125.880702,412673892.900018,0.021124546511264,0.0681770039641587,6,6,8,35,1.2,17,22,60,17
"12",12,13540.1305267395,55422.4116226851,443003.854258635,135891.397393518,49220403.3998645,362547678.068985,411768081.468849,0.0211255201132851,0.0680440953128057,6,6,8,35,1.2,17,22,60,20
"13",13,13538.322294774,55364.796628523,486763.317589024,152190.671176029,48528036.9948858,367965246.441487,416493283.436373,0.020899941205209,0.0683459953441798,6,6,8,35,1.2,17,30,40,17
"14",14,13541.1142979068,55386.2052372933,480997.812781389,150192.939711089,48516835.8709807,367044986.0213,415561821.892281,0.020901262292202,0.0682109854955916,6,6,8,35,1.2,17,30,40,20
"15",15,13770.267693591,56708.5312282626,399472.96483331,114393.25980981,51273313.0694277,353167422.07941,404440735.148838,0.0216464974978199,0.0674033669442021,6,6,8,35,1.2,17,30,60,17
"16",16,13772.9346656263,56729.2268006324,394465.158581914,112860.602283646,51269034.6997577,352314288.375325,403583323.075082,0.0216474453048645,0.0672746974089742,6,6,8,35,1.2,17,30,60,20
"17",17,16465.2282255184,69161.6519578717,534614.253866809,176193.674695464,46629842.6892702,373247860.754803,419877703.444073,0.0204030697880993,0.0683090818706856,6,6,8,35,1.5,14,22,40,17
"18",18,16468.1330056928,69184.4891546779,528248.188287803,173897.780715931,46614644.3602293,372276717.997418,418891362.357648,0.0204044534167875,0.0681675859198924,6,6,8,35,1.5,14,22,40,20
"19",19,16689.0661404473,70498.4195091024,437568.010350758,132073.531151417,49397716.2128261,357832916.944867,407230633.157694,0.0211810334603988,0.067320597486753,6,6,8,35,1.5,14,22,60,17
"20",20,16691.8249659222,70520.3082976367,432051.576796403,130308.655688526,49390415.2630513,356933678.536164,406324093.799215,0.0211820339915943,0.0671859478671164,6,6,8,35,1.5,14,22,60,20
"21",21,16680.5357574761,70430.9349749558,475147.361924405,146249.11403212,49052912.9844136,359726802.925908,408779715.910322,0.0210763277337642,0.0673783990617885,6,6,8,35,1.5,14,30,40,17
"22",22,16683.3991883371,70453.5712644077,469377.918160698,144268.773240879,49047545.6823915,358805840.292518,407853385.974909,0.0210774026875915,0.0672416297215096,6,6,8,35,1.5,14,30,40,20
"23",23,16911.0737558805,71783.6233078203,388298.871000147,108997.445375864,51549102.4629512,347434684.038718,398983786.501669,0.0217136802601161,0.0665328442851118,6,6,8,35,1.5,14,30,60,17
"24",24,16913.8350781577,71805.5720512762,383278.20739632,107483.705500073,51549922.8449026,346576334.014903,398126256.859806,0.0217146542363338,0.0664024876921339,6,6,8,35,1.5,14,30,60,20
"25",25,13300.857889781,54040.5252911587,544986.34433325,182116.255023394,46431099.4103582,373660797.086957,420091896.497315,0.0203610605535993,0.0683472378791638,6,6,8,35,1.5,17,22,40,17
"26",26,13303.612451271,54061.5518130847,538666.000826578,179815.672853303,46415202.063195,372705656.156639,419120858.219834,0.0203624109988952,0.0682079304555898,6,6,8,35,1.5,17,22,40,20
"27",27,13535.5700404508,55395.6166747881,448734.394142469,137860.540517008,49123727.5845451,358259397.503907,407383125.088452,0.0211281545240387,0.0673623301623893,6,6,8,35,1.5,17,22,60,17
"28",28,13538.2076296434,55416.0053268031,443239.081588979,136077.637213651,49115831.1256116,357374608.929738,406490440.055349,0.0211291280158946,0.0672296066100165,6,6,8,35,1.5,17,22,60,20
"29",29,13535.9199350507,55356.9139593654,486849.634647999,152320.62855659,48453214.9147222,362904312.875976,411357527.790698,0.0209044993302694,0.0675427054303387,6,6,8,35,1.5,17,30,40,17
"30",30,13539.1952872563,55379.9641724751,481186.347842491,150358.893023446,48414631.3315248,361820607.674345,410235239.00587,0.0209058202458079,0.0673939937040192,6,6,8,35,1.5,17,30,40,20
"31",31,13767.8103228444,56700.2397721839,399571.266068839,114525.716383876,51244305.1411743,348226349.193698,399470654.334872,0.0216501127550079,0.0666026000213588,6,6,8,35,1.5,17,30,60,17
"32",32,13770.9757801255,56722.627876798,394684.372612555,113024.495466887,51215930.9027808,347214186.186248,398430117.089029,0.0216510604544604,0.0664612757621511,6,6,8,35,1.5,17,30,60,20
"33",33,16404.2690868157,69541.7135174286,579222.199705705,209158.778872744,99073241.9789341,230855230.651564,329928472.630498,0.0301252539293568,0.0586932874561709,6,6,8,45,1.2,14,22,40,17
