"","sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","hiv_prev_mse_male_norm","hiv_prev_mse_female_norm","hiv_prev_mse_male_norm_rank","hiv_prev_mse_female_norm_rank"
"1",1,23269.1363933069,107656.411727514,785842.313143022,331582.968649324,40672418.6872671,382498807.29389,423171225.981157,0.0195037565248671,0.0695765160372679,6,6,8,35,1.2,14,22,40,17,0.000903317925712699,1,4,6272
"2",2,23270.7429300539,107669.574546929,781137.966339762,329513.351439401,40651377.8982094,381926401.210528,422577779.108737,0.0195045189919914,0.0694929672516079,6,6,8,35,1.2,14,22,40,20,0.00082339740739439,0.998162585474592,3,6270
"3",3,23373.0984027251,108298.800289426,710332.018815099,290613.905457666,42462630.1746847,374073477.019059,416536107.193744,0.0199354618978486,0.0691924717427921,6,6,8,35,1.2,14,22,60,17,0.00770318791070451,0.972954822322297,246,6184
"4",4,23374.6309896328,108311.398237384,705997.397961787,288793.687582062,42444543.4730931,373529891.434937,415974434.90803,0.019936148014978,0.0691116797411608,6,6,8,35,1.2,14,22,60,20,0.00763448808381537,0.971209921146193,243,6172
"5",5,23367.7155554791,108244.235506897,740624.410190839,304390.62290919,41873235.623721,375881931.206138,417755166.829859,0.0198595594986053,0.0692481060861629,6,6,8,35,1.2,14,30,40,17,0.00546445447357445,0.978759931821406,168,6223
"6",6,23369.3057805636,108257.262240961,736147.299047461,302455.441957378,41855630.1452169,375325807.687384,417181437.8326,0.0198603086861906,0.069166239267558,6,6,8,35,1.2,14,30,40,20,0.00539758250582508,0.976974784072314,163,6211
"7",7,23468.8801482131,108863.933450985,668956.220219004,266492.781735639,43141778.4374196,367579892.052003,410721670.489422,0.0202641043768348,0.0685871752337189,6,6,8,35,1.2,14,30,60,17,0.0102828383707694,0.952110516702147,435,5999
"8",8,23470.3995120114,108876.417392036,664825.658853565,264790.251526639,43127043.9437164,367051905.790915,410178949.734631,0.0202647705556867,0.0685079323874469,6,6,8,35,1.2,14,30,60,20,0.0102268714405039,0.950415689107652,425,5977
"9",9,20528.653862973,94172.4961098462,790773.77240316,334727.094714741,41403421.2719434,382053990.834663,423457412.106607,0.0195151530632895,0.0697178013560717,6,6,8,35,1.2,17,22,40,17,0.00367992983409801,0.998572146161474,41,6271
"10",10,20530.4194528516,94186.8575551638,786107.467538821,332670.028948768,41382201.3993128,381487454.92796,422869656.327273,0.0195159088484443,0.0696350406743327,6,6,8,35,1.2,17,22,40,20,0.00359932909167167,0.996753574810824,38,6268
"11",11,20643.6938844328,94862.0296403747,715540.948744413,293833.474727947,42420739.1543133,373869233.670673,416289972.824986,0.0199133820723701,0.0690520943033983,6,6,8,35,1.2,17,22,60,17,0.00754407068122273,0.972299204386097,238,6180
"12",12,20645.3836159186,94875.8183387317,711232.979552508,292020.634576759,42402700.7545956,373331198.619833,415733899.374428,0.0199140578478817,0.0689719855076703,6,6,8,35,1.2,17,22,60,20,0.00747555432230083,0.970572120334535,234,6171
"13",13,20639.1268215316,94825.9515016663,746036.338372153,307760.589101428,42550811.4363079,375285113.858754,417835925.295062,0.0198639325199492,0.0692382369702469,6,6,8,35,1.2,17,30,40,17,0.00803813219989278,0.9768441575224,251,6207
"14",14,20640.8791929267,94840.2008216015,741589.4149323,305834.315843012,42533130.5329954,374734698.770316,417267829.303311,0.0198646777065634,0.0691570971819064,6,6,8,35,1.2,17,30,40,20,0.00797097374147232,0.97507733374485,249,6196
"15",15,20752.3778466926,95505.3462461965,674910.401649012,270002.423038523,43834811.6925465,367418084.959595,411252896.652141,0.0202631638441217,0.0687395722864673,6,6,8,35,1.2,17,30,60,17,0.0129152290482174,0.951591118480243,727,5990
"16",16,20754.0516004745,95519.0035026138,670808.246757682,268306.945606504,43819808.5858187,366895232.92906,410715041.514879,0.0202638266009957,0.0686610652608198,6,6,8,35,1.2,17,30,60,20,0.0128582418286417,0.949912771685081,722,5970
"17",17,23266.6642265606,107642.037489774,785906.861186855,331700.222976346,40452880.7201492,377424537.897942,417877418.618092,0.0195080296732104,0.0689078607509044,6,6,8,35,1.5,14,22,40,17,6.94334133724198e-05,0.983711675041643,2,6246
"18",18,23268.2690064566,107655.185380978,781206.704114661,329631.647098849,40434600.8861959,376857485.109108,417292085.995304,0.0195087920466839,0.0688244781224535,6,6,8,35,1.5,14,22,40,20,0,0.98189144450748,1,6239
"19",19,23370.6652739814,108288.114207863,710504.190709346,290797.231873796,42242551.6483997,368750549.73769,410993101.386089,0.0199397514941059,0.0683691553958986,6,6,8,35,1.5,14,22,60,17,0.0068672501593578,0.95586830946236,224,6042
"20",20,23372.1980372281,108300.710704194,706169.656634395,288976.417362996,42227231.6869236,368212266.07071,410439497.757633,0.0199404375253143,0.0682884856979136,6,6,8,35,1.5,14,22,60,20,0.00680905941097731,0.954140427356899,221,6024
"21",21,23365.2954775159,108233.665107958,740756.452992078,304541.068938198,41655138.7261467,370547382.236037,412202520.962183,0.0198638463033092,0.068424126494355,6,6,8,35,1.5,14,30,40,17,0.00463604366398091,0.961636113523411,103,6104
"22",22,23366.8859309943,108246.690667135,736279.81461943,302605.625368287,41640375.2024809,369996673.967366,411637049.169847,0.0198645953985391,0.0683423858514628,6,6,8,35,1.5,14,30,40,20,0.00457996646743012,0.959868348641923,96,6085
"23",23,23465.8400905698,108847.830178083,669084.822826485,266633.307789493,42993119.0420943,362824385.537323,405817504.579418,0.0202683507500486,0.0679477399195945,6,6,8,35,1.5,14,30,60,17,0.00971817628063939,0.936845415579503,358,5787
"24",24,23467.3598328199,108860.31547171,664955.10788933,264930.983130179,42980892.7268252,362301082.999419,405281975.726244,0.020269016845899,0.0678686745959619,6,6,8,35,1.5,14,30,60,20,0.00967173631820495,0.935165622662767,348,5748
"25",25,20525.9772797343,94160.8736264082,790908.151018685,334881.127683557,41150304.1271931,376673437.965957,417823742.09315,0.0195194451135603,0.0688930001277317,6,6,8,35,1.5,17,22,40,17,0.00271849947384628,0.981300656072458,16,6236
"26",26,20527.7428974863,94175.2327581126,786242.401919506,332823.856764596,41131985.9579458,376112380.557295,417244366.515241,0.0195202008056201,0.0688103663459233,6,6,8,35,1.5,17,22,40,20,0.00264892044917812,0.979499670614361,15,6227
"27",27,20640.9938614788,94846.3830406681,715624.296528711,293976.30921224,42229589.8238356,368850850.548802,411080440.372638,0.01991765825044,0.0683850845756567,6,6,8,35,1.5,17,22,60,17,0.00681801646690125,0.956190273488608,222,6047
"28",28,20642.6812853096,94860.1533053911,711319.613735849,292164.062881469,42214137.3519065,368317884.382297,410532021.734204,0.0199183339415122,0.0683051344489624,6,6,8,35,1.5,17,22,60,20,0.00675932239594746,0.954479460476045,219,6031
"29",29,20636.4459011076,94814.2826640794,746167.602777116,307910.487951197,42330797.9206396,369949826.277543,412280624.198183,0.0198682540937795,0.0684140141998972,6,6,8,35,1.5,17,30,40,17,0.00720244138235526,0.959717968294362,230,6079
"30",30,20638.1982866747,94828.5295300881,741721.178188842,305983.985061448,42315935.9913257,369404776.901772,411720712.893098,0.0198689991880511,0.0683329998520665,6,6,8,35,1.5,17,30,40,20,0.00714599040560154,0.957968368370086,228,6064
"31",31,20749.6820067319,95493.5204715305,675076.313961997,270178.383609003,43644141.7266964,362141604.020122,405785745.746819,0.0202674449016785,0.0679170558715695,6,6,8,35,1.5,17,30,60,17,0.0121909956339331,0.934653697647338,662,5745
"32",32,20751.3557055716,95507.1748465531,670974.234203778,268482.334033977,43631802.6800173,361623892.888728,405255695.568745,0.0202681075755431,0.0678386689305414,6,6,8,35,1.5,17,30,60,20,0.0121441274768764,0.932991853057563,657,5716
