"","sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","hiv_prev_mse_male_norm","hiv_prev_mse_female_norm","hiv_prev_mse_male_norm_rank","hiv_prev_mse_female_norm_rank","tb_mort_mse_male_neg_norm","tb_mort_mse_female_neg_norm","tb_mort_mse_male_pos_norm","tb_mort_mse_female_pos_norm","tb_mort_mse_overall_norm","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female"
"1",6183,12388.0445975745,50413.8950624432,270534.92832721,67730.7292134705,105639793.050947,198063542.903248,303703335.954195,0.0314603721732354,0.0557942672313521,12,12,8,45,1.2,14,30,60,17,0.247672876742792,0.40796570190492,3130,3169,0.238721465730552,0.261179878017151,0.00484544706681279,0.00975675313829432,0.104360928811073,32,231,247,3,6
"2",6184,12390.3803604896,50432.1247872105,265322.193811841,66303.1079267906,105744210.63221,197293273.113,303037483.74521,0.0314616835734402,0.0556521989669221,12,12,8,45,1.2,14,30,60,20,0.248069492439722,0.405493147992197,3132,3163,0.238960289234084,0.261337899355344,0,0.000357770346300982,0.100166968821776,28,232,248,1,2
"3",6199,12382.1760120565,50388.2786653437,270329.893087379,67751.4767565392,106256446.994391,193633457.016653,299889904.011044,0.031463911861088,0.0549544418038785,12,12,8,45,1.5,14,30,60,17,0.250015151200652,0.393745195880562,3135,3139,0.238385871102476,0.260782850677235,0.00491586568738381,0.00938705798400596,0.104124621457359,31,229,245,4,5
"4",6200,12384.5088113178,50406.4842625608,265123.772144943,66321.6655402598,106365242.624592,192873941.875075,299239184.499667,0.0314652231085958,0.0548126014441463,12,12,8,45,1.5,14,30,60,20,0.250428396309124,0.391307164220931,3136,3137,0.238624378516427,0.260940671515395,6.29858454691443e-05,0,0.0999319057600053,27,230,246,2,1
"6",6192,8952.85528714405,34433.830488262,269413.0912028,67808.900703971,105422758.353581,197456840.865543,302879599.219125,0.0314212927106627,0.0556715969286519,12,12,8,45,1.2,17,30,60,20,0.246848500553334,0.406018197905443,3124,3165,0.0293702518747842,0.028779060162056,0.00511076660420556,0.00773398988483066,0.0154832893540789,1,16,16,5,3
"8",6208,8951.10543930591,34427.4010517114,269613.456961775,67941.8821610044,105956890.595717,193614041.177226,299570931.772943,0.0314248154513827,0.0548946567028411,12,12,8,45,1.5,17,30,60,20,0.248877327776734,0.393682871341353,3134,3138,0.0292860212798445,0.0286606777289619,0.00556211502338019,0.00809526558670203,0.0156865539847859,2,15,15,6,4
"9",6185,8529.1292316307,32197.9482884486,425724.231226418,129006.958737452,95577055.5593324,217727805.677123,313304861.236455,0.0300467101827903,0.0576974233760912,12,12,8,45,1.2,17,22,40,17,0.209450964350314,0.471087676150745,2335,4148,7.84645733924799e-05,0.000112726825254345,0.212821280281526,0.289575643425281,0.150757315391772,69,2,2,249,303
"10",6186,8531.18558770197,32213.5344431377,418940.925716919,126654.57020886,95673461.7960291,216865516.73294,312538978.528969,0.0300482170933169,0.0575468016078643,12,12,8,45,1.2,17,22,40,20,0.209817150066296,0.468319742201068,2343,4080,0.000282655262882955,0.000251845455867671,0.204837108146928,0.277344793845538,0.14476147074149,63,4,4,234,275
"11",6201,8527.46298110419,32191.9589802115,425910.881843667,129173.362967328,96008186.1179986,213693279.932799,309701466.050797,0.0300502355662583,0.0569158249172103,12,12,8,45,1.5,17,22,40,17,0.211088553968129,0.458136911962134,2369,3818,0,0,0.213386067942708,0.289912189615093,0.15098947726734,70,1,1,250,304
"12",6202,8529.51718926833,32207.5356362598,419124.261249751,126816.269845196,96109262.6901905,212840477.419642,308949740.109833,0.0300517423049702,0.0567653829613611,12,12,8,45,1.5,17,22,40,20,0.211472479305589,0.45539942930686,2379,3756,0.00020406624994404,0.000138973318279929,0.205385928086711,0.277675362669476,0.144986995140501,64,3,3,236,277
"17",6191,8950.78832898252,34418.0313601837,274627.940890603,69250.3176142361,105319624.352068,198222730.81925,303542355.171318,0.0314199966838682,0.0558128795982894,12,12,8,45,1.2,17,30,60,17,0.246456760356015,0.408476692611752,3123,3172,0.0291632710690629,0.0286392242683675,0.0100030369878597,0.0171367865041464,0.0197024461150879,3,14,14,7,7
"19",6207,8949.04033643966,34411.610596915,274832.757245838,69388.6470252109,105849592.432064,194371169.673642,300220762.105705,0.0314235195749866,0.0550357717491857,12,12,8,45,1.5,17,30,60,17,0.248469770587206,0.396113241907547,3133,3142,0.0290791541008277,0.0285209673515418,0.0104725367388899,0.0175060869917692,0.0199136114096716,4,13,13,8,8
