"","X","sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","hiv_prev_mse_male_norm","hiv_prev_mse_female_norm","hiv_prev_mse_male_norm_rank","hiv_prev_mse_female_norm_rank","tb_mort_mse_male_neg_norm","tb_mort_mse_female_neg_norm","tb_mort_mse_male_pos_norm","tb_mort_mse_female_pos_norm","tb_mort_mse_overall_norm","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female"
"1",65,65,17035.8834379165,76706.1720143,619174.699492842,257362.462398173,170808165.233629,153066088.100452,323874253.334081,0.0371053823878714,0.0506008797730938,6,6,12,35,1.2,14,22,40,17,0.451031993439154,0.2952253813065,3137,3134,0.999748746158316,0.999857475746649,0.983123692484542,0.98887135754922,0.991519759391122,1090,1089,1089,1086,1086
"2",66,66,17038.0226016636,76723.5372566981,614213.862344011,255327.966394341,170938458.967804,152599829.711378,323538288.679182,0.0371063159840566,0.0505001763530743,6,6,12,35,1.2,14,22,40,20,0.451483732750422,0.293763472128103,3138,3133,1,1,0.975021133846738,0.980787290380298,0.986742527268111,1088,1091,1091,1084,1084
"3",73,73,14525.687821224,64287.3689429244,625856.720783138,261439.730664362,171789221.209994,153651795.436058,325441016.646052,0.0371080869726985,0.0505909333880473,6,6,12,35,1.2,17,22,40,17,0.454433396844187,0.297061811384418,3139,3136,0.820063838267808,0.832612795895393,0.999361770685053,0.999760227172293,0.930271926189844,1086,1082,1080,1090,1090
"4",74,74,14527.9192152807,64305.3262600939,620941.192336979,259417.310743448,171917387.50386,153192491.135718,325109878.639578,0.0371090066506876,0.0504915485205211,6,6,12,35,1.2,17,22,40,20,0.45487776014136,0.295621706094993,3141,3135,0.820323658708072,0.832761465099559,0.991307306105815,0.991749994032739,0.925534214803093,1084,1084,1082,1088,1088
"5",81,81,17033.8601421075,76698.6609408996,619323.131227287,257523.568398699,171848364.514917,149619282.242375,321467646.757292,0.0371095260952506,0.0498169426553536,6,6,12,35,1.5,14,22,40,17,0.45463845164595,0.284418246811645,3140,3120,0.999640070102794,0.999722671328392,0.983765311250912,0.989113238521172,0.991736113217862,1091,1088,1088,1087,1087
"6",82,82,17035.9992277605,76716.023071333,614362.370492466,255488.187734569,171981458.769561,149159273.268743,321140732.038304,0.037110459571116,0.0497163895480128,6,6,12,35,1.5,14,22,40,20,0.455099900596716,0.282975932085614,3142,3115,0.99989127891815,0.999865190378633,0.97565922937594,0.981029295874779,0.986957851434572,1089,1090,1090,1085,1085
"7",89,89,14523.5474303997,64279.4245929223,626003.858842003,261599.985597258,172828090.161321,150206034.705129,323034124.86645,0.0371122416582148,0.0498068507181097,6,6,12,35,1.5,17,22,40,17,0.458035242685361,0.286257953787107,3145,3126,0.81994889322921,0.832470189886608,1,1,0.930483816623164,1087,1081,1079,1091,1091
"8",90,90,14525.7783110317,64297.3769607067,621088.460831365,259576.743998339,172959021.124248,149752894.241955,322711915.366203,0.0371131612174928,0.049707614791761,6,6,12,35,1.5,17,22,40,20,0.458489191322191,0.284837174627438,3147,3122,0.820208642057919,0.83261882488326,0.991942263016095,0.991989979415199,0.925745166117624,1085,1083,1081,1089,1089
"9",184,184,15775.4623013141,69750.8508864418,435088.710201495,151512.232012653,98999310.1530102,205211735.821928,304211045.974938,0.0305796234830265,0.0560862060739828,6,7,8,45,1.5,14,30,60,20,0.202064666327239,0.458723138781488,2100,4191,0.899113747034389,0.915880462932573,0.561565873295761,0.688889024398183,0.738135311301576,1077,1087,1087,1076,1076
"10",192,192,13164.7412432686,56904.2774432661,442519.361903063,155650.904123184,98558449.7404352,205501994.877107,304060444.617543,0.0305358339383547,0.0561252052877667,6,7,8,45,1.5,17,30,60,20,0.200536166277698,0.459633218657419,2056,4209,0.71323952448824,0.741938159539872,0.578048497687777,0.700997845079485,0.674749439635801,1074,1065,1065,1077,1077
"11",201,201,12791.3086762206,54658.4894930568,559453.326825881,221357.674297233,172880605.515295,149903969.476773,322784574.992068,0.0372966093380676,0.0502238235513296,6,7,12,35,1.2,17,22,40,17,0.45821731782493,0.285310856769326,3146,3124,0.680745716618374,0.717057783800763,0.839731468425077,0.891550769596904,0.798945371490422,1079,1059,1053,1079,1079
"12",202,202,12793.7022158469,54677.527897729,554093.713092997,219244.562702394,173032313.419044,149373331.480163,322405644.899206,0.0372974815067651,0.050108773918842,6,7,12,35,1.2,17,22,40,20,0.458743301859291,0.283647091406965,3148,3116,0.681021179073995,0.717217256140627,0.831315816306244,0.882816865194032,0.793887491493007,1078,1060,1054,1078,1078
"13",296,296,14139.893279476,60617.6303616963,359032.355307808,111051.738019429,100950254.680942,205154529.329461,306104784.010403,0.0308112292494312,0.056310737288177,6,8,8,45,1.2,14,30,60,20,0.208828754738307,0.458543773222903,2323,4189,0.766967204464984,0.806908789325569,0.400428410023716,0.564949321654907,0.604388518261697,1065,1076,1076,1055,1049
"14",304,304,11430.9858240976,47452.3420848371,366577.702509188,114955.045794357,100391119.734064,205457823.974467,305848943.70853,0.030760054790924,0.056353204517487,6,8,8,45,1.2,17,30,60,20,0.206890186952162,0.459494724960573,2265,4207,0.576481567662194,0.626424703898636,0.415973675321942,0.577245047508993,0.538546871161446,1049,1016,1014,1059,1056
"15",311,311,14135.6137455045,60591.6052951567,364036.038230921,112766.111747191,101365370.594609,201903543.339242,303268913.933851,0.0308137116906789,0.0556555602690351,6,8,8,45,1.5,14,30,60,17,0.210267996449529,0.448350613444307,2365,4043,0.766590653548029,0.806623660435925,0.407256053641663,0.573103209321218,0.608750641685655,1067,1074,1074,1058,1055
"16",312,312,14138.1468751683,60611.731179937,359233.526162402,111210.187286114,101449255.267664,201238976.78612,302688232.053783,0.030814693732464,0.0555301655843997,6,8,8,45,1.5,14,30,60,20,0.21055883165102,0.446266927731767,2371,4008,0.766881850512195,0.806792433123132,0.401059448114729,0.565277145095221,0.60463583469005,1066,1075,1075,1056,1050
"17",319,319,11426.8575645102,47427.6502681702,371566.126522216,116681.806848315,100803545.416694,202195494.138695,302999039.555389,0.030762544109523,0.0556965389999544,6,8,8,45,1.5,17,30,60,17,0.208320101406606,0.449265997624757,2311,4056,0.576124307242011,0.626149653839411,0.422850652552085,0.585374069603153,0.542922208862856,1052,1013,1012,1062,1061
"18",320,320,11429.2848164347,47446.609733056,366778.584087291,115115.204378492,100885600.036605,201538839.912557,302424439.949162,0.0307635075481567,0.0555725806117316,6,8,8,45,1.5,17,30,60,20,0.208604591660257,0.447207120266796,2318,4026,0.576398627535367,0.626311372300049,0.416611520919504,0.577572399550929,0.538797176108213,1050,1015,1013,1060,1058
"19",423,423,12450.1578342054,51391.875726197,288607.85415431,75918.6949686927,103141926.661793,200694123.135687,303836049.79748,0.0311072209758213,0.0558372144282977,6,9,8,45,1.2,14,30,60,17,0.21642746543166,0.44455859052837,2503,3987,0.633481806365625,0.69432821524666,0.26050798702613,0.450187159426533,0.478770548258256,1018,1045,1045,945,946
"20",424,424,12452.7294044269,51411.9321015164,283779.980357501,74582.0703066609,103239572.93301,199934316.841912,303173889.774923,0.0311083795875056,0.0556950410610475,6,9,8,45,1.2,14,30,60,20,0.216766013248919,0.442176289596736,2512,3957,0.633771997612814,0.694499549080386,0.255184762168254,0.442319766306064,0.474905667880936,1015,1046,1046,939,936
"21",431,431,9680.68289059866,38194.7177036713,295971.01305901,79347.3340655591,102530776.942141,201004123.383754,303534900.325895,0.0310502096087748,0.0558786088628147,6,9,8,45,1.2,17,30,60,17,0.214308558062977,0.445530567051633,2453,4001,0.442535053279593,0.509808751018656,0.274162842714173,0.462185995384102,0.411373412289132,952,913,905,966,964
"22",432,432,9682.94504252153,38211.8220027373,291144.077094312,77989.7160095373,102626309.463092,200252666.195931,302878975.659024,0.0310513472327498,0.0557379476647397,6,9,8,45,1.2,17,30,60,20,0.214639777330668,0.443174443953812,2460,3967,0.442782531590066,0.509959469501151,0.268756009824878,0.45432013053347,0.407471242325748,945,915,907,956,954
"23",435,435,12230.7648037348,50173.2445575322,336321.478280837,97766.0743993066,98945490.7867201,204600402.741889,303545893.528609,0.0304988616495765,0.055881670638646,6,9,8,45,1.5,14,22,60,17,0.201878070067529,0.456806361600189,2093,4167,0.615849702205865,0.679710901401216,0.347517090305505,0.527940193992972,0.521749306010959,1039,1033,1035,1028,1030
"24",436,436,12233.2959621718,50192.9434338235,330922.636131744,96131.4284407631,99041846.9405273,203811479.72515,302853326.665678,0.0305000600698633,0.0557351390539424,6,9,8,45,1.5,14,22,60,20,0.202212144939454,0.45433276793143,2104,4131,0.616134720878889,0.679879542753163,0.341006969515786,0.519142363856992,0.517247652738244,1035,1034,1036,1022,1024
"25",437,437,12241.6769074917,50222.8394553593,360560.760525775,104761.899167892,99817649.9939555,204094068.203056,303911718.197011,0.0305271168876643,0.0557464719016548,6,9,8,45,1.5,14,30,40,17,0.204901919234845,0.455218797436185,2194,4142,0.616567279785338,0.680437932907124,0.375378575558117,0.56743997596842,0.542246607996454,1051,1035,1037,1045,1052
"26",438,438,12244.3156667966,50243.2904923743,354989.788505919,102959.543290913,99921138.4226706,203292554.137113,303213692.559784,0.0305284472761797,0.0555984912684877,6,9,8,45,1.5,14,30,40,20,0.205260722302451,0.452705725720858,2212,4109,0.616863181305088,0.680613743291071,0.368200535320188,0.558361646917584,0.537464039590563,1048,1036,1038,1043,1048
