"","X","sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","hiv_prev_mse_male_norm","hiv_prev_mse_female_norm","hiv_prev_mse_male_norm_rank","hiv_prev_mse_female_norm_rank","tb_mort_mse_male_neg_norm","tb_mort_mse_female_neg_norm","tb_mort_mse_male_pos_norm","tb_mort_mse_female_pos_norm","tb_mort_mse_overall_norm","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female"
"1",2613,2613,5634.06733778677,17558.3857713961,97919.6344062571,10588.2589368134,108598587.215466,185227285.515357,293825872.730823,0.0315298489379508,0.0534878892169301,8,12,8,45,1.5,14,30,40,17,0.235346165520665,0.396063780766666,2875,3425,0.143952542458114,0.240198319819323,0.000323799991817566,0.139445981976548,0.118761107045997,365,452,462,4,314
"2",4393,4393,2393.04453848995,8309.54198509121,97967.4464962317,10586.1306241258,100290509.45301,199978037.75414,300268547.20715,0.0306230180201716,0.0553471532972999,10,12,8,45,1.2,17,22,40,17,0.206541362664047,0.442313372391108,2248,3959,0.0101330725555441,0.0242614355165643,0.000315323800014598,0.139523895468816,0.048830667395071,85,58,51,3,315
"3",4401,4401,4005.13757077799,11303.8340899294,93025.1587711808,10506.9550155656,101574867.272581,195995221.879558,297570089.152139,0.0307141712640694,0.0545600694011882,10,12,8,45,1.5,14,22,40,17,0.210994339014037,0.429825629072468,2378,3789,0.0534568210651925,0.131668994227349,0,0.131470056018178,0.0764661798639617,199,231,245,1,294
"4",4409,4409,2394.83224625075,8315.13436433892,98107.238136689,10510.6099341372,100815103.65719,196195090.739403,297010194.396593,0.0306268386404543,0.0545812642429226,10,12,8,45,1.5,17,22,40,17,0.208360174796428,0.430452299021001,2312,3800,0.0102139874508234,0.0243805436092303,1.45560335272241e-05,0.139751696740498,0.0488487820442184,86,60,52,2,316
"5",5288,5288,3731.13558074581,10343.8921770631,12353.7185799096,68765.8229261354,121918686.550016,162755799.998381,284674486.548397,0.0332933424010818,0.051217884411118,11,12,8,45,1.2,14,30,60,20,0.281528067800892,0.325606558549747,3126,3151,0.0395676343857461,0.113413295429691,0.232021047241355,9.71544369068286e-06,0.100205414768601,301,183,200,907,2
"6",5304,5304,3731.6320475498,10346.0701881254,12347.7566386032,68329.6261600859,122644974.885337,159355942.133234,282000917.018572,0.0332966078995255,0.0504620551288235,11,12,8,45,1.5,14,30,60,20,0.284046170413089,0.314946625056271,3129,3141,0.0395991475448536,0.113446373103454,0.230283855392425,0,0.0996942607473892,297,185,201,906,1
"7",6191,6191,2042.21237918076,9077.48881716088,12542.3088640808,86491.2106132341,122450464.232756,161497985.259686,283948449.492442,0.0334029997796489,0.0511020628516515,12,12,8,45,1.2,17,30,60,17,0.283371785656312,0.321662799135846,3128,3148,0.0212443249839927,0.000886838025034186,0.302613957152217,0.000317037873132915,0.0953055311094102,281,126,11,993,3
"8",6207,6207,2045.07612057536,9091.14539691956,12589.0152414397,86198.3612019821,123127639.611239,158352523.342125,281480162.953363,0.033406305152678,0.050396952508032,12,12,8,45,1.5,17,30,60,17,0.285719609525354,0.311800500128818,3131,3140,0.0214419190083068,0.00107763810034772,0.301447658706682,0.000393149521320223,0.0950561538901316,279,127,12,992,4
"9",6063,6063,2375.38180851693,7644.75701433817,17832.4422914814,47159.7964219192,119614799.567711,166788037.18438,286402836.752091,0.0330565945174325,0.0518181197033753,12,11,8,45,1.2,17,30,60,17,0.27354029827987,0.338249257726472,3113,3165,0.000514446223342981,0.0230846357484534,0.145973153143447,0.0089377187535247,0.0511930779634508,94,3,47,751,31
"10",6064,6064,2372.12052296035,7609.20140528055,16576.8314257914,49514.4736430394,119854380.96053,165561604.340912,285415985.301442,0.0330587376545207,0.0515738478170872,12,11,8,45,1.2,17,30,60,20,0.274370947075606,0.334403893283561,3114,3161,0,0.0228673488345624,0.155350861539675,0.00689160389997466,0.0532462093988073,98,1,45,773,23
"11",6079,6079,2377.04310454194,7650.30857703542,17876.4966924392,46818.2952754534,120312121.032778,163340495.705757,283652616.738535,0.0330598168202925,0.0510606986561278,12,11,8,45,1.5,17,30,60,17,0.275957970321857,0.327439816762817,3115,3154,0.000594770553004267,0.0231953215133369,0.144613094898602,0.00900950880140269,0.0508447995232696,93,4,48,742,32
"12",6080,6080,2373.76978132315,7614.70926608081,16604.0176481843,49156.8000693091,120558633.604055,162128821.759689,282687455.363744,0.0330619597164651,0.0508167001361562,12,11,8,45,1.5,17,30,60,20,0.276812650095005,0.323640727449916,3117,3150,7.9692016604215e-05,0.0229772325763091,0.153926395185903,0.00693590594845961,0.0528700752588913,97,2,46,769,24
"13",6188,6188,2033.4450909691,9875.80301772563,17121.4748723064,52867.2874496219,111491232.33734,176955406.455274,288446638.792614,0.0320854221086935,0.0527414862341877,12,12,8,45,1.2,17,22,60,20,0.245375208923011,0.370128084586392,2982,3250,0.0327949561335268,0.000302707330050819,0.168703736363859,0.00777914244894272,0.0595643963365561,128,151,3,800,25
"14",6189,6189,2034.35174646245,9888.73133255069,23233.8821446102,37262.4310336606,113944601.363702,176527870.209195,290472471.572897,0.0322539635503277,0.0527750753455937,12,12,8,45,1.2,17,30,40,17,0.253881245236033,0.368787585033168,3051,3243,0.0329820130540021,0.000363114298620261,0.106556028082947,0.0177397820488042,0.0439577685100497,56,155,4,644,47
"15",6190,6190,2028.90172006062,9830.57106838943,21542.7717814878,39792.3332860387,114214220.769579,175082298.407439,289296519.177018,0.0322567255535048,0.0524976994957055,12,12,8,45,1.2,17,30,40,20,0.254816038343977,0.364255131066568,3057,3223,0.0321405050883278,0,0.116631585522822,0.0149839871385111,0.0459127728160653,73,145,1,674,45
"16",6206,6206,2031.59133796441,9838.5891476078,21564.6914742138,39494.8582097524,114878931.084594,171562108.959021,286441040.043615,0.0322600522846081,0.0517399149786538,12,12,8,45,1.5,17,30,40,20,0.257120644791849,0.353217909249367,3068,3189,0.032256516898607,0.000179198896791274,0.115446864960896,0.0150197069702659,0.0456271147384282,70,146,2,669,46
"17",6061,6061,2300.77416357527,7869.53083913926,47792.2384609832,18161.3934446636,111339547.733537,181195457.396796,292535005.130333,0.0319511800084105,0.0533309781513226,12,11,8,45,1.2,17,30,40,17,0.244849305671517,0.383422364182291,2976,3328,0.00376664885297268,0.018113815303326,0.0304844718762819,0.0577595198599227,0.0308492903521211,3,9,43,329,129
"18",6062,6062,2297.10759047805,7829.49298519966,44859.9817849972,19589.151606364,111577832.681606,179846172.843469,291424005.525074,0.0319536338605628,0.0530744952277325,12,11,8,45,1.2,17,30,40,20,0.245675459584499,0.379191809796564,2985,3302,0.0031873500223267,0.0178695256393182,0.0361706438834969,0.0529811812017436,0.0309569226579011,4,5,39,366,119
"19",6077,6077,2302.58004299471,7875.31019789801,47872.8825890601,17988.8754925645,111972446.039512,177599493.72413,289571939.763642,0.0319544428019562,0.0525689382409487,12,11,8,45,1.5,17,30,40,17,0.247043617214227,0.372147559435734,2995,3260,0.00385026911333624,0.0182341341037198,0.0297974040126322,0.057890935693298,0.0307233825551903,1,10,44,324,130
"20",6078,6078,2298.90052344118,7835.2251979592,44926.6863587101,19402.3764388454,112218311.699736,176265962.410593,288484274.110329,0.0319568963802167,0.0523127500994114,12,11,8,45,1.5,17,30,40,20,0.247896054092463,0.367966397846746,3005,3238,0.00327028813768185,0.0179889818671195,0.0354267954099415,0.0530898814549854,0.0308068570604383,2,6,41,361,120
