"","sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","hiv_prev_mse_male_norm","hiv_prev_mse_female_norm","hiv_prev_mse_male_norm_rank","hiv_prev_mse_female_norm_rank"
"1",1,20491.7892843217,91048.4089997109,672654.461255494,258085.577471859,40961386.9411782,377845495.212814,418806882.153992,0.019677190925738,0.0691843135229152,6,6,8,35,1.2,14,22,40,17,0.000842315727802048,1,4,6272
"2",2,20494.1840211427,91067.7804057707,667065.084830486,255802.818010666,40937550.4230898,377098605.527419,418036155.950509,0.0196782411044962,0.0690756974281953,6,6,8,35,1.2,14,22,40,20,0.000759672519113482,0.99765819787501,3,6270
"3",3,20660.8119235348,92082.9613525982,586422.489423349,213847.772841987,43042498.9537586,366945969.159786,409988468.113545,0.0202109648148317,0.0684848475639786,6,6,8,35,1.2,14,22,60,17,0.00805770573243237,0.965825564642928,95,6239
"4",4,20663.0997315189,92101.532340127,581390.279062343,211931.741424122,43023939.8088864,366244303.969671,409268243.778558,0.0202119059183978,0.0683806121626353,6,6,8,35,1.2,14,22,60,20,0.00799335961958701,0.963625559655076,90,6235
"5",5,20652.609241492,92006.3535626775,620481.58718402,228503.240527866,42409208.8234109,369098090.431346,411507299.254756,0.0201158660427417,0.0685482773156972,6,6,8,35,1.2,14,30,40,17,0.00586203570173751,0.972573337795419,44,6252
"6",6,20654.986343644,92025.5817229544,615256.412058652,226427.793621145,42391443.5592853,368379227.807589,410770671.366874,0.0201168971566172,0.0684425327904697,6,6,8,35,1.2,14,30,40,20,0.00580044204006702,0.970319411877294,43,6245
"7",7,20816.3124954407,92994.1291350187,539939.966049455,188696.473646007,44033323.6772966,359205516.069262,403238839.746559,0.0206148498886302,0.0678962174261235,6,6,8,35,1.2,14,30,60,17,0.0114929782037553,0.941556104439833,236,6168
"8",8,20818.5810394562,93012.544776404,535236.035467122,186958.500209856,44020027.6528878,358529520.09847,402549547.751358,0.0206157658072968,0.0677946969857838,6,6,8,35,1.2,14,30,60,20,0.0114468797712631,0.939436582866777,234,6156
"9",9,17521.2219463363,76491.3117399119,680545.579890263,262895.278534978,41652831.3126727,377107802.236858,418760633.549531,0.0196811704123772,0.0691774535276619,6,6,8,35,1.2,17,22,40,17,0.00323961139313896,0.997687033289566,12,6271
"10",10,17523.7261611267,76511.3288848969,675003.909390494,260622.366700244,41628860.9551721,376371773.777741,418000634.732913,0.0196822049426719,0.0690702257702215,6,6,8,35,1.2,17,22,40,20,0.00315650415197565,0.9953792855146,11,6269
"11",11,17701.8367580918,77553.2913353177,594413.888358398,218524.834946524,42996865.5339916,367199019.366207,410195884.900199,0.0201773890230694,0.0685133300448143,6,6,8,35,1.2,17,22,60,17,0.00789949083632236,0.966618979684955,87,6240
"12",12,17704.2361472479,77572.5518061896,589418.88795299,216612.620294539,42978003.2681536,366506807.174746,409484810.442899,0.0201783117991185,0.0684103958303761,6,6,8,35,1.2,17,22,60,20,0.00783409377764924,0.964448613682305,83,6236
"13",13,17696.070353946,77512.01989209,628856.544814318,233458.040279036,43076858.3906835,368536275.040704,411613133.431388,0.0201121943971323,0.0685514638989932,6,6,8,35,1.2,17,30,40,17,0.00817683278386154,0.970811818656267,101,6249
"14",14,17698.5646372768,77531.9657077839,623671.601027695,231388.304746769,43058813.7266576,367827745.201794,410886558.928451,0.0201132102208931,0.0684470715034029,6,6,8,35,1.2,17,30,40,20,0.00811427041928813,0.96859029020993,97,6243
"15",15,17874.5766565135,78567.4690765964,549030.482321049,193722.825736675,44673691.3158584,358842258.976661,403515950.292519,0.0206028404583953,0.067910082498623,6,6,8,35,1.2,17,30,60,17,0.0137131865494073,0.94041714610635,330,6163
"16",16,17876.9640798199,78586.6405054498,544356.620990524,191984.650393264,44660026.8315487,358175767.070323,402835793.901871,0.0206037429347928,0.0678098494351292,6,6,8,35,1.2,17,30,60,20,0.0136658106355155,0.938327423630496,329,6152
"17",17,20489.5455776604,91039.7649440998,672826.070794684,258267.10514119,40738473.5354309,372511043.181641,413249516.717071,0.0196817267266223,0.0683621221188866,6,6,8,35,1.5,14,22,40,17,6.94562421019272e-05,0.983274329065521,2,6264
