sim_id,HIV_neg_female,HIV_neg_male,HIV_pos_female,HIV_pos_male,hiv_prev_mse_male,hiv_prev_mse_female,hiv_prev_mse,max_perc_diff_male,max_perc_diff_female,b1_contact,b2_contact,hiv2_mort,hiv3_mort,hiv4_mort,tb_hiv1_mort,tb_hiv2_mort,tb_hiv3_mort,tb_hiv4_mort,hiv_prev_mse_male_norm,hiv_prev_mse_female_norm,hiv_prev_mse_male_norm_rank,hiv_prev_mse_female_norm_rank,tb_mort_mse_male_neg_norm,tb_mort_mse_female_neg_norm,tb_mort_mse_male_pos_norm,tb_mort_mse_female_pos_norm,tb_mort_mse_overall_norm,tbmort_rank_total,tbmort_HIV_neg_male,tbmort_HIV_neg_female,tbmort_HIV_pos_male,tbmort_HIV_pos_female
65,20337.05006,90748.32525,704233.8499,290974.4629,170808165.2,153066088.1,323874253.3,0.037105382,0.05060088,6,6,12,35,1.2,14,22,40,17,0.451031993,0.295225381,3137,3134,0.999777391,0.99987395,0.983078398,0.988818723,0.991499405,1090,1089,1089,1086,1086
66,20339.30587,90766.53255,698912.3697,288799.2346,170938459,152599829.7,323538288.7,0.037106316,0.050500176,6,6,12,35,1.2,14,22,40,20,0.451483733,0.293763472,3138,3133,1,1,0.975415066,0.981194176,0.986982773,1088,1091,1091,1084,1084
73,17352.98949,76168.69254,711882.4122,295609.411,171789221.2,153651795.4,325441016.6,0.037108087,0.050590933,6,6,12,35,1.2,17,22,40,17,0.454433397,0.297061811,3139,3136,0.821521777,0.833131386,0.999407325,0.999777483,0.930686075,1086,1082,1080,1090,1090
74,17355.34645,76187.54297,706610.0999,293447.391,171917387.5,153192491.1,325109878.6,0.037109007,0.050491549,6,6,12,35,1.2,17,22,40,20,0.45487776,0.295621706,3141,3135,0.821752249,0.833263088,0.991790527,0.992223383,0.92620724,1084,1084,1082,1088,1088
81,20334.89514,90740.3417,704390.5359,291143.6042,171848364.5,149619282.2,321467646.8,0.037109526,0.049816943,6,6,12,35,1.5,14,22,40,17,0.454638452,0.284418247,3140,3120,0.999679782,0.999753538,0.983674283,0.989043221,0.991701915,1091,1088,1088,1087,1087
82,20337.15089,90758.54592,699069.0669,288967.4087,171981458.8,149159273.3,321140732,0.03711046,0.04971639,6,6,12,35,1.5,14,22,40,20,0.455099901,0.282975932,3142,3115,0.999902353,0.999879584,0.976007544,0.98141869,0.987184258,1089,1090,1090,1085,1085
89,17350.70531,76160.23456,712037.7162,295777.6411,172828090.2,150206034.7,323034124.9,0.037112242,0.049806851,6,6,12,35,1.5,17,22,40,17,0.458035243,0.286257954,3145,3126,0.821418367,0.833003751,1,1,0.930884424,1087,1081,1079,1091,1091
90,17353.06176,76179.08003,706765.4719,293614.7194,172959021.1,149752894.2,322711915.4,0.037113161,0.049707615,6,6,12,35,1.5,17,22,40,20,0.458489191,0.284837175,3147,3122,0.821648778,0.833135424,0.992380025,0.992445998,0.926404647,1085,1083,1081,1089,1089
184,18862.95371,82701.99625,494202.2101,171515.3701,98999310.15,205211735.8,304211046,0.030579623,0.056086206,6,7,8,45,1.5,14,30,60,20,0.202064666,0.458723139,2100,4191,0.9014002,0.917504776,0.562223882,0.687888156,0.738814606,1077,1087,1087,1076,1076
192,15760.56093,67617.22911,502696.6798,176207.4951,98558449.74,205501994.9,304060444.6,0.030535834,0.056125205,6,7,8,45,1.5,17,30,60,20,0.200536166,0.459633219,2056,4209,0.716968638,0.744150075,0.578754243,0.70005892,0.675867692,1074,1065,1065,1077,1077
201,15332.97513,65059.23417,636539.4933,250489.6884,172880605.5,149903969.5,322784575,0.037296609,0.050223824,6,7,12,35,1.2,17,22,40,17,0.458217318,0.285310857,3146,3124,0.68569371,0.720257546,0.840450493,0.89182714,0.800873541,1079,1055,1053,1079,1079
202,15335.50782,65079.24758,630787.099,248227.6898,173032313.4,149373331.5,322405644.9,0.037297482,0.050108774,6,7,12,35,1.2,17,22,40,20,0.458743302,0.283647091,3148,3116,0.685938401,0.720399068,0.832481469,0.883585186,0.79608749,1078,1056,1054,1078,1078
296,16956.7577,72159.68137,407893.1365,125957.6907,100950254.7,205154529.3,306104784,0.030811229,0.056310737,6,8,8,45,1.2,14,30,60,20,0.208828755,0.458543773,2323,4189,0.772506225,0.810990849,0.401724127,0.564225651,0.606484348,1065,1076,1076,1055,1049
304,13737.2131,56685.92095,416524.0453,130386.1843,100391119.7,205457824,305848943.7,0.030760055,0.056353205,6,8,8,45,1.2,17,30,60,20,0.206890187,0.459494725,2265,4207,0.583318697,0.631089969,0.417325715,0.576591904,0.541057019,1048,1014,1010,1059,1057
311,16952.22006,72132.26871,413268.7112,127800.1372,101365370.6,201903543.3,303268913.9,0.030813712,0.05565556,6,8,8,45,1.5,14,30,60,17,0.210267996,0.448350613,2365,4043,0.772171068,0.810737295,0.408215068,0.571927704,0.610624504,1067,1074,1074,1058,1054
312,16954.89764,72153.4109,408106.3728,126125.1219,101449255.3,201238976.8,302688232.1,0.030814694,0.055530166,6,8,8,45,1.5,14,30,60,20,0.210558832,0.446266928,2371,4008,0.77242956,0.810886913,0.402313987,0.564531174,0.606716843,1066,1075,1075,1056,1050
319,13732.81945,56659.83588,421882.5143,132241.357,100803545.4,202195494.1,302999039.6,0.030762544,0.055696539,6,8,8,45,1.5,17,30,60,17,0.208320101,0.449265998,2311,4056,0.582999772,0.630844461,0.42386149,0.584269448,0.545208128,1051,1012,1008,1062,1062
320,13735.39413,56679.80683,416736.9428,130555.3736,100885600,201538839.9,302424439.9,0.030763508,0.055572581,6,8,8,45,1.5,17,30,60,20,0.208604592,0.44720712,2318,4026,0.583243944,0.630988329,0.417921769,0.576896941,0.541292067,1049,1013,1009,1060,1058
423,14984.62417,61488.605,327636.4892,86264.15209,103141926.7,200694123.1,303836049.8,0.031107221,0.055837214,6,9,8,45,1.2,14,30,60,17,0.216427465,0.444558591,2503,3987,0.642037968,0.700792482,0.261883747,0.449234984,0.481901709,1018,1045,1045,945,944
