sim_id,HIV_neg_female,HIV_neg_male,HIV_pos_female,HIV_pos_male,hiv_prev_mse_male,hiv_prev_mse_female,hiv_prev_mse,max_perc_diff_male,max_perc_diff_female,b1_contact,b2_contact,hiv2_mort,hiv3_mort,hiv4_mort,tb_hiv1_mort,tb_hiv2_mort,tb_hiv3_mort,tb_hiv4_mort,hiv_prev_mse_male_norm,hiv_prev_mse_female_norm,hiv_prev_mse_male_norm_rank,hiv_prev_mse_female_norm_rank,tb_mort_mse_male_neg_norm,tb_mort_mse_female_neg_norm,tb_mort_mse_male_pos_norm,tb_mort_mse_female_pos_norm,tb_mort_mse_overall_norm,tbmort_rank_total,tbmort_HIV_neg_male,tbmort_HIV_neg_female,tbmort_HIV_pos_male,tbmort_HIV_pos_female
4385,4994.424489,14126.03272,105667.0101,12019.73509,101043476.6,199777532.1,300821008.7,0.030710316,0.055326054,10,12,8,45,1.2,14,22,40,17,0.209151963,0.441684706,2333,3944,0.062966836,0.14256269,0.000320583,0.131200038,0.080562091,202,232,244,4,293
4393,2960.976506,9766.279337,111497.5197,12005.06036,100290509.5,199978037.8,300268547.2,0.030623018,0.055347153,10,12,8,45,1.2,17,22,40,17,0.206541363,0.442313372,2248,3959,0.009662989,0.02893821,0.000268884,0.139553915,0.049667079,81,55,51,3,314
4401,4994.78393,14127.83995,105813.1857,11934.56351,101574867.3,195995221.9,297570089.2,0.030714171,0.054560069,10,12,8,45,1.5,14,22,40,17,0.210994339,0.429825629,2378,3789,0.062988932,0.142582774,2.05E-05,0.131409476,0.080543341,201,233,245,2,295
4409,2962.793157,9772.02904,111646.7704,11928.73786,100815103.7,196195090.7,297010194.4,0.030626839,0.054581264,10,12,8,45,1.5,17,22,40,17,0.208360175,0.430452299,2312,3800,0.009733287,0.02903972,0,0.139767759,0.049684929,82,56,52,1,317
5288,4646.796165,12877.40095,14100.69824,77835.49107,121918686.6,162755800,284674486.5,0.033293342,0.051217884,11,12,8,45,1.2,14,30,60,20,0.281528068,0.325606559,3126,3151,0.047700634,0.123138004,0.232189564,5.03E-06,0.103826106,298,193,200,907,2
5296,2737.454402,9262.024522,14514.54027,71049.0543,121101789.2,163232863.8,284334653,0.033199298,0.051276891,11,12,8,45,1.2,17,30,60,20,0.278695816,0.327102347,3120,3153,0.003497796,0.016448299,0.20828094,0.000597979,0.066652895,144,13,29,868,3
5304,4647.270778,12879.58954,14097.18632,77382.96774,122644974.9,159355942.1,282000917,0.033296608,0.050462055,11,12,8,45,1.5,14,30,60,20,0.28404617,0.314946625,3129,3141,0.047727392,0.123164524,0.230595324,0,0.103356981,297,194,201,903,1
6191,2470.266885,10161.05964,14516.64692,98048.88943,122450464.2,161497985.3,283948449.5,0.033403,0.051102063,12,12,8,45,1.2,17,30,60,17,0.283371786,0.321662799,3128,3148,0.014489709,0.001518464,0.303401389,0.000600998,0.094402351,254,73,15,993,4
6063,2929.328442,9012.425885,20182.81383,53633.19891,119614799.6,166788037.2,286402836.8,0.033056595,0.05181812,12,11,8,45,1.2,17,30,60,17,0.273540298,0.338249258,3113,3165,0.000446117,0.027169787,0.146924862,0.008719407,0.052216462,92,3,47,747,31
6064,2926.012498,8975.937745,18769.22934,56090.7004,119854381,165561604.3,285415985.3,0.033058738,0.051573848,12,11,8,45,1.2,17,30,60,20,0.274370947,0.334403893,3114,3161,0,0.0269845,0.155582643,0.006694042,0.054079905,96,1,45,772,23
