"sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","hiv_prev_mse_male_norm","hiv_prev_mse_female_norm","hiv_prev_mse_male_norm_rank","hiv_prev_mse_female_norm_rank","tb_mort_mse_male_neg_norm","tb_mort_mse_female_neg_norm","tb_mort_mse_male_pos_norm","tb_mort_mse_female_pos_norm","tb_mort_mse_overall_norm","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female"
39,8213.20140139171,31565.9706391596,138954.607387008,29214.0126269031,109253739.279921,186711024.650349,295964763.930269,0.0318152179750576,0.0541852656239734,6,6,8,45,1.2,14,30,60,17,0.185271465079493,0.470656861469343,1850,4584,0.123791027669992,0.252368973982775,0.00671132736371207,0.0815556296089589,0.101712087422355,1693,1725,2136,418,1747
40,8215.58565081095,31584.1700483949,134443.719865187,28761.7919859311,109409552.783644,185632862.083537,295042414.867181,0.0318167203497213,0.0539759292065306,6,6,8,45,1.2,14,30,60,20,0.185720187264172,0.467078252994797,1855,4561,0.123876106211854,0.252457161164096,0.00648934353136118,0.0786446920915723,0.10080686416207,1687,1727,2138,406,1735
47,5673.07161805265,20490.736760072,148108.650318657,31512.0495186791,108408303.234897,187433334.219031,295841637.453928,0.0317263253094946,0.0542703548909735,6,6,8,45,1.2,17,30,60,17,0.182836721619743,0.473054332150759,1816,4596,0.0720165586726661,0.158416183652278,0.00783937635109066,0.0874628589239448,0.0746772190474994,1522,1429,1886,456,1801
48,5674.25189994411,20498.7897817739,143523.013298659,30979.064720009,108559549.588556,186370760.86239,294930310.450946,0.0317277896044351,0.0540641018755945,6,6,8,45,1.2,17,30,60,20,0.183272291019166,0.469527466967388,1822,4575,0.0720542049135483,0.158459839207914,0.00757774740832667,0.0845036845313099,0.0737272384061834,1510,1431,1888,447,1779
51,7939.96124818084,30121.9113973387,178082.591983112,39247.0791391868,103400468.421853,194095290.572149,297495758.994003,0.0310547250516095,0.0546188227309215,6,6,8,45,1.5,14,22,60,17,0.16841482284889,0.49516652023462,1645,4699,0.117040344003877,0.242262531787232,0.0116363094473273,0.106805454125653,0.107393104230116,1720,1694,2102,560,1884
52,7942.18847575325,30138.6728518916,172617.921421452,38403.6285038743,103553480.208418,192949970.765505,296503450.973924,0.0310562954662632,0.0544002677334956,6,6,8,45,1.5,14,22,60,20,0.168855476460474,0.491365005238379,1652,4683,0.117118700399649,0.242344911139067,0.0112222805696913,0.103279027345747,0.106243114682375,1715,1695,2103,544,1874
53,7965.08094102596,30230.9817802036,199206.650778711,42060.9381485612,104464083.191438,193400266.949933,297864350.141371,0.0310658905662741,0.0544273167113166,6,6,8,45,1.5,14,30,40,17,0.171477892041624,0.492859616339945,1681,4687,0.117550225891503,0.243191643854861,0.0130175626454419,0.120437098667915,0.11218477234328,1753,1700,2110,603,1945
54,7967.47587939189,30248.8970395056,193464.754929761,40964.336041783,104632183.236595,192226768.365888,296858951.602482,0.0310676830062731,0.0542053239238629,6,6,8,45,1.5,14,30,40,20,0.171961997832877,0.488964571096305,1687,4669,0.117633976090138,0.243280226392503,0.0124792680251356,0.11673177461211,0.110946153287702,1744,1701,2111,587,1931
55,8211.95532523468,31562.0315071916,139110.393809975,29222.4904157727,109839922.506647,183032773.874343,292872696.380991,0.0318185391107219,0.0534197654737219,6,6,8,45,1.5,14,30,60,17,0.186959594874628,0.458448109465048,1874,4513,0.123772613028082,0.252322884868477,0.00671548889879612,0.0816561607219872,0.101730594465547,1694,1724,2135,419,1749
56,8214.33619132054,31580.2184180574,134589.007369924,28760.3769600132,110001560.096266,181966692.215369,291968252.311635,0.0318200413656324,0.0532105685787342,6,6,8,45,1.5,14,30,60,20,0.187425089652726,0.454909599618019,1879,4490,0.123857633142605,0.2524109469091,0.00648864893043484,0.0787384481088306,0.100821845122121,1688,1726,2137,405,1736
59,5424.3317143679,19269.0179198736,187869.467008723,42475.1611223358,102705517.065551,194681507.515621,297387024.581172,0.0309817924566451,0.0546762296337689,6,6,8,45,1.5,17,22,60,17,0.166413455294762,0.497112275899311,1628,4707,0.0663052712266522,0.149215941928014,0.0132208943707887,0.113121058660728,0.0810068285403882,1576,1391,1847,610,1914
