"sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","hiv_prev_mse_male_norm","hiv_prev_mse_female_norm","hiv_prev_mse_male_norm_rank","hiv_prev_mse_female_norm_rank","tb_mort_mse_male_neg_norm","tb_mort_mse_female_neg_norm","tb_mort_mse_male_pos_norm","tb_mort_mse_female_pos_norm","tb_mort_mse_overall_norm","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female"
321,3753.67576947119,11035.2706824305,86313.1639648047,15717.3527570775,187205745.669641,129767915.425588,316973661.095228,0.0383542865611727,0.0470309134979695,6,8,12,35,1.2,14,22,40,17,0.409762884446837,0.281652810029036,3185,3289,0.0278141751711771,0.0874227261896637,8.61536975993041e-05,0.0475853849762092,0.0373488418743107,1065,930,1534,2,1456
337,3746.75415383244,11023.3461816918,85923.5666188739,15541.8423158987,188598162.489952,126093865.623652,314692028.113604,0.0383575750240379,0.0462084791101862,6,8,12,35,1.5,14,22,40,17,0.413772859851188,0.26945800178598,3206,3200,0.0277584305520977,0.0871667136397848,0,0.0473339724713621,0.0371852205797852,1059,928,1532,1,1453
338,3745.61563871288,11007.8647900043,81449.1311625047,15955.2695174567,189071242.129671,124762165.367009,313833407.496681,0.0383600391473309,0.0459026856925195,6,8,12,35,1.5,14,22,40,20,0.415135266346068,0.265037857764406,3214,3162,0.0276860581902397,0.0871246029283489,0.000202941100615596,0.044446557971208,0.0363569819452648,1046,926,1531,3,1424
345,2147.98545790443,6918.83498349927,93544.5396877154,16039.821697673,187545150.702015,127013371.560444,314558522.262459,0.0382928276233758,0.0463106103879307,6,8,12,35,1.5,17,22,40,17,0.41074032583657,0.272510001400035,3189,3224,0.00857067432951747,0.0280324201636327,0.000244445656793516,0.0522518908006865,0.023069519835874,696,393,884,4,1513
1365,1974.75506036728,6364.70887673808,13276.1474096217,70986.9713622453,209799827.393513,106561890.34983,316361717.743342,0.0399793914738363,0.0431638590757918,7,9,12,35,1.5,14,30,40,17,0.47483083728612,0.204627989697722,3781,2553,0.00598024732379184,0.0216250785681643,0.0272166308119926,0.000453597579602961,0.0138221336958699,282,263,772,883,4
1481,2874.43609407107,25202.5938904573,12638.3783725242,83724.2584225034,195161992.701757,118978148.042074,314140140.743831,0.0389487646452121,0.04525025895801,7,10,12,35,1.2,17,22,40,17,0.432675818594385,0.245839701518694,3341,2989,0.0940435337758824,0.0549019387027609,0.0334690473078698,4.20364824720761e-05,0.0398424196328312,1099,1600,1255,957,2
1497,2885.94288161667,25261.6343603327,12573.2372133231,83442.3879871982,196569296.937512,115598090.620568,312167387.558079,0.0389520611686481,0.0444092654531142,7,10,12,35,1.5,17,22,40,17,0.436728667776828,0.234620704954177,3371,2885,0.094319535981391,0.0553275448291645,0.0333306841422235,0,0.0399286214047782,1100,1601,1261,953,1
2257,1592.16613923714,7956.91527413782,13233.5227660534,69588.5097030249,196259262.83788,117071680.851759,313330943.689639,0.0389365107892408,0.0446682454017173,8,9,12,35,1.5,14,22,40,17,0.435835810770291,0.239511806399983,3365,2933,0.0134234888534513,0.00747411001314017,0.026530160867051,0.000426091313146973,0.0122663954273777,195,616,309,874,3
5415,1785.60084768953,5127.11953454675,44495.0963567429,159714.168935002,128407144.537514,151721642.565705,280128787.103218,0.0339162647469668,0.049818347495295,12,6,8,45,1.2,14,30,60,17,0.240430726927075,0.35452103640774,2622,3733,0.000194768504270584,0.0146287564902892,0.0707705988675429,0.0205996130375249,0.0303757685704323,906,3,607,1334,1005
5416,1781.76870191829,5085.45601237353,47675.3422078351,165088.957049326,128750078.944098,150140804.300841,278890883.244939,0.0339190604843515,0.0494864985552237,12,6,8,45,1.2,14,30,60,20,0.241418332445515,0.349273960145152,2638,3699,0,0.0144870153908688,0.0734089482828354,0.0226518692548824,0.0317156483394891,933,1,598,1357,1050
5432,1783.26061276685,5091.15754562424,47509.9551493227,164402.487998632,129527558.704398,146925588.012737,276453146.717135,0.0339224919521142,0.0487440699554139,12,6,8,45,1.5,14,30,60,20,0.243657370835964,0.338602099880025,2660,3627,2.66535099618517e-05,0.0145421972906543,0.0730719777493016,0.0225451427202071,0.0315989063009758,928,2,603,1355,1047
5444,1711.14048613505,5132.58550740233,26016.7070457057,103790.344551832,210428300.56471,106266324.00977,316694624.574479,0.0403746310732996,0.0435650514261062,12,6,12,35,1.2,14,22,60,20,0.476640756501424,0.203646953774301,3803,2540,0.000220320817227676,0.0118746614897318,0.0433189884553973,0.00867525525955485,0.0180172695758775,511,4,495,1083,606
