"sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","hiv_prev_mse_male_norm","hiv_prev_mse_female_norm","hiv_prev_mse_male_norm_rank","hiv_prev_mse_female_norm_rank","tb_mort_mse_male_neg_norm","tb_mort_mse_female_neg_norm","tb_mort_mse_male_pos_norm","tb_mort_mse_female_pos_norm","tb_mort_mse_overall_norm","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female"
65,7704.33312667643,28724.7154450642,245173.970018538,62367.1726047107,180695717.408681,139566397.056092,320262114.464773,0.0378697912894975,0.0485162161345718,6,6,12,35,1.2,14,22,40,17,0.391014868172336,0.314175669271211,3139,3479,0.110508736698426,0.233547260764122,0.0152259409914055,0.148891883223687,0.118046546757037,458,466,709,26,621
66,7706.48709628968,28740.7141988252,238550.143788462,60745.2570993625,181018199.973974,138526855.784539,319545055.758514,0.0378714982227108,0.0482864409813152,6,6,12,35,1.2,14,22,40,20,0.391943575105701,0.310725251571197,3140,3461,0.110583527622901,0.233626930494692,0.0144234600451439,0.144611359152841,0.116552537382914,453,468,711,24,609
73,5212.13588814946,18102.3938279793,255621.603448946,66845.5334878543,180120186.629573,139480725.365562,319600911.995135,0.0378332272697138,0.0485364928820548,6,6,12,35,1.2,17,22,40,17,0.389357416010738,0.313891310077897,3137,3476,0.0608515405391797,0.141367370528051,0.0174417156525116,0.155643471328334,0.0923693383076999,391,323,598,35,640
74,5212.84621553707,18106.1852533722,248969.703157544,65169.6427450765,180435953.561212,138457910.064284,318893863.625496,0.0378348903139094,0.0483101254970048,6,6,12,35,1.2,17,22,40,20,0.39026678281162,0.310496408772919,3138,3458,0.0608692646828505,0.141393643689585,0.0166125291846218,0.151344804919345,0.090839781905677,386,325,600,32,625
81,7703.23442118923,28721.516391691,245344.261283798,62466.9871873099,181786886.844408,136363307.401551,318150194.245959,0.0378730416925791,0.0477513479034025,6,6,12,35,1.5,14,22,40,17,0.394157291141823,0.303544059405209,3144,3423,0.110493781773636,0.233506622507388,0.0152753266100957,0.149001930775461,0.118083258071872,460,465,708,27,622
82,7705.38457679781,28737.5026808999,238711.393621595,60836.0140095363,182115755.266735,135337248.413477,317453003.680212,0.0378747484913788,0.0475217351352889,6,6,12,35,1.5,14,22,40,20,0.39510438849483,0.300138391741414,3146,3402,0.110568514428862,0.233586151167851,0.0144683641667926,0.144715563847857,0.116586111523737,454,467,710,25,610
89,5211.61204825327,18100.9433397423,255793.263932802,66950.3335592303,181207405.395741,136275953.575131,317483358.970872,0.0378364633260771,0.0477714205971016,6,6,12,35,1.5,17,22,40,17,0.392488461576899,0.303254116911254,3141,3421,0.0608447598012669,0.141347995053516,0.017493567959348,0.155754403712071,0.0924129424723822,393,322,597,36,641
90,5212.31488912174,18104.7088205687,249132.593750959,65265.5998822953,181529465.340896,135266410.566877,316795875.907773,0.0378381262397808,0.0475452141460792,6,6,12,35,1.5,17,22,40,20,0.393415951420428,0.299903268647768,3142,3398,0.0608623626593586,0.14137399130819,0.0166600062412391,0.151450069925069,0.0908802936434021,388,324,599,33,626
201,3386.07296193355,10369.2981731007,166007.533996718,32466.2758269286,182759753.394415,134949588.370456,317709341.764871,0.0380235443763289,0.0478304462324348,6,7,12,35,1.2,17,22,40,17,0.396959017521695,0.298851680852072,3148,3395,0.0247008889495224,0.0738260549770275,0.000431767151165163,0.0977320515457692,0.0491545343943903,249,194,468,2,486
202,3384.45568332358,10351.789025754,160068.484785855,31593.6197963559,183141977.83026,133769219.242775,316911197.073035,0.0380255649760795,0.0475667122969485,6,7,12,35,1.2,17,22,40,20,0.398059773103159,0.294933831082994,3151,3374,0.0246190372417961,0.0737662360500005,0,0.0938940518425758,0.0478452702111321,244,193,467,1,472
311,4168.57434275866,12755.3185102358,25878.083233359,41348.8958518633,119283203.137106,164409849.171735,283693052.308842,0.0328673877182841,0.0511032296072953,6,8,8,45,1.5,14,30,60,17,0.214154988173644,0.396635393819901,2295,4057,0.0358550494233025,0.102768744696348,0.00482665288928552,0.00717600943473449,0.031325557521136,167,250,528,9,102
312,4168.20180615446,12747.3184810429,24609.3636057583,43539.544082845,119540981.771691,163048564.1955,282589545.967191,0.0328695514647639,0.050826104038067,6,8,8,45,1.5,14,30,60,20,0.21489735638507,0.392117052985057,2306,4020,0.035817650911637,0.102754965536836,0.00591052776410331,0.00635612305540283,0.0313945185355464,169,249,527,12,94
