sim_id,HIV_neg_female,HIV_neg_male,HIV_pos_female,HIV_pos_male,hiv_prev_mse_male,hiv_prev_mse_female,hiv_prev_mse,max_perc_diff_male,max_perc_diff_female,b1_contact,b2_contact,hiv2_mort,hiv3_mort,hiv4_mort,tb_hiv1_mort,tb_hiv2_mort,tb_hiv3_mort,tb_hiv4_mort,hiv_prev_mse_male_norm,hiv_prev_mse_female_norm,hiv_prev_mse_male_norm_rank,hiv_prev_mse_female_norm_rank,tb_mort_mse_male_neg_norm,tb_mort_mse_female_neg_norm,tb_mort_mse_male_pos_norm,tb_mort_mse_female_pos_norm,tb_mort_mse_overall_norm,tbmort_rank_total,tbmort_HIV_neg_male,tbmort_HIV_neg_female,tbmort_HIV_pos_male,tbmort_HIV_pos_female
201,3386.072962,10369.29817,166007.534,32466.27583,182759753.4,134949588.4,317709341.8,0.038023544,0.047830446,6,7,12,35,1.2,17,22,40,17,0.396959018,0.298851681,3148,3395,0.024700889,0.073826055,0.000431767,0.097732052,0.049154534,249,194,468,2,486
202,3384.455683,10351.78903,160068.4848,31593.6198,183141977.8,133769219.2,316911197.1,0.038025565,0.047566712,6,7,12,35,1.2,17,22,40,20,0.398059773,0.294933831,3151,3374,0.024619037,0.073766236,0,0.093894052,0.04784527,244,193,467,1,472
319,2365.771333,7137.27286,28648.11996,36877.87914,118170061.8,165192629.8,283362691.6,0.032753765,0.051191065,6,8,8,45,1.5,17,30,60,17,0.210949289,0.399233578,2246,4079,0.009591827,0.036087753,0.002614512,0.008966094,0.012610098,25,104,341,3,123
320,2362.142881,7101.437159,27171.16739,38907.28289,118421220.3,163846758.5,282267978.8,0.032755882,0.050917351,6,8,8,45,1.5,17,30,60,20,0.211672592,0.394766398,2258,4045,0.009424302,0.035953546,0.003618607,0.008011641,0.012564644,24,101,340,4,111
557,1916.582961,14767.72372,15552.31119,103158.2646,118231703.7,164502296.3,282734000,0.032611687,0.051130251,6,10,8,45,1.2,17,30,40,17,0.21112681,0.396942242,2251,4059,0.045262635,0.019473444,0.035408296,0.000503172,0.023720656,101,288,249,86,4
573,1921.019324,14780.55568,15453.85632,102628.9433,118940911.1,161156305.2,280097216.2,0.032615034,0.050386237,6,10,8,45,1.5,17,30,40,17,0.213169233,0.385836317,2283,3967,0.045322622,0.019637534,0.035146402,0.000439547,0.023667816,99,289,252,84,3
1333,1940.764732,6358.256693,14773.68603,84779.93344,118434466.5,163706102.8,282140569.3,0.03256193,0.050735037,7,9,8,45,1.5,14,30,40,17,0.211710739,0.394299538,2259,4041,0.005950085,0.020367865,0.026315183,0,0.013158145,29,69,262,55,1
1341,1654.415455,10998.23041,14885.41908,76246.631,117057439.9,165152628.3,282210068.2,0.032445633,0.050880968,7,9,8,45,1.5,17,30,40,17,0.207745086,0.399100806,2201,4078,0.027641019,0.00977655,0.02209313,7.22E-05,0.014133115,36,210,148,46,2
5415,1785.600848,5127.119535,44495.09636,159714.1689,128407144.5,151721642.6,280128787.1,0.033916265,0.049818347,12,6,8,45,1.2,14,30,60,17,0.240430727,0.354521036,2622,3733,0.000194769,0.014628756,0.063390663,0.019206907,0.027743976,138,3,209,181,193
5416,1781.768702,5085.456012,47675.34221,165088.957,128750078.9,150140804.3,278890883.2,0.03391906,0.049486499,12,6,8,45,1.2,14,30,60,20,0.241418332,0.34927396,2638,3699,0,0.014487015,0.066049966,0.021262081,0.029091017,146,1,204,194,202
5431,1787.109402,5132.894272,44356.33816,159048.2124,129175641.4,148487749.7,277663391.1,0.033919696,0.049075751,12,6,8,45,1.5,14,30,60,17,0.242643896,0.343787185,2649,3660,0.000221764,0.014684554,0.063061165,0.019117237,0.027634784,137,4,211,179,191
5432,1783.260613,5091.157546,47509.95515,164402.488,129527558.7,146925588,276453146.7,0.033922492,0.04874407,12,6,8,45,1.5,14,30,60,20,0.243657371,0.3386021,2660,3627,2.67E-05,0.014542197,0.06571032,0.021155203,0.028973427,144,2,207,193,200
5543,1396.918959,7235.276672,108533.0433,281375.77,135130996.1,143142497.9,278273494,0.034560878,0.048666671,12,7,8,45,1.2,14,30,60,17,0.259794526,0.326045368,2809,3545,0.010049975,0.000252425,0.12358561,0.060590235,0.057313233,279,111,3,357,367
5544,1390.094339,7163.116476,115682.4045,289474.7781,135542383.5,141424101.4,276966484.9,0.034564085,0.048296414,12,7,8,45,1.2,14,30,60,20,0.260979267,0.320341712,2819,3514,0.009712641,0,0.127592785,0.065210376,0.059783476,288,107,1,367,379
5559,1399.642728,7244.718598,108243.8123,280393.6788,135945411.3,140030962.2,275976373.5,0.034564312,0.047931097,12,7,8,45,1.5,14,30,60,17,0.262139934,0.315717641,2827,3486,0.010094114,0.00035317,0.123099697,0.060403325,0.057140363,278,112,4,355,365
5560,1392.795757,7172.458827,115360.4168,288468.6197,136366720.1,138333222.3,274699942.4,0.034567519,0.047561021,12,7,8,45,1.5,14,30,60,20,0.263353247,0.310082549,2837,3454,0.009756314,9.99E-05,0.127094964,0.065002297,0.059600425,286,108,2,365,378
3631,1782.728575,5476.47419,23378.3663,56352.01446,119753735.6,165416412,285170147.6,0.033031758,0.051577293,10,6,8,45,1.2,17,30,60,17,0.215510059,0.399976351,2314,4087,0.001827931,0.014522519,0.0122498,0.005560614,0.008613214,2,13,205,21,82
3632,1778.236166,5432.487184,22623.86797,58936.54711,120014864,164009268.9,284024132.8,0.033034027,0.051292305,10,6,8,45,1.2,17,30,60,20,0.216262074,0.395305798,2326,4051,0.0016223,0.014356356,0.013528558,0.005073034,0.008776209,4,10,199,23,76
3647,1784.408074,5482.529276,23388.77983,56004.73954,120448463.3,162002641.4,282451104.7,0.03303516,0.05082501,10,6,8,45,1.5,17,30,60,17,0.217510783,0.388645454,2340,3991,0.001856237,0.014584639,0.012077977,0.005567344,0.008581771,1,15,208,20,83
3648,1779.897198,5438.466013,22614.27932,58572.79641,120717424.9,160611726.8,281329151.7,0.033037429,0.050540179,10,6,8,45,1.5,17,30,60,20,0.218285356,0.384028767,2352,3955,0.00165025,0.014417793,0.013348584,0.005066837,0.008738235,3,11,201,22,75
