"sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","hiv_prev_mse_male_norm","hiv_prev_mse_female_norm","hiv_prev_mse_male_norm_rank","hiv_prev_mse_female_norm_rank"
1,9003.3412208525,34541.8446845492,255320.544809116,44801.9277352791,45232629.9662509,105571371.957989,150804001.92424,0.0207971635057428,0.0434112382030008,6,6,8,35,1.2,14,22,40,17,0.00130491690344498,0.995231177618389,8,6271
2,9005.50581745838,34559.6355691442,248279.816310672,43549.6735291809,45221433.3098212,104743619.745893,149965053.055714,0.0207991981482329,0.0431782366648204,6,6,8,35,1.2,14,22,40,20,0.00127235623961031,0.985287376405197,7,6269
3,9325.20983124121,36265.2292298989,168840.984687982,27184.3574995411,48833557.1216365,96295644.5422744,145129201.663911,0.0218070962174129,0.0421847662633002,6,6,8,35,1.2,14,22,60,17,0.0117766661561422,0.88380170853122,94,6224
4,9327.43510081791,36283.6466812458,163340.429091697,26784.4502014531,48838790.040254,95561610.6696493,144400400.709903,0.0218087303401025,0.0419665057949049,6,6,8,35,1.2,14,22,60,20,0.0117918838512683,0.874983747302645,97,6219
5,9309.8682517734,36160.4085105604,203472.406806895,31079.469165664,48583249.0652569,97287380.7554292,145870629.820686,0.0216236372218834,0.0421667975200333,6,6,8,35,1.2,14,30,40,17,0.0110487527357286,0.895715452300699,89,6231
6,9312.22906422361,36179.7761387476,197501.06191873,30341.2843085081,48594374.6094433,96528099.536422,145122474.145865,0.0216255892212737,0.0419434337660918,6,6,8,35,1.2,14,30,40,20,0.0110811066001618,0.886594194276397,91,6228
7,9637.54032638882,37923.9445299532,132532.699817224,22417.490167654,52287413.4334817,89421798.4299845,141709211.863466,0.0225804916411012,0.0411045316911763,6,6,8,35,1.2,14,30,60,17,0.0218207230592079,0.801226079844494,259,6120
8,9639.94010510564,37943.755082788,127901.647333671,22390.9931023081,52310210.2377384,88744640.1748444,141054850.412583,0.0225820576197084,0.0408951368151065,6,6,8,35,1.2,14,30,60,20,0.0218870177682196,0.793091366363112,261,6107
9,6055.08824175818,21807.1831698452,266701.392437687,48778.3285413735,44888392.5013177,105968343.215846,150856735.717163,0.0207258097846005,0.0434654751526463,6,6,8,35,1.2,17,22,40,17,0.000303850161294123,1,4,6272
10,6055.54260704054,21812.526534951,259629.608712214,47444.7285079706,44875078.6953234,105151894.893576,150026973.588899,0.0207277942868994,0.0432357627659004,6,6,8,35,1.2,17,22,40,20,0.000265132677725327,0.990191992604967,3,6270
11,6345.62817724642,23271.4579043029,179650.429677779,29535.9508104012,48358360.7511041,97292682.4117855,145651043.16289,0.0217154867700924,0.0423409639269952,6,6,8,35,1.2,17,22,60,17,0.0103947617122923,0.895779141187466,79,6232
12,6346.36036879782,23279.0578888447,174074.301153738,29037.3819013484,48360765.3293756,96565077.1965803,144925842.525956,0.0217170801289145,0.0421257182498202,6,6,8,35,1.2,17,22,60,20,0.0104017543949074,0.887038407528346,80,6229
13,6338.07664848946,23192.5686616312,215100.930186087,34135.5034130879,48044798.6691167,98122774.3182028,146167572.987319,0.0215337338587426,0.042289281537508,6,6,8,35,1.2,17,30,40,17,0.00948290113971309,0.905751049187795,61,6241
14,6338.85932992081,23200.5330155759,209059.49906357,33301.4414992351,48052732.2134807,97371202.2086189,145423934.4221,0.0215356376734536,0.0420690574468215,6,6,8,35,1.2,17,30,40,20,0.00950597244431896,0.89672240082435,62,6235
15,6626.69980845156,24693.839747087,142231.878451552,23437.2158523531,51709818.8579681,90108451.4904716,141818270.34844,0.022471335014519,0.0412071994424203,6,6,8,35,1.2,17,30,60,17,0.020141037438395,0.809474854581829,228,6131
16,6627.71857721061,24703.7218085215,137521.570684664,23308.145153235,51729659.2207637,89439361.6222191,141169020.842983,0.0224728618892482,0.04100083604169,6,6,8,35,1.2,17,30,60,20,0.0201987346078496,0.801437066767511,229,6121
17,9002.32330562606,34538.0638083965,255511.476366404,44864.3091277682,45140707.2726824,103072877.931598,148213585.20428,0.0208009395945549,0.0426526083936395,6,6,8,35,1.5,14,22,40,17,0.001037599249923,0.965216726955838,6,6264
18,9004.48378552485,34555.8405988929,248460.690373426,43600.5530399457,45137385.1393453,102258755.09972,147396140.239065,0.0208029740703768,0.0424197733807519,6,6,8,35,1.5,14,22,40,20,0.00102793825268851,0.955436655715899,5,6261
19,9323.94146022942,36260.1949338146,168952.283782582,27213.2562064927,48837339.7131651,94024168.952114,142861508.665279,0.0218106259462956,0.0414506134381643,6,6,8,35,1.5,14,22,60,17,0.0117876661981601,0.85651443415237,96,6194
20,9326.15957598658,36278.5886546351,163452.926014843,26804.4993004859,48849183.6066137,93302698.0343066,142151881.64092,0.0218122599381083,0.0412328074824401,6,6,8,35,1.5,14,22,60,20,0.0118221090727357,0.84784739191082,99,6185
21,9308.77293656476,36156.3209537815,203638.427517784,31103.029198623,48570702.5723847,94897428.1561478,143468130.728533,0.0216274071065877,0.0414099245964821,6,6,8,35,1.5,14,30,40,17,0.011012266652648,0.867004911623292,87,6207
22,9311.1294434716,36175.6786407796,197657.311995717,30353.994491044,48589279.4927641,94151208.8060227,142740488.298787,0.0216293589458236,0.0411867246810525,6,6,8,35,1.5,14,30,40,20,0.0110662896427573,0.858040566049042,90,6198
23,9632.4965409861,37902.8792773502,132273.610337121,22341.068579591,52384622.8738106,86835117.8849729,139219740.758783,0.0225840121957808,0.0402953810222859,6,6,8,35,1.5,14,30,60,17,0.022103414943879,0.770152243054031,265,6067
24,9634.88613514568,37922.6428585939,127658.01837569,22309.3995275903,52413985.2410346,86172783.1854474,138586768.426482,0.0225855780488275,0.0400865267124316,6,6,8,35,1.5,14,30,60,20,0.0221888027714487,0.762195605194978,267,6054
25,6054.69788721063,21805.457382333,266893.794375784,48847.7597981176,44789461.9993186,103464791.765517,148254253.764835,0.0207295707054433,0.0427066017815338,6,6,8,35,1.5,17,22,40,17,1.61533083243354e-05,0.969924794418828,2,6266
26,6055.14423033914,21810.7692640958,259812.231508437,47502.8947279895,44783907.3507884,102661760.227828,147445667.578616,0.0207315550457323,0.0424770545563677,6,6,8,35,1.5,17,22,40,20,0,0.96027796308209,1,6262
27,6345.09601567874,23269.159564608,179862.71091068,29545.5276177627,48326412.3804101,94889826.8501886,143216239.230599,0.0217190012034731,0.0415837239246054,6,6,8,35,1.5,17,22,60,17,0.010301853604879,0.866913597007258,77,6205
