"sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","hiv_prev_mse_male_norm","hiv_prev_mse_female_norm","hiv_prev_mse_male_norm_rank","hiv_prev_mse_female_norm_rank","tb_mort_mse_male_neg_norm","tb_mort_mse_female_neg_norm","tb_mort_mse_male_pos_norm","tb_mort_mse_female_pos_norm","tb_mort_mse_overall_norm","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female"
39,9550.08176746007,38101.0265197688,177393.602178824,34469.3537048965,108511609.874603,38711866.8428391,147223476.717442,0.0317613875151185,0.0312694137465984,6,6,8,45,1.2,14,30,60,17,0.185324637928808,0.192046820800183,1856,3053,0.161494449230948,0.276028397957142,0.0069518493240881,0.101130236337698,0.119929195136154,401,386,429,159,414
40,9552.4732764381,38120.9979721147,172170.970890652,33825.4874733066,108660478.769405,38324403.0319819,146984881.801387,0.0317628830487928,0.0310726484883697,6,6,8,45,1.2,14,30,60,20,0.185757559137881,0.187392211538902,1865,3028,0.161593074385635,0.276111747866398,0.0066683058993421,0.0978630684766832,0.118900376763214,399,388,431,156,412
47,6539.87657971575,24817.242789607,188099.271460574,37159.5442423145,107677527.718634,38861472.0356884,146538999.754322,0.031672655977431,0.0313542878596413,6,6,8,45,1.2,17,30,60,17,0.182899068397253,0.193844030492184,1824,3063,0.0958950525252,0.17111541977229,0.0081365454624696,0.107827476996289,0.0881913011971256,377,343,378,175,421
48,6540.93399487288,24827.9316719515,182823.525858434,36433.1824785532,107821952.976372,38478181.9478017,146300134.924174,0.0316741135605235,0.0311604764470923,6,6,8,45,1.2,17,30,60,20,0.18331906719743,0.18923956023498,1827,3040,0.0959478375032979,0.171152273264459,0.00781667296101404,0.104527081941935,0.087123148624436,373,345,380,171,418
53,9260.10241491153,36515.6409260111,248141.502819337,49388.0241620223,103967238.410872,39373469.663228,143340708.0741,0.0309872706680203,0.0313118465391699,6,6,8,45,1.5,14,30,40,17,0.172109286319119,0.199994666582888,1697,3092,0.153665329109069,0.265921911657854,0.0135216781278525,0.14538862917703,0.131590540344849,408,383,426,220,427
54,9262.49747878307,36535.5602752233,241725.351411627,48083.893793963,104129184.437007,38951243.7341138,143080428.171121,0.030989177509601,0.0311035546784956,6,6,8,45,1.5,14,30,40,20,0.172580236745211,0.194922459411693,1704,3069,0.153763696962509,0.266005385463803,0.0129473700297842,0.141374820329726,0.130250473593115,407,384,427,215,426
55,9548.95670548376,38096.7265997337,177583.493526021,34496.9988247242,109076790.030969,37337949.3207302,146414739.351699,0.0317647021086721,0.0305446148855048,6,6,8,45,1.5,14,30,60,17,0.186968221546215,0.175541926553422,1884,2964,0.161473214907511,0.27598918680866,0.00696402357949841,0.101249028355057,0.119956395923601,402,385,428,160,415
56,9551.34505075009,38116.6875393915,172351.38154906,33843.2463397368,109231342.633369,36961282.2989319,146192624.932301,0.0317661975231023,0.0303479896037488,6,6,8,45,1.5,14,30,60,20,0.187417671376452,0.17101701930027,1888,2939,0.161571788147322,0.276072426454862,0.00667612648312205,0.0979759295753154,0.118924459737968,400,387,430,157,413
63,6539.24840207459,24814.5023650458,188291.571090944,37196.2867645056,108235547.745316,37480520.5878665,145716068.333183,0.0316759563055265,0.0306292127217615,6,6,8,45,1.5,17,30,60,17,0.184521829854301,0.177254637577807,1846,2978,0.0958815194685355,0.171093526252396,0.00815272599821557,0.107947775584752,0.0882251596190767,378,342,377,176,422
64,6540.29955944442,24825.1689770312,183006.622720175,36460.2715021414,108385575.490589,37107856.792204,145493432.282793,0.031677413772821,0.0304355402251639,6,6,8,45,1.5,17,30,60,20,0.184958121081991,0.172777821147396,1852,2946,0.0959341944687727,0.171130161645445,0.00782860232482341,0.104641623472655,0.087153938962087,374,344,379,172,419
164,6699.12848739229,23981.1236536863,123701.101491035,23638.4061936736,105020680.189367,39102911.4719313,144123591.661298,0.031345582920722,0.0313182405011171,6,7,8,45,1.2,14,22,60,20,0.175172769050286,0.196744446491005,1736,3078,0.0917660398880857,0.176665736403192,0.00218215680116595,0.0675413415937942,0.0746034047767436,359,330,384,61,383
165,6718.95896896933,24031.1796739235,151406.479538112,22983.3188301517,106335484.797042,38575093.1639519,144910577.960994,0.0313459042223027,0.0311483498182781,6,7,8,45,1.2,14,30,40,17,0.178996313258136,0.190403756300716,1781,3044,0.0920132318625829,0.177356876957184,0.0018936718559279,0.0848732411168678,0.0799040956557921,367,333,386,48,403
166,6720.00068715957,24040.473703739,145763.979112136,22724.2366824717,106533033.301455,38092581.2209773,144625614.522432,0.0313481488725172,0.0309065135173675,6,7,8,45,1.2,14,30,40,20,0.179570798193318,0.184607332233446,1786,3017,0.0920591286312477,0.177393183371847,0.00177957821995271,0.0813434119885397,0.0788273594631667,365,335,388,41,401
167,7004.45199761923,25508.0900415209,93584.7208176297,23224.1781066367,112303255.949746,36343219.5598797,148646475.509626,0.0322328710453408,0.0302743871412621,6,7,8,45,1.2,14,30,60,17,0.196351011204506,0.163592221245245,2030,2894,0.0993066680604989,0.187307003948068,0.00199974057142451,0.0487011697346287,0.0725330074935294,358,352,393,51,348
168,7005.6758089875,25518.962843291,89334.773170674,23695.0226282017,112493451.214148,35917610.4702089,148411061.684357,0.0322346785896262,0.030046468803885,6,7,8,45,1.2,14,30,60,20,0.196904112400926,0.158479372109516,2038,2856,0.099360361289108,0.187349656753234,0.00220708933676941,0.0460424922219019,0.0718168780760698,354,353,394,62,341
173,4100.33729067307,13358.4807048473,161927.959389127,24605.1958597709,105509095.778947,38915912.0250439,144425007.803991,0.031264407510154,0.0312602069327252,6,7,8,45,1.2,17,30,40,17,0.176593115912217,0.194498018997788,1753,3066,0.0393081722338434,0.0860915372627359,0.00260790805116917,0.091455256756646,0.0532988913416604,311,239,300,82,408
174,4098.79750924796,13349.2278538825,156180.566223718,24228.960991273,105700902.807167,38436355.2772296,144137258.084397,0.0312666005321419,0.0310215936456758,6,7,8,45,1.2,17,30,40,20,0.177150904231099,0.188737095739566,1762,3036,0.0392624788189678,0.0860378721319602,0.00244222313419608,0.0878598089452789,0.0521506798140281,303,237,298,75,405
