"sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","hiv_prev_mse_male_norm","hiv_prev_mse_female_norm","hiv_prev_mse_male_norm_rank","hiv_prev_mse_female_norm_rank","tb_mort_mse_male_neg_norm","tb_mort_mse_female_neg_norm","tb_mort_mse_male_pos_norm","tb_mort_mse_female_pos_norm","tb_mort_mse_overall_norm","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female"
306,4308.90188831651,13244.338815443,115296.306967528,18683.1966783637,101902104.451462,38865604.4563335,140767708.907796,0.030673974697442,0.0309461540529502,6,8,8,45,1.5,14,22,40,20,0.166103731620844,0.193893673330734,1630,3064,0.0387445045894528,0.0933605211751231,0,0.0622834796023078,0.0451060490336075,284,232,304,1,374
314,2420.91980442738,7244.04904745393,123623.040899558,18784.0532008725,101224122.352051,38947452.6555226,140171575.007573,0.030602838562028,0.030990260255972,6,8,8,45,1.5,17,22,40,20,0.164132112024976,0.194876917120965,1613,3068,0.00911323409940248,0.027559749856648,4.44148215841205e-05,0.0674925085359711,0.0275956737984767,209,102,155,2,382
1069,2979.14058530544,8864.57887089115,112502.329196022,19537.3118087069,108009116.110993,37273360.8554856,145282476.966479,0.0315212139611831,0.0306938382871245,7,7,8,45,1.2,17,30,40,17,0.183863350747341,0.174766024236676,1838,2960,0.0171159072022307,0.047015102882093,0.000376132055546495,0.0605356261016926,0.0310997294640365,225,157,224,4,372
1085,2980.10630590575,8867.33005389766,112626.340407824,19458.0789807603,108594080.115088,35940932.3595339,144535012.474622,0.0315248012454261,0.0299757126180101,7,7,8,45,1.5,17,30,40,17,0.185564467184416,0.158759538357307,1861,2857,0.017129493387396,0.0470487605957547,0.000341239796431092,0.0606132048973701,0.0311219842047705,228,158,225,3,373
681,4312.33407909245,31265.5832814768,15775.2924127391,128715.748046677,107597833.904853,35993550.8202711,143591384.725124,0.0314128279843089,0.0300601175294704,6,11,8,45,1.2,17,22,40,17,0.182667313185637,0.159391644809055,1820,2859,0.127738934856665,0.0934801413782471,0.0484557271647453,2.52342260130691e-05,0.0587881036642099,323,373,305,334,2
697,4319.09932940307,31285.0359330283,15734.9550123009,128110.914386635,108191887.810608,34723414.7192881,142915302.529896,0.0314164927324625,0.0293568933025541,6,11,8,45,1.5,17,22,40,17,0.184394863695607,0.144133478515683,1842,2744,0.127834998013972,0.0937159268194333,0.0481893727591934,0,0.0587669967944391,321,374,310,333,1
1450,3401.63261365537,23972.2326032372,16455.4505511014,105500.072694366,106569822.180771,35995396.8583532,142565219.039124,0.0312926511969679,0.0299694575232304,7,10,8,45,1.2,17,22,40,20,0.179677782840009,0.159413821295511,1790,2860,0.0917221331550802,0.061739978493235,0.0382320940959147,0.000450726796223233,0.0422972685973044,273,328,253,314,4
1466,3407.5836666943,23989.6631378592,16423.3660898006,104963.902854965,107163424.52515,34720717.4934236,141884142.018574,0.0312963229158159,0.0292641527456346,7,10,8,45,1.5,17,22,40,20,0.181404020177762,0.144101076696114,1808,2742,0.0918082104790333,0.0619473871775972,0.0379959776092124,0.000430655434678504,0.0422791094444933,272,331,259,313,3
5409,1800.0989723877,5450.48945444634,36464.4814764912,59312.7376649767,105045865.33251,38172376.5447548,143218241.877265,0.0311569385943018,0.0310064507013511,12,6,8,45,1.2,14,22,40,17,0.175246009216639,0.185565914796912,1737,3024,0.000256086945617031,0.00592263266820589,0.0178922866769324,0.0129679540639274,0.0104938161450225,17,3,44,247,157
5410,1793.88385556369,5398.63221531725,33505.8343224335,62864.9252066768,105346721.285248,37466228.4511269,142812949.736375,0.0311606488742604,0.0306550645061798,12,6,8,45,1.2,14,22,40,20,0.176120919472333,0.177082945899339,1746,2974,0,0.0057060207181539,0.0194565858612935,0.0111170868744878,0.0103133059643652,13,1,41,256,140
