"sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","hiv_prev_mse_male_norm","hiv_prev_mse_female_norm","hiv_prev_mse_male_norm_rank","hiv_prev_mse_female_norm_rank"
1,7739.08140632302,28501.6021413406,207354.368358989,38201.6711435056,45372628.0046356,344880870.267544,390253498.27218,0.0208637774207214,0.0663556225477612,6,6,8,35,1.2,14,22,40,17,0.00130235376174638,0.995650000135864,8,6271
2,7741.26863073511,28517.1375538673,201012.373379295,37178.679515294,45364327.3335903,343209433.088517,388573760.422107,0.0208656918816829,0.0661080699658005,6,6,8,35,1.2,14,22,40,20,0.00127844893221133,0.990102210370519,7,6269
3,8017.47023842531,29977.024031845,134075.783266388,23493.4797575982,49018701.0659067,325842106.427023,374860807.49293,0.0218590902799928,0.0650282265182582,6,6,8,35,1.2,14,22,60,17,0.0118025596518892,0.932457042300169,94,6224
4,8019.70861773742,29993.4746989186,129291.248589303,23293.7339383333,49027981.4566623,324333352.801877,373361334.258539,0.0218607345602786,0.0647965253937197,6,6,8,35,1.2,14,22,60,20,0.011829285943995,0.927449227453736,95,6218
5,8010.75337941363,29911.09326289,161578.42604848,26482.195492129,48756083.7372733,328752222.734832,377508306.472105,0.0216915179422847,0.0651180036915101,6,6,8,35,1.2,14,30,40,17,0.0110462566446179,0.94211622283714,85,6238
6,8013.12350955085,29928.3672761403,156353.527957633,25942.6291862273,48770410.0515555,327184516.827605,375954926.87916,0.0216933528910451,0.0648807442868781,6,6,8,35,1.2,14,30,40,20,0.0110875145259281,0.936912735146237,86,6232
7,8288.76985614939,31403.0901030496,101756.634782643,19476.5809343723,52545004.6085345,310797465.622238,363342470.230773,0.0226333117259374,0.0638271698898362,6,6,8,35,1.2,14,30,60,17,0.0219578452444997,0.882521271259903,256,6114
8,8291.16695333705,31421.0479033317,97899.1244662156,19627.5816373919,52572718.7752956,309382436.912004,361955155.687299,0.0226348874951132,0.0636050409692473,6,6,8,35,1.2,14,30,60,20,0.0220376583618386,0.877824545654651,258,6099
9,5250.28695889458,17985.0489199327,217467.22768095,41685.1495201098,45011584.2754785,346191437.504085,391203021.779563,0.0207922646631334,0.0664594077277245,6,6,8,35,1.2,17,22,40,17,0.000262595800842295,1,4,6272
10,5250.94580572225,17987.1579214877,211059.374100047,40578.4254275794,45000544.7705132,344541443.694973,389541988.465486,0.0207941314832164,0.0662152170759797,6,6,8,35,1.2,17,22,40,20,0.00023080349358105,0.994523384496925,3,6270
11,5499.06629379975,19181.4000143836,142960.4625223,25378.2733982309,48554716.4633569,326925347.43327,375480063.896627,0.0217673158726696,0.0651061017282342,6,6,8,35,1.2,17,22,60,17,0.0104663456554174,0.936052506995622,78,6230
12,5499.9587934068,19186.084620547,138095.894744741,25086.0056589668,48561409.0351134,325438103.313099,373999512.348213,0.0217689191978858,0.0648776410305575,6,6,8,35,1.2,17,22,60,20,0.0104856193727009,0.931116085925189,80,6222
13,5492.69955784896,19129.7353952405,171006.638944,28984.9435856222,48291490.8339336,329791083.510716,378082574.344649,0.0216014432063773,0.0651959477966378,6,6,8,35,1.2,17,30,40,17,0.00970829082270832,0.945564381854054,62,6243
14,5493.65155622995,19134.6219183056,165706.27790582,28355.7640385375,48302934.5702997,328246018.760642,376548953.330942,0.0216032324255663,0.0649620311983104,6,6,8,35,1.2,17,30,40,20,0.0097412472626856,0.940436044088919,64,6234
15,5747.68017868633,20384.0393757657,109936.841574145,20292.4867177375,51958683.5102077,312161416.813399,364120100.323607,0.0225239805868101,0.0639293420834244,6,6,8,35,1.2,17,30,60,17,0.020269318397476,0.887048461724314,225,6130
