"sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","hiv_prev_mse_male_norm","hiv_prev_mse_female_norm","hiv_prev_mse_male_norm_rank","hiv_prev_mse_female_norm_rank","tb_mort_mse_male_neg_norm","tb_mort_mse_female_neg_norm","tb_mort_mse_male_pos_norm","tb_mort_mse_female_pos_norm","tb_mort_mse_overall_norm","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female"
551,1814.84123289581,6496.6705855164,54827.8944604026,191676.166942609,129806768.120325,147822577.595479,277629345.715804,0.0340365540349561,0.0492323403103789,6,10,8,45,1.2,14,30,60,17,0.24446145684972,0.341579363811449,2672,3640,0.00659714151081917,0.0157102822447951,0.0472458778663808,0.0263014857340426,0.0265256938312499,21,21,75,27,25
552,1809.34652996972,6438.42700826275,59841.4434218703,198286.625293649,130183025.196858,146173569.558023,276356594.754882,0.0340394762156844,0.048882448406353,6,10,8,45,1.2,14,30,60,20,0.245545027229366,0.336106020255398,2682,3611,0.00632486461646785,0.0155070474828041,0.0529310817550965,0.0318927853430751,0.0298135425493059,31,19,73,29,29
559,1761.06227147981,12645.2443085595,47460.256043405,177140.835741892,128169602.643542,149379580.46342,277549183.106962,0.0338990022059671,0.0493981150349589,6,10,8,45,1.2,17,30,60,17,0.239746637839357,0.346747326259433,2615,3684,0.0353404748866098,0.0137211384147238,0.0347450319223037,0.018084816441081,0.0256612771692821,19,68,64,17,13
560,1749.31557252138,12531.7858339047,52072.8473699826,183487.19883452,128536489.54665,147740804.978333,276277294.524983,0.0339018698312363,0.0490520566057367,6,10,8,45,1.2,17,30,60,20,0.24080322336474,0.341307946318658,2629,3638,0.0348100795610907,0.0132866585894976,0.0402031055107615,0.0232289529158886,0.0286489651581127,25,66,60,23,21
567,1816.77101269181,6502.99125486883,54613.8876336932,190850.475066752,130599986.37775,144648180.691639,275248167.069389,0.0340399347364134,0.0484928455792696,6,10,8,45,1.5,14,30,60,17,0.246745820020402,0.331042990159333,2694,3573,0.0066266893563096,0.0157816597774499,0.0465357566593143,0.0260628172188437,0.0262612419901993,20,22,76,26,24
568,1811.25773678316,6444.67446482747,59597.3262645575,197438.535676508,130985688.129527,143018841.18524,274004529.314767,0.0340428566739713,0.0481431333351333,6,10,8,45,1.5,14,30,60,20,0.247856589809649,0.325634929867689,2705,3544,0.00635407020704531,0.0155777380491677,0.0522016977799913,0.0316205366472448,0.0295330319794134,29,20,74,28,28
575,1764.22840389862,12658.5318181355,47165.7504390442,176324.128175632,129162380.151965,145467754.767766,274630134.919731,0.0339023753923612,0.0485897349246599,6,10,8,45,1.5,17,30,60,17,0.242605705133502,0.333763298603187,2648,3595,0.0354025912951755,0.0138382454134504,0.0340426375065044,0.017756372641454,0.0253878703861127,18,69,65,16,12
576,1753.41476167332,12544.0719813197,51842.4912889342,182664.366666102,129329170.480186,144564816.324865,273893986.80505,0.0339052427796281,0.0483119346091445,6,10,8,45,1.5,17,30,60,20,0.243086039114027,0.330766289373574,2656,3572,0.0348675148049311,0.0134382769286248,0.0394954437428124,0.0229720510932869,0.028401406797541,24,67,62,22,18
679,1572.81160730971,9866.45588583768,134977.631193375,328078.907763582,136128124.100122,139315055.450332,275443179.550454,0.0346912152852382,0.0480139986254785,6,11,8,45,1.2,14,30,60,17,0.262666122027113,0.313341422907939,2835,3472,0.0223502033841726,0.00675823624478004,0.16455656214365,0.115687506515604,0.0898949085235665,83,49,33,105,122
680,1563.99615753928,9774.10026102119,144317.202232932,337604.258348412,136575549.790386,137531059.639321,274106609.429707,0.034694541918311,0.0476257740088208,6,11,8,45,1.2,14,30,60,20,0.263954648556714,0.307420031529349,2843,3442,0.0219184595956447,0.00643217569882576,0.172748665823985,0.126103349724347,0.0953257317233937,89,47,28,114,133
687,2855.89919277274,24776.6176828354,120949.401752815,306907.386984888,134642108.269643,140140484.408787,274782592.67843,0.0345458793043431,0.0481091606734906,6,11,8,45,1.2,17,30,60,17,0.258386593911843,0.31608116472127,2799,3489,0.0920521815213028,0.0542163069635945,0.146348382639407,0.100042693950841,0.103171020674054,96,161,167,86,100
688,2839.04197143519,24612.0530004509,129782.718089952,316099.182373193,135078701.877348,138372777.183792,273451479.06114,0.034549147152675,0.0477251460735713,6,11,8,45,1.2,17,30,60,20,0.259643925483148,0.310213837983532,2807,3456,0.0912828750543523,0.0535928022150302,0.154253618269195,0.109893942749225,0.108219403759402,104,157,161,96,114
695,1575.97269987265,9876.11724212146,134597.527261952,326912.062499853,136967214.756932,136252874.47964,273220089.236571,0.0346945851235743,0.0472807043603803,6,11,8,45,1.5,14,30,60,17,0.265082591612045,0.303177513392219,2852,3420,0.0223953682625714,0.00687515683235364,0.163553038200437,0.115263600220983,0.0894990965454107,81,50,34,103,121
