"sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","hiv_prev_mse_male_norm","hiv_prev_mse_female_norm","hiv_prev_mse_male_norm_rank","hiv_prev_mse_female_norm_rank","tb_mort_mse_male_neg_norm","tb_mort_mse_female_neg_norm","tb_mort_mse_male_pos_norm","tb_mort_mse_female_pos_norm","tb_mort_mse_overall_norm","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female"
1343,1570.62756640931,9457.27216322154,31244.1490510264,136741.126087886,126671379.74736,150000332.169796,276671711.917156,0.0336707954703011,0.0491763751245254,7,9,8,45,1.5,17,30,60,17,0.235431954997057,0.348807708789309,2568,3695,0.0204373525864299,0.00667745425555476,0,0,0.00542296136839694,1,44,31,1,1
1344,1560.90114248063,9363.61402903232,34282.1663510004,142005.706489108,127019104.261253,148437658.175663,275456762.436915,0.0336735096204952,0.0488461122210797,7,9,8,45,1.5,17,30,60,20,0.23643335538799,0.343620922890321,2579,3659,0.019999519831125,0.0063176991461778,0.00452770615592421,0.00338811190877566,0.00763818921487053,3,41,27,4,2
3768,2035.97731846577,5623.25314064061,36233.0763038284,140952.424634712,127790845.530373,148770476.596737,276561322.12711,0.0337467914299467,0.0489688304798351,10,7,8,45,1.5,14,30,60,20,0.238655867686428,0.344725604928821,2603,3666,0.00251409234769212,0.0238895305723157,0.00362185034736535,0.0055638405473789,0.00803643185242485,4,8,97,3,4
5439,1462.75990888955,8744.54883480519,36200.1726649544,140559.065689403,128085817.255057,150047654.200489,278133471.455546,0.0337618698074613,0.0492259921037085,12,6,8,45,1.5,17,30,60,17,0.239505347054753,0.348964778813148,2612,3696,0.0171055157806682,0.0026877103153558,0.00328354917568034,0.00552714516361265,0.00660185352099271,2,40,13,2,3
4648,1579.14925063166,5475.25403182409,67748.7914875843,207795.357818855,131049505.900257,146393602.715176,277443108.615433,0.0341466393733813,0.0489634181946999,11,7,8,45,1.2,14,30,60,20,0.248040376508614,0.336836348449965,2708,3615,0.00182222657269289,0.00699264917837193,0.0611088933769721,0.0407113592690726,0.0323090509440264,33,4,35,36,37
5416,1781.76870191829,5085.45601237353,47675.3422078351,165088.957049326,128750078.944098,150140804.300841,278890883.244939,0.0339190604843515,0.0494864985552237,12,6,8,45,1.2,14,30,60,20,0.241418332445515,0.349273960145152,2638,3699,0,0.0144870153908688,0.0243800339190219,0.0183246886745685,0.0157088198562509,11,1,70,13,15
5431,1787.10940173791,5132.89427217117,44356.3381646335,159048.212376055,129175641.350628,148487749.726111,277663391.076738,0.0339196964486231,0.0490757506480731,12,6,8,45,1.5,14,30,60,17,0.242643895623372,0.343787185430363,2649,3660,0.000221764229811671,0.0146845539787244,0.0191848018664946,0.0146232097119101,0.0131236671152286,7,3,72,9,10
5432,1783.26061276685,5091.15754562424,47509.9551493227,164402.487998632,129527558.704398,146925588.012737,276453146.717135,0.0339224919521142,0.0487440699554139,12,6,8,45,1.5,14,30,60,20,0.243657370835964,0.338602099880025,2660,3627,2.66535099618517e-05,0.0145421972906543,0.0237896487582297,0.0181402427655515,0.0154927376172576,10,2,71,12,14
5543,1396.91895926952,7235.27667172095,108533.043266574,281375.770040079,135130996.146037,143142497.850881,278273493.996918,0.0345608779828319,0.0486666706119199,12,7,8,45,1.2,14,30,60,17,0.259794526027592,0.326045367778649,2809,3545,0.0100499749524353,0.000252424931362571,0.12439038211483,0.086195500897918,0.0652362448805839,56,29,3,71,84
5544,1390.09433933055,7163.11647593724,115682.404531173,289474.778054198,135542383.504561,141424101.427953,276966484.932514,0.0345640846828877,0.0482964143929553,12,7,8,45,1.2,14,30,60,20,0.260979266950912,0.320341712141722,2819,3514,0.00971264069293047,0,0.131355785935787,0.0941687392468026,0.0695998856933628,61,27,1,77,90
5559,1399.64272808413,7244.71859808549,108243.812268771,280393.678805145,135945411.349359,140030962.165419,275976373.514778,0.0345643121207425,0.0479310967777245,12,7,8,45,1.5,14,30,60,17,0.262139933585597,0.315717641408244,2827,3486,0.0100941140405279,0.000353170051563248,0.123545752497423,0.0858729395392148,0.0649150644294097,54,30,4,70,82
5560,1392.79575674128,7172.45882701132,115360.416759129,288468.619726029,136366720.050309,138333222.345782,274699942.396092,0.0345675185499631,0.0475610207507296,12,7,8,45,1.5,14,30,60,20,0.263353246656658,0.310082548618765,2837,3454,0.00975631428676404,9.99183999377558e-05,0.130490457854706,0.093809646293332,0.0692612777817516,60,28,2,76,89
