"","year","TB_compartment","DR_compartment","HIV_compartment","G_compartment","prop_of_pop"
"1",1990,1,1,1,1,0.249531747132592
"2",1990,1,1,1,2,0.261140170093081
"3",1990,1,1,2,1,0.000401273448522406
"4",1990,1,1,2,2,0.00322867407148122
"5",1990,1,1,3,1,0
"6",1990,1,1,3,2,0
"7",1990,1,1,4,1,0
"8",1990,1,1,4,2,0
"9",1990,1,2,1,1,0
"10",1990,1,2,1,2,0
"11",1990,1,2,2,1,0
"12",1990,1,2,2,2,0
"13",1990,1,2,3,1,0
"14",1990,1,2,3,2,0
"15",1990,1,2,4,1,0
"16",1990,1,2,4,2,0
"17",1990,2,1,1,1,0
"18",1990,2,1,1,2,0
"19",1990,2,1,2,1,0
"20",1990,2,1,2,2,0
"21",1990,2,1,3,1,0
"22",1990,2,1,3,2,0
"23",1990,2,1,4,1,0
"24",1990,2,1,4,2,0
"25",1990,2,2,1,1,0
"26",1990,2,2,1,2,0
"27",1990,2,2,2,1,0
"28",1990,2,2,2,2,0
"29",1990,2,2,3,1,0
"30",1990,2,2,3,2,0
"31",1990,2,2,4,1,0
"32",1990,2,2,4,2,0
"33",1990,3,1,1,1,0.220318845620216
"34",1990,3,1,1,2,0.234671335322066
"35",1990,3,1,2,1,0.000354296012320719
"36",1990,3,1,2,2,0.00290141978311557
"37",1990,3,1,3,1,0
"38",1990,3,1,3,2,0
"39",1990,3,1,4,1,0
"40",1990,3,1,4,2,0
"41",1990,3,2,1,1,0.00822767473270516
"42",1990,3,2,1,2,0.00876365982530539
"43",1990,3,2,2,1,1.32309714144667e-05
"44",1990,3,2,2,2,0.000108351776132947
"45",1990,3,2,3,1,0
"46",1990,3,2,3,2,0
"47",1990,3,2,4,1,0
"48",1990,3,2,4,2,0
"49",1990,4,1,1,1,0
"50",1990,4,1,1,2,0
"51",1990,4,1,2,1,0
"52",1990,4,1,2,2,0
"53",1990,4,1,3,1,0
"54",1990,4,1,3,2,0
"55",1990,4,1,4,1,0
"56",1990,4,1,4,2,0
"57",1990,4,2,1,1,0
"58",1990,4,2,1,2,0
"59",1990,4,2,2,1,0
"60",1990,4,2,2,2,0
"61",1990,4,2,3,1,0
"62",1990,4,2,3,2,0
"63",1990,4,2,4,1,0
"64",1990,4,2,4,2,0
"65",1990,5,1,1,1,0
"66",1990,5,1,1,2,0
"67",1990,5,1,2,1,0
"68",1990,5,1,2,2,0
"69",1990,5,1,3,1,0
"70",1990,5,1,3,2,0
"71",1990,5,1,4,1,0
"72",1990,5,1,4,2,0
"73",1990,5,2,1,1,0
"74",1990,5,2,1,2,0
"75",1990,5,2,2,1,0
"76",1990,5,2,2,2,0
"77",1990,5,2,3,1,0
"78",1990,5,2,3,2,0
"79",1990,5,2,4,1,0
"80",1990,5,2,4,2,0
"81",1990,6,1,1,1,0.000912085644509847
"82",1990,6,1,1,2,0.00234397324278752
"83",1990,6,1,2,1,0.000757799354580646
"84",1990,6,1,2,2,0.00630253655200612
"85",1990,6,1,3,1,0
"86",1990,6,1,3,2,0
"87",1990,6,1,4,1,0
"88",1990,6,1,4,2,0
"89",1990,6,2,1,1,3.63768116744065e-06
"90",1990,6,2,1,2,9.43435450633214e-06
"91",1990,6,2,2,1,1.0516627949864e-06
"92",1990,6,2,2,2,8.80271869309397e-06
"93",1990,6,2,3,1,0
"94",1990,6,2,3,2,0
"95",1990,6,2,4,1,0
"96",1990,6,2,4,2,0
"97",1990,7,1,1,1,0
"98",1990,7,1,1,2,0
"99",1990,7,1,2,1,0
"100",1990,7,1,2,2,0
"101",1990,7,1,3,1,0
"102",1990,7,1,3,2,0
"103",1990,7,1,4,1,0
"104",1990,7,1,4,2,0
"105",1990,7,2,1,1,0
"106",1990,7,2,1,2,0
"107",1990,7,2,2,1,0
"108",1990,7,2,2,2,0
"109",1990,7,2,3,1,0
"110",1990,7,2,3,2,0
"111",1990,7,2,4,1,0
"112",1990,7,2,4,2,0
"113",1990,8,1,1,1,0
"114",1990,8,1,1,2,0
"115",1990,8,1,2,1,0
"116",1990,8,1,2,2,0
"117",1990,8,1,3,1,0
"118",1990,8,1,3,2,0
"119",1990,8,1,4,1,0
"120",1990,8,1,4,2,0
"121",1990,8,2,1,1,0
"122",1990,8,2,1,2,0
"123",1990,8,2,2,1,0
"124",1990,8,2,2,2,0
"125",1990,8,2,3,1,0
"126",1990,8,2,3,2,0
"127",1990,8,2,4,1,0
"128",1990,8,2,4,2,0
"129",1991,1,1,1,1,0.248901020091435
"130",1991,1,1,1,2,0.254789720852746
"131",1991,1,1,2,1,0.000648107577821019
"132",1991,1,1,2,2,0.00514539204347155
"133",1991,1,1,3,1,0
"134",1991,1,1,3,2,0
"135",1991,1,1,4,1,0
"136",1991,1,1,4,2,0
"137",1991,1,2,1,1,0
"138",1991,1,2,1,2,0
"139",1991,1,2,2,1,0
"140",1991,1,2,2,2,0
"141",1991,1,2,3,1,0
"142",1991,1,2,3,2,0
"143",1991,1,2,4,1,0
"144",1991,1,2,4,2,0
"145",1991,2,1,1,1,0
"146",1991,2,1,1,2,0
"147",1991,2,1,2,1,0
"148",1991,2,1,2,2,0
"149",1991,2,1,3,1,0
"150",1991,2,1,3,2,0
"151",1991,2,1,4,1,0
"152",1991,2,1,4,2,0
