"year","sex","val_prev_rate","upper_prev_rate","lower_prev_rate"
1990,"Female",1331.5491710291,1940.80321897759,884.846120276111
1990,"Male",848.314827447499,1281.8830978302,548.777535814781
1991,"Female",2153.37233868328,3107.09032811117,1450.21833129262
1991,"Male",1368.75918254432,2053.16071883214,883.529231066235
1992,"Female",3393.59228610812,4869.86749487892,2296.74055363096
1992,"Male",2148.29626109567,3267.11066645231,1382.28035483694
1993,"Female",5143.59396309249,7400.83924679029,3488.91459512586
1993,"Male",3246.38639584887,4975.38520490912,2077.84763134181
1994,"Female",7420.42705442273,10547.4794558418,5084.20121909145
1994,"Male",4675.58076068066,7200.14166684523,2981.5049853882
1995,"Female",10129.4633164028,14132.7256684593,7051.29682059452
1995,"Male",6380.38864663056,9675.00044557018,4088.79217257408
1996,"Female",13083.170293897,17779.066226445,9333.44783402462
1996,"Male",8247.95245680979,12302.8555069688,5407.93644861691
1997,"Female",16034.7368431637,21133.8831305161,11757.0477464304
1997,"Male",10124.720943656,14847.8530755846,6784.75919447624
1998,"Female",18748.1320898646,24181.147760145,14096.7664444287
1998,"Male",11862.2174159198,17081.6979165566,8072.6665862951
1999,"Female",21072.6569475136,26526.2613421729,16155.9494079186
1999,"Male",13363.7235394105,18859.8254002225,9221.95369689974
2000,"Female",22938.5473116111,28463.2126074882,17859.0445960634
2000,"Male",14599.3808650549,20344.6251428545,10176.2480395021
2001,"Female",24356.7709182507,29968.7449649682,19168.9297657919
2001,"Male",15548.9275780927,21511.7061269556,10914.47967197
2002,"Female",25373.7821026984,31001.0923408664,20093.4607407404
2002,"Male",16233.3872979054,22328.4515469829,11526.8271401574
2003,"Female",26077.449698513,31725.5467559252,20780.1727124815
2003,"Male",16688.4914761872,22806.3541283718,11925.4431917493
2004,"Female",26552.4296414495,32209.8134068591,21270.6009503661
2004,"Male",16978.7319514367,23112.1460199081,12171.0272832375
2005,"Female",26847.9334405472,32490.7608393386,21508.9213138921
2005,"Male",17175.340220202,23232.0250026746,12401.4756494189
2006,"Female",27042.9656478489,32593.5120899875,21727.6148608584
2006,"Male",17330.206396811,23279.2024645168,12626.3050257908
2007,"Female",27205.6305606499,32694.6915091868,22009.1272587643
2007,"Male",17477.6454799073,23278.8030810871,12792.4241229447
2008,"Female",27493.5600236972,32911.5958825425,22292.0036196004
2008,"Male",17676.012584304,23504.0560078031,13063.6771990123
2009,"Female",28056.8382050317,33378.0753750577,23000.1072850559
2009,"Male",17955.7634793657,23679.9766681403,13489.7434965026
2010,"Female",28827.6539353299,34028.0784993205,23798.6723550248
2010,"Male",18328.3937901489,24064.1780072044,13835.0238945294
2011,"Female",29585.9630969874,34602.9588041387,24776.8790064248
2011,"Male",18828.0588782067,24581.8517162613,14324.8557188884
2012,"Female",30498.2827395603,35465.5705111339,25636.1516713127
2012,"Male",19405.6012431962,25045.0568131533,14890.0199855757
2013,"Female",31501.7629128706,36436.577577965,26679.0116141424
2013,"Male",20036.6250131186,25566.9789879096,15510.9761987744
2014,"Female",32425.6276991486,37268.0460831166,27677.3882593431
2014,"Male",20639.9965345757,26081.4497723115,16132.1243975243
2015,"Female",33276.7424267952,38174.5441574697,28496.238981951
2015,"Male",21198.2898913125,26635.7033745647,16708.0747936756
2016,"Female",34039.885240965,39019.6875097484,29157.0498756523
2016,"Male",21683.4624557077,27139.7440142784,17160.5105353598
2017,"Female",34706.6721372979,39800.1067638573,29700.8291372831
2017,"Male",22065.5268024552,27565.1994981302,17516.1321925894
2018,"Female",35248.2787707896,40569.3376338955,30097.3745753679
2018,"Male",22360.6516695506,27963.9190535873,17742.3546714311
2019,"Female",35544.8136837367,41125.12800767,30222.0097984205
2019,"Male",22502.328126372,28232.1801397186,17746.6959478873
