year,sex,TB_HIV_coinfection,val_rate,upper_rate,lower_rate
1990,Female,no,650.6269241,988.4776624,366.4764059
1990,Female,yes,259.2531899,302.6510458,223.0450401
1990,Male,no,451.672276,683.7581502,257.9823655
1990,Male,yes,166.0435525,193.7747984,142.8634485
1991,Female,no,581.1840899,916.0530331,294.0029297
1991,Female,yes,334.2246305,389.3857416,290.3530723
1991,Male,no,396.7181137,619.4869425,214.3086201
1991,Male,yes,214.4503207,248.2350007,184.446659
1992,Female,no,519.4009911,860.1168403,226.2176105
1992,Female,yes,414.3401413,484.0396967,360.3510508
1992,Male,no,346.4739032,565.0341381,173.9462048
1992,Male,yes,265.1543329,308.3663516,227.1869766
1993,Female,no,468.6684076,820.9466233,169.795676
1993,Female,yes,498.5607312,586.1202056,430.4197292
1993,Male,no,303.78484,520.147537,139.1483774
1993,Male,yes,317.6111048,372.9407229,269.3946812
1994,Female,no,432.4337403,802.0450113,128.7156012
1994,Female,yes,585.8893159,691.7093826,500.0806845
1994,Male,no,271.5450669,488.9632415,114.0588036
1994,Male,yes,371.2434383,440.6630412,307.8469837
1995,Female,no,414.2115912,799.6984458,104.4789446
1995,Female,yes,675.3226424,805.453497,567.5203604
1995,Male,no,252.6798066,475.9163281,99.68730617
1995,Male,yes,425.4198375,512.5300744,340.6918565
1996,Female,no,409.5532646,801.1481088,109.9616936
1996,Female,yes,774.3425215,921.7728647,646.8267494
1996,Male,no,242.87596,460.6249363,97.32352451
1996,Male,yes,483.2765481,584.6390836,383.2221661
1997,Female,no,411.29699,822.366229,116.8274797
1997,Female,yes,885.6804792,1060.420236,732.4538414
1997,Male,no,235.6478805,448.7101368,96.13156263
1997,Male,yes,546.0048602,668.7747335,427.0488612
1998,Female,no,418.5599038,856.751019,125.927701
1998,Female,yes,1000.286035,1209.916538,817.0319648
1998,Male,no,230.9896448,450.4239891,95.27569445
1998,Male,yes,609.4001098,760.2200834,469.760446
1999,Female,no,430.1561842,905.3271315,134.2594231
1999,Female,yes,1109.11579,1365.203635,890.1991244
1999,Male,no,228.9535957,458.0359636,95.51420089
1999,Male,yes,669.6405505,853.9548063,505.7637761
2000,Female,no,444.7762151,968.3345976,141.2716055
2000,Female,yes,1203.511257,1494.353903,946.1957276
2000,Male,no,229.4162676,474.4063875,96.21821175
2000,Male,yes,723.1773961,938.3259832,530.3449831
2001,Female,no,469.5840157,1012.578122,155.0443411
2001,Female,yes,1298.335698,1615.557366,1015.539919
2001,Male,no,232.6159244,472.7753329,101.1080411
2001,Male,yes,778.3390898,1008.02414,573.8639102
