year,sex,TB_HIV_coinfection,val_rate,upper_rate,lower_rate
1990,Female,no,54.30969959,85.34791988,33.68309114
1990,Female,yes,8.673414952,17.69356548,3.597348637
1990,Male,no,91.53682268,133.5628477,59.36570456
1990,Male,yes,6.238343523,13.42851448,2.370906391
1991,Female,no,46.61312059,73.68530802,28.89483097
1991,Female,yes,15.50489849,30.83486734,6.603514098
1991,Male,no,90.47406753,132.6692902,58.81917375
1991,Male,yes,11.13158218,23.16675671,4.361222202
1992,Female,no,47.52034781,75.76355863,29.40716144
1992,Female,yes,26.58275019,51.26135968,11.63703307
1992,Male,no,83.3596677,122.1549984,54.93325154
1992,Male,yes,19.11269515,37.93341917,7.726661675
1993,Female,no,35.12450935,55.59241988,21.58886922
1993,Female,yes,43.01773114,77.3287066,19.61636517
1993,Male,no,85.83124628,125.3738563,57.28968828
1993,Male,yes,30.97720471,57.73268836,13.28603158
1994,Female,no,31.41981484,50.2208244,18.74573475
1994,Female,yes,65.31732625,111.9853202,31.6778272
1994,Male,no,88.48970637,127.3826174,60.28753984
1994,Male,yes,47.23402776,82.84891397,21.71434054
1995,Female,no,26.7278713,44.31107983,14.72005208
1995,Female,yes,92.36269404,149.8754377,48.02903023
1995,Male,no,91.61217242,129.2584487,64.09439585
1995,Male,yes,67.35106408,112.3434332,33.60011003
1996,Female,no,19.88670193,35.17500053,8.786633692
1996,Female,yes,118.210444,189.66292,65.27122903
1996,Male,no,82.01268303,115.5679483,57.20312626
1996,Male,yes,87.69289341,142.5154999,47.33492651
1997,Female,no,26.81432955,45.22767452,12.09628671
1997,Female,yes,162.147168,258.2660892,89.59569148
1997,Male,no,101.0865687,138.1103579,72.78553671
1997,Male,yes,120.8656318,196.4642736,65.74500041
1998,Female,no,31.21595421,53.90019949,12.48194687
1998,Female,yes,215.4400985,344.4409167,119.8628452
1998,Male,no,127.9050726,172.5279604,93.07917831
1998,Male,yes,160.7701444,262.9277867,87.38294641
1999,Female,no,35.47052904,63.18498269,12.02173407
1999,Female,yes,258.1556083,419.0986135,143.0784849
1999,Male,no,120.8186466,167.3416769,83.70376981
1999,Male,yes,192.507506,319.8830297,105.0870922
2000,Female,no,45.10750589,79.66849422,15.87109317
2000,Female,yes,309.3956521,508.9605688,167.7966093
2000,Male,no,128.5342944,182.3407579,85.64689972
2000,Male,yes,229.9914283,386.8664022,123.0067646
2001,Female,no,54.64970881,98.87037426,18.7266471
2001,Female,yes,360.1830133,598.3066541,192.1660359
2001,Male,no,136.3105322,198.9201156,86.59259179
2001,Male,yes,266.9404394,454.7475582,140.6941209
2002,Female,no,69.89082498,123.6151672,26.93596125
2002,Female,yes,418.0224733,696.6225536,222.4490994
2002,Male,no,149.0971024,219.1976273,93.40610062
2002,Male,yes,307.3820114,520.4495435,162.2613223
2003,Female,no,83.69851578,145.7704986,32.81472673
2003,Female,yes,472.772076,788.2231579,253.3260343
2003,Male,no,161.6722066,239.3917039,100.7697324
2003,Male,yes,344.2724613,580.8555194,183.657202
2004,Female,no,91.34949909,160.1046531,36.20194084
2004,Female,yes,513.610151,852.4694473,274.7227996
2004,Male,no,169.3912947,251.4642118,103.1873614
2004,Male,yes,370.0982545,621.0228062,196.7420145
2005,Female,no,90.68031883,162.8656721,32.95157879
2005,Female,yes,536.9852725,880.5764005,287.0947943
2005,Male,no,175.1720855,260.5753658,107.1788815
2005,Male,yes,385.4658827,643.842067,203.8712615
2006,Female,no,87.10411872,158.6094693,28.96546771
2006,Female,yes,544.2934116,880.2657081,293.7874942
2006,Male,no,182.3886518,270.8440411,112.1929343
2006,Male,yes,392.1680962,648.7930732,209.5023819
2007,Female,no,73.73234736,140.2788612,20.43034185
2007,Female,yes,509.5372809,818.6191742,273.9735176
2007,Male,no,167.9398255,249.1714477,102.3858223
2007,Male,yes,372.7771283,611.0177458,197.606518
2008,Female,no,64.90453343,124.065568,16.24046584
2008,Female,yes,461.354501,734.2350456,248.6291526
2008,Male,no,158.0669948,232.4142155,98.67638762
2008,Male,yes,345.2313394,561.1885546,183.3279442
2009,Female,no,55.03341269,106.0542245,13.0372833
2009,Female,yes,407.0078956,651.7108485,220.0259855
2009,Male,no,144.7050049,211.6272644,91.18598976
