"","sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","tb_mort_mse_total","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_calib_id","b2_calib_id","mh2_calib_id","mh3_calib_id","mh4_calib_id","mtb_calib_id","mtbh2_calib_id","mtbh3_calib_id","mtbh4_calib_id","norm_hiv_prev_mse","norm_tb_mort_mse","norm_hiv_prev_tb_mort_mse","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female","hivprev_rank_total","hivprev_male","hivprev_female","hiv_tb_rank"
"1",1,13439.7931795051,64345.9013050798,417444.464114045,183250.961012418,678481.119611048,545368281.942776,88383698.158713,633751980.101489,0.0583759750989242,0.0304996279607176,6,6,10,50,1.5,15,30,70,25,0.714039193678103,0.576406922022919,1.29044611570102,4480,4235,4119,4158,4546,2810,2791,2844,4563
"2",2,13440.1268006428,64330.4169773168,423881.575348945,185144.876742984,686796.995869889,544288140.248087,87875205.1045613,632163345.352648,0.0583607383820312,0.030491650656211,6,6,10,50,1.5,15,30,70,20,0.710967866327888,0.581664577652325,1.29263244398021,4504,4233,4120,4178,4557,2772,2752,2811,4567
"3",3,13431.3104939847,64291.2243912083,430432.06091466,187158.643745911,695313.239545765,543720752.563034,87765866.7924491,631486619.355483,0.0583688148517749,0.0304834822028519,6,6,10,50,1.5,15,30,70,15,0.709658371540125,0.587016027600843,1.29667439914097,4514,4231,4117,4190,4570,2759,2734,2800,4572
"4",4,13233.7403974183,63173.9191964671,488693.554276153,211676.963728308,776778.177598347,538684645.370445,83876267.3432981,622560912.713743,0.0580797186670856,0.0298784435689499,6,6,10,50,1.5,15,30,50,25,0.692320624876497,0.636636678083359,1.32895730295986,4582,4189,4077,4308,4652,2548,2557,2526,4614
"5",5,13233.9656982557,63157.4118496362,496037.892980127,213918.213532304,786347.484060323,537570194.472646,83374606.3749526,620944800.847598,0.0580635802893411,0.0298697449426305,6,6,10,50,1.5,15,30,50,20,0.689168147991669,0.642290969922748,1.33145911791442,4600,4185,4078,4318,4660,2513,2522,2496,4618
"6",6,13230.7923165294,63126.7675221979,503701.422744758,216307.534227262,796366.516810747,536920040.970325,83071447.9327813,619991488.903106,0.0580541975033436,0.0298608482280916,6,6,10,50,1.5,15,30,50,15,0.687306641236222,0.648174248573857,1.33548088981008,4610,4183,4075,4336,4666,2499,2508,2476,4620
"7",7,13160.8235635013,62780.3082126922,473544.812513171,211345.352408677,760831.296698041,534666138.439386,83335347.2264087,618001485.665794,0.0578508425404966,0.0298382467415508,6,6,10,50,1.5,15,22,70,25,0.683416197617786,0.627136073657584,1.31055227127537,4562,4181,4073,4306,4630,2464,2452,2491,4593
"8",8,13150.9563954733,62744.7515741518,480272.232784503,213429.981110427,769597.921864555,534412341.350648,83366613.5271076,617778954.877755,0.0578609557618272,0.0298299862182066,6,6,10,50,1.5,15,22,70,20,0.68298076220941,0.632371116784445,1.31535187899385,4572,4179,4069,4316,4643,2457,2448,2494,4600
"9",9,13152.1159254972,62721.281083754,488187.012985019,215822.875515696,779883.285509966,533158622.235827,82762278.9628789,615920901.198706,0.057842977386258,0.0298215279848711,6,6,10,50,1.5,15,22,70,15,0.679341964477634,0.638475215596786,1.31781718007442,4584,4177,4070,4333,4650,2434,2429,2462,4603
"10",10,12949.8585039354,61603.7160604676,553593.866393792,244471.189360211,872618.630318406,526704399.640887,78383552.0959005,605087951.736787,0.0575021504995069,0.0291493825300823,6,6,10,50,1.5,15,22,50,25,0.658016628771882,0.691788831519355,1.34980546029124,4632,4137,4019,4411,4682,2366,2366,2367,4634
