"","sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","tb_mort_mse_total","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_calib_id","b2_calib_id","mh2_calib_id","mh3_calib_id","mh4_calib_id","mtb_calib_id","mtbh2_calib_id","mtbh3_calib_id","mtbh4_calib_id","norm_hiv_prev_mse","norm_tb_mort_mse","norm_hiv_prev_tb_mort_mse","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female","hivprev_rank_total","hivprev_male","hivprev_female","hiv_tb_rank"
"1",1,13848.071703973,63086.675684365,375245.779732407,184612.524614202,636793.051734947,613372334.815441,17046025.8743818,630418360.689822,0.0612862914104267,0.0181714134217192,6,6,10,50,1.5,15,30,70,25,0.625174739773253,0.508471445644738,1.13364618541799,4378,4235,4138,4172,4434,2767,2775,1824,4467
"2",2,13846.7827239615,63058.3321793103,381712.090761443,186514.280813914,645131.486478629,612173433.90636,17403310.6538664,629576744.560227,0.0612710318394315,0.0184502929095455,6,6,10,50,1.5,15,30,70,20,0.622067832755926,0.513380703691943,1.13544853644787,4397,4233,4136,4186,4447,2734,2727,1959,4474
"3",3,13845.7474268847,63024.3306826309,388462.478948607,188517.60906049,653850.166118613,611985439.216783,17569426.5636006,629554865.780384,0.0612530375583014,0.0186927105423297,6,6,10,50,1.5,15,30,70,15,0.621987037447094,0.5184800195929,1.14046705703999,4416,4231,4135,4206,4460,2733,2723,2007,4485
"4",4,13640.8618588143,61889.7371200635,446882.889138555,212924.712120407,735338.20023784,606993200.482031,17590524.4012511,624583724.883282,0.0610237100643138,0.0189006459959266,6,6,10,50,1.5,15,30,50,25,0.603592758411929,0.564586350802447,1.16817910921438,4516,4193,4079,4317,4568,2558,2563,2011,4531
"5",5,13637.5711793992,61859.6277585916,454138.616262776,215131.962228815,744767.777429582,606319118.022677,17859418.2986576,624178536.321335,0.0610145626485574,0.0191185172797415,6,6,10,50,1.5,15,30,50,20,0.602090253464237,0.569752991695536,1.17184324515977,4537,4191,4076,4328,4580,2544,2545,2092,4535
"6",6,13637.5236963627,61841.6417983536,462013.219296157,217528.750256038,755021.135046912,605076437.66065,18286104.1233646,623362541.784015,0.0609979033344179,0.0193704520525184,6,6,10,50,1.5,15,30,50,15,0.599062932573181,0.575334014958868,1.17439694753205,4548,4189,4075,4340,4590,2520,2515,2189,4537
"7",7,13561.0738720651,61487.8444051882,431877.83402986,212553.256479239,719480.008786352,602403316.394115,17800536.3753809,620203852.769495,0.060771999614238,0.0189531213559073,6,6,10,50,1.5,15,22,70,25,0.58732554778992,0.555822075663248,1.14314762345317,4488,4181,4072,4314,4544,2444,2457,2078,4495
"8",8,13559.9215826589,61459.873088364,439202.133639693,214726.14057773,728948.068888447,601181489.830229,18199795.5839523,619381285.414181,0.06075642606032,0.0192417150609512,6,6,10,50,1.5,15,22,70,20,0.584264064282768,0.561066225816174,1.14533029009894,4499,4179,4070,4326,4554,2427,2438,2168,4500
"9",9,13559.0360251159,61426.5178923171,446781.598225831,216998.799256921,738765.951400185,600966124.849905,18390500.1230277,619356624.972932,0.06073810831359,0.0194923572256443,6,6,10,50,1.5,15,22,70,15,0.584172250107108,0.566468290725836,1.15064054083294,4521,4177,4069,4336,4566,2425,2430,2212,4508
"10",10,13351.8977027158,60279.0673723099,512781.230368312,245455.467550209,831867.662993547,595644087.184494,18549756.8554856,614193844.03998,0.0604897594348726,0.0197238314229763,6,6,10,50,1.5,15,22,50,25,0.56491009846017,0.616010056398552,1.18092015485872,4586,4135,4025,4420,4624,2364,2371,2236,4549
