"","sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","tb_mort_mse_total","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_calib_id","b2_calib_id","mh2_calib_id","mh3_calib_id","mh4_calib_id","mtb_calib_id","mtbh2_calib_id","mtbh3_calib_id","mtbh4_calib_id","norm_hiv_prev_mse","norm_tb_mort_mse","norm_hiv_prev_tb_mort_mse","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female","hivprev_rank_total","hivprev_male","hivprev_female","hiv_tb_rank"
"1",1,13837.4533844343,62952.2751637856,371735.672844275,182901.217597022,631426.618989516,613631415.291603,16941571.2768994,630572986.568502,0.0612720139313474,0.0181476282025866,6,6,10,50,1.5,15,30,70,25,0.623534138153716,0.488496287374786,1.1120304255285,4346,4235,4139,4126,4404,2765,2764,1850,4446
"2",2,13834.0910386609,62921.2653256535,378339.303468754,184886.975648485,639981.635481553,612945967.03285,17204389.9068144,630150356.939664,0.0612633121907235,0.0183754447187461,6,6,10,50,1.5,15,30,70,20,0.621981305630913,0.493494096842483,1.1154754024734,4374,4233,4137,4144,4416,2751,2745,1942,4457
"3",3,13830.6267644721,62889.2883041077,385430.869452535,187031.610073549,649182.394594663,612225033.126155,17480092.0214859,629705125.147641,0.0612542563585854,0.018611472253796,6,6,10,50,1.5,15,30,70,15,0.620344864530423,0.498832006703432,1.11917687123385,4392,4231,4135,4161,4436,2733,2718,2031,4466
"4",4,13626.3120025318,61758.9819702058,442779.565906608,211030.478714427,729195.338593772,607325567.608595,17455974.9938421,624781542.602437,0.0610255736660039,0.0187814814812229,6,6,10,50,1.5,15,30,50,25,0.60220961215998,0.543743571232805,1.14595318339279,4490,4193,4079,4284,4548,2556,2563,2021,4512
"5",5,13620.4933269349,61730.6571392102,450360.920693533,213381.852788739,739093.923948417,606116457.359553,17837605.8143798,623954063.173933,0.061025490772892,0.0189941438799121,6,6,10,50,1.5,15,30,50,20,0.599154715306491,0.549124641806649,1.14827935711314,4513,4191,4077,4291,4564,2529,2531,2128,4513
"6",6,13616.9726531514,61697.9417229691,458541.401016466,215913.736276384,749770.05166897,605352687.135901,18142943.1301206,623495630.266022,0.061015626970503,0.0192406093905408,6,6,10,50,1.5,15,30,50,15,0.597461396072948,0.554888163615769,1.15234955968872,4524,4189,4075,4308,4573,2517,2515,2194,4521
"7",7,13551.0862368702,61356.0969163256,428037.988946172,210717.602558538,713662.774657905,602647453.260098,17698937.1573811,620346390.417479,0.0607577599569912,0.0189314796520503,6,6,10,50,1.5,15,22,70,25,0.585812143998707,0.535225592954731,1.12103773695344,4456,4179,4073,4281,4516,2439,2458,2084,4473
"8",8,13547.8312373921,61325.5465248073,435511.523441428,212980.317365987,723365.218569615,601936739.965723,17991939.5926024,619928679.558325,0.0607487164474175,0.0191685213734728,6,6,10,50,1.5,15,22,70,20,0.584264784113376,0.540557098941392,1.12482188305477,4472,4177,4071,4288,4528,2433,2439,2158,4483
"9",9,13544.4793881607,61294.0553711541,443525.249688565,215422.672472969,733786.456920848,601189356.513772,18299181.9458797,619488538.459652,0.0607393054303009,0.0194141273957984,6,6,10,50,1.5,15,22,70,15,0.582633769934281,0.546243907724543,1.12887767765882,4501,4174,4069,4304,4552,2426,2430,2218,4487
"10",10,13337.9409433709,60151.0873922114,508311.140275565,243428.345407994,825228.514019141,595962541.056833,18408709.3265182,614371250.383351,0.0604916247296486,0.0196063493489845,6,6,10,50,1.5,15,22,50,25,0.563628131473764,0.594506066777474,1.15813419825124,4565,4131,4025,4387,4608,2366,2372,2236,4528
"11",11,13332.1898938096,60123.0537375786,516907.11145673,246110.376004716,836472.731092834,594729589.325602,18828670.4281484,613558259.75375,0.0604911436674524,0.0198293838357165,6,6,10,50,1.5,15,22,50,20,0.560601403333264,0.600251914791019,1.16085331812428,4578,4127,4023,4392,4610,2361,2365,2287,4534
"12",12,13328.7968111766,60090.920786203,526133.765529493,248990.511205955,848543.994332828,593937880.579836,19169029.5688938,613106910.14873,0.0604808893578055,0.02008597307144,6,6,10,50,1.5,15,22,50,15,0.558920183029945,0.606377566478163,1.16529774950811,4586,4125,4021,4401,4622,2358,2360,2316,4544
"13",13,21091.351637107,97374.991439165,347077.08672215,170252.243927131,635795.673725553,615376845.811205,16802209.08498,632179054.896185,0.0613383757815703,0.0179928637749312,6,6,10,50,1.5,10,30,70,25,0.629430439007857,0.491052874682477,1.12048331369033,4366,4703,4697,4048,4320,2829,2828,1795,4471
"14",14,21087.2772263455,97341.7721369834,353624.914081609,172215.556616374,644269.520061311,614663463.604144,17072171.7142229,631735635.318367,0.0613293152197273,0.0182292313907844,6,6,10,50,1.5,10,30,70,20,0.627803277885707,0.495986496075502,1.12378977396121,4382,4701,4695,4068,4344,2806,2801,1895,4479
"15",15,21083.063768198,97307.4338614044,360679.013310101,174339.537502211,653409.048441915,613913125.998276,17355570.6467313,631268696.645007,0.0613198857292966,0.018474128256199,6,6,10,50,1.5,10,30,70,15,0.626089194278593,0.501271457385491,1.12736065166408,4400,4699,4693,4072,4368,2792,2776,1995,4485
"16",16,20892.600791397,96268.5542353036,418164.435019238,198171.529092924,733497.119138862,608400178.596335,17465866.439968,625866045.036303,0.0610842400734653,0.0187074360639279,6,6,10,50,1.5,10,30,50,25,0.606210327634331,0.546086564871216,1.15229689250555,4499,4691,4679,4218,4500,2589,2596,2024,4520
"17",17,20885.6783166828,96232.4116577738,425791.673011808,200529.741381618,743439.504367882,607358886.662518,17861565.2876634,625220451.950182,0.0610837813445533,0.0190706179224859,6,6,10,50,1.5,10,30,50,20,0.603829161014155,0.551475600021743,1.1553047610359,4518,4689,4677,4231,4514,2573,2565,2132,4525
"18",18,20881.307181076,96196.7520418517,434001.158114491,203061.051053811,754140.26839123,606564559.259753,18177694.2641798,624742253.523933,0.0610735126899492,0.0193267515813324,6,6,10,50,1.5,10,30,50,15,0.602064610108604,0.557235586655728,1.15930019676433,4528,4687,4675,4244,4526,2555,2542,2198,4530
"19",19,20827.727222977,95889.7601766094,403431.141653232,197953.364634588,718101.993687406,603947511.240437,17574560.3860897,621522071.626527,0.0608039889400611,0.0188065683763166,6,6,10,50,1.5,10,22,70,25,0.590164519886059,0.537669418270429,1.12783393815649,4465,4685,4673,4216,4478,2465,2483,2059,4486
"20",20,20823.6401399754,95856.2472604139,410892.762118409,200206.131808568,727778.781327366,603208118.962608,17876503.5450345,621084622.507643,0.0607945712870581,0.0190524834392875,6,6,10,50,1.5,10,22,70,20,0.588545563021986,0.542970521973295,1.13151608499528,4488,4683,4671,4228,4488,2453,2464,2137,4493
"21",21,20819.4140525169,95821.6100975148,418916.041869198,202641.441806848,738198.507826078,602430555.450902,18193325.1590128,620623880.609914,0.06078477067147,0.0193072934538312,6,6,10,50,1.5,10,22,70,15,0.586839785230656,0.548639363817939,1.1354791490486,4510,4681,4669,4242,4502,2448,2448,2202,4497
"22",22,20625.3157674627,94761.8978815125,484217.975823295,230676.915741362,830282.105213632,596584085.453772,18445972.6172386,615030058.071011,0.0605293736345352,0.0195637551028022,6,6,10,50,1.5,10,22,50,25,0.566079374705271,0.597093287775443,1.16317266248071,4572,4667,4661,4353,4594,2373,2377,2239,4539
"23",23,20618.3474078732,94725.341307634,492919.417085242,233383.007853202,841646.113653951,595515965.126354,18881471.6290592,614397436.755413,0.0605284988152481,0.0199377263787264,6,6,10,50,1.5,10,22,50,20,0.563725588877009,0.602882562264485,1.16660815114149,4580,4665,4659,4362,4598,2367,2371,2293,4545
"24",24,20613.9676589063,94689.402248101,502231.756254357,236279.896673326,853815.02283469,594692939.697971,19234807.375788,613927747.073759,0.0605178220562935,0.0202043511757773,6,6,10,50,1.5,10,22,50,15,0.561977236700691,0.609038715571749,1.17101595227244,4590,4663,4657,4366,4602,2363,2364,2321,4549
"25",25,13839.4366931339,62959.1826356392,371694.785968901,182839.484600329,631332.889898004,610776161.241551,17934707.8112239,628710869.052775,0.0612413250555888,0.0190028948217626,6,6,10,50,1.2,15,30,70,25,0.616688405175741,0.488441344297016,1.10512974947276,4345,4236,4140,4125,4403,2696,2666,2148,4430
"26",26,13836.0642829314,62928.1034667397,378309.340658485,184832.730376304,639906.23878446,610089568.294219,18211687.4069087,628301255.701128,0.0612326061934471,0.0192319683902997,6,6,10,50,1.2,15,30,70,20,0.615181177202436,0.49345019676783,1.10863137397027,4373,4234,4138,4142,4414,2676,2649,2206,4438
