sim_id,HIV_neg_female,HIV_neg_male,HIV_pos_female,HIV_pos_male,tb_mort_mse_total,hiv_prev_mse_male,hiv_prev_mse_female,hiv_prev_mse,max_perc_diff_male,max_perc_diff_female,b1_calib_id,b2_calib_id,mh2_calib_id,mh3_calib_id,mh4_calib_id,mtb_calib_id,mtbh2_calib_id,mtbh3_calib_id,mtbh4_calib_id,norm_hiv_prev_mse,norm_tb_mort_mse,norm_hiv_prev_tb_mort_mse,tbmort_rank_total,tbmort_HIV_neg_male,tbmort_HIV_neg_female,tbmort_HIV_pos_male,tbmort_HIV_pos_female,hivprev_rank_total,hivprev_male,hivprev_female,hiv_tb_rank
660,3601.127483,7983.617804,26734.99772,21233.03817,59552.78118,299533090,14766328.23,314299418.2,0.047450295,0.014653216,6,10.8,10,35,1.2,15,22,50,15,0.071665883,0.000746673,0.072412556,4,441,487,53,318,666,673,297,1
658,3592.762731,7959.824102,26663.45757,21803.10792,60019.15232,299988193.6,14603673.9,314591867.5,0.047455339,0.014425538,6,10.8,10,35,1.2,15,22,50,17,0.072515379,0.001958378,0.074473758,6,436,477,71,312,680,699,197,2
636,3608.178669,7989.0344,26726.87007,21188.36487,59512.44801,301430063.7,14110546.4,315540610.1,0.047467728,0.013703907,6,10.8,10,35,1.5,15,22,50,15,0.07526854,0.000641658,0.075910199,3,445,490,49,316,718,749,48,3
1908,3539.999036,7244.365636,22315.46459,26215.89548,59315.72474,301109811.2,14759522.07,315869333.3,0.047531603,0.014392447,7.6,10,10,35,1.2,15,22,50,15,0.076221498,0.000128944,0.076350443,2,310,404,422,96,732,740,291,4
634,3599.802809,7965.240954,26650.40426,21752.03787,59967.4859,301888089.5,13963693.8,315851783.3,0.047472768,0.013477363,6,10.8,10,35,1.5,15,22,50,17,0.076170634,0.001824373,0.077995007,5,438,485,69,311,731,768,27,5
659,3578.220478,7914.481105,26607.55262,22648.08914,60748.34334,301034951.5,14347778.68,315382730.2,0.047462304,0.013990044,6,10.8,10,35,1.2,15,22,50,20,0.074810675,0.003843535,0.07865421,10,423,455,120,310,709,737,102,6
1884,3547.841344,7250.929054,22303.92662,26163.60435,59266.30137,303010160.5,14125967.87,317136128.4,0.047549108,0.013444858,7.6,10,10,35,1.5,15,22,50,15,0.079889266,0,0.079889266,1,311,424,416,94,787,825,51,7
1906,3531.174066,7217.48534,22645.25657,26957.76735,60351.68333,301578416.1,14598354.01,316176770.1,0.047536845,0.014158913,7.6,10,10,35,1.2,15,22,50,17,0.077112299,0.002819473,0.079931772,8,303,384,500,115,745,754,194,8
635,3585.206356,7919.842754,26586.05295,22587.00393,60678.10599,302937991.3,13742040.13,316680031.4,0.047479692,0.013044487,6,10.8,10,35,1.5,15,22,50,20,0.078569568,0.003662446,0.082232015,9,424,466,117,307,767,822,3,9
1882,3539.005828,7224.050862,22627.91602,26898.23725,60289.20996,303481730.6,13980967.59,317462698.2,0.047554347,0.013212489,7.6,10,10,35,1.5,15,22,50,17,0.0808336,0.002657879,0.083491479,7,304,402,498,113,801,843,30,11
