sim_id,HIV_neg_female,HIV_neg_male,HIV_pos_female,HIV_pos_male,tb_mort_mse_total,hiv_prev_mse_male,hiv_prev_mse_female,hiv_prev_mse,max_perc_diff_male,max_perc_diff_female,b1_contact,b2_contact,hiv2_mort,hiv3_mort,hiv4_mort,tb_hiv1_mort,tb_hiv2_mort,tb_hiv3_mort,tb_hiv4_mort,norm_hiv_prev_mse,norm_tb_mort_mse,norm_hiv_prev_tb_mort_mse,tbmort_rank_total,tbmort_HIV_neg_male,tbmort_HIV_neg_female,tbmort_HIV_pos_male,tbmort_HIV_pos_female,hivprev_rank_total,hivprev_male,hivprev_female,hiv_tb_rank
5616,3144.300794,6635.50633,37125.91947,30731.60281,77637.32941,655067399.2,161942409.8,817009809.1,0.06476435,0.037351657,12,7,12,45,1.2,17,30,60,20,0.876120828,0.024846098,0.900966926,562,1,80,1280,1292,5912,5908,5921,4712
5632,3151.763443,6643.031087,37114.14863,30700.71574,77609.65891,657693634.8,163685539.4,821379174.2,0.064777533,0.037375245,12,7,12,45,1.5,17,30,60,20,0.880822559,0.024810003,0.905632562,560,2,83,1274,1291,5944,5943,5948,4759
5615,3155.149774,6672.743077,37179.11241,30368.50652,77375.51178,654291717.5,161364904.7,815656622.1,0.064759024,0.037340774,12,7,12,45,1.2,17,30,60,17,0.87466216,0.024504309,0.899166469,549,3,86,1229,1295,5902,5891,5908,4698
5631,3162.617894,6680.238156,37171.99258,30343.02027,77357.8689,656918654.9,163095685,820014339.9,0.064772212,0.037364369,12,7,12,45,1.5,17,30,60,17,0.879355252,0.024481256,0.903836508,548,4,94,1227,1294,5935,5930,5936,4742
5736,3085.892767,6735.359363,39695.92118,60509.12116,110026.2945,668678798.9,171271202.5,839950001.4,0.065298633,0.038164604,12,8,12,45,1.2,14,30,60,20,0.900667862,0.063419279,0.964087141,1638,5,41,2740,1408,6069,6071,6067,5136
5752,3092.293689,6741.46402,39659.29617,60428.60397,109921.6578,671316737.3,173095134,844411871.3,0.065311923,0.038215837,12,8,12,45,1.5,14,30,60,20,0.905403158,0.063304604,0.968707763,1636,6,52,2735,1407,6102,6102,6100,5167
5735,3095.758576,6768.78508,36550.62857,58974.00343,105389.1757,667739492.7,170584938.5,838324431.1,0.065293118,0.03815171,12,8,12,45,1.2,14,30,60,17,0.898939551,0.058283836,0.957223387,1521,7,57,2690,1264,6059,6062,6054,5096
5751,3102.165333,6774.867808,36526.42054,58904.96952,105308.4232,670377553.1,172394430.3,842771983.4,0.065306411,0.038193984,12,8,12,45,1.5,14,30,60,17,0.903664234,0.058193415,0.961857649,1520,8,63,2687,1262,6091,6093,6088,5121
5584,3148.285942,6832.868495,24882.18417,38191.44097,73054.77957,487567768.7,63125715.26,550693484,0.057409391,0.024750898,12,7,12,35,1.2,17,30,60,20,0.560956121,0.018777964,0.579734085,299,9,82,1762,395,4296,4289,4302,3006
5600,3156.742079,6842.256057,24861.25166,38130.33969,72990.58948,490107024.3,63813932.29,553920956.6,0.057425806,0.024778777,12,7,12,35,1.5,17,30,60,20,0.565185778,0.018691633,0.583877412,294,10,87,1758,394,4327,4326,4324,3038
