F15Regions,DName2016,CName2016,SName2016,scode,SC,Sname,scode17,DNama2017,BCOUNTIES
ANKOLE,SHEEMA,SHEEMA,KYANGYENYI,"426105",SHEEMASHEEMAKYANGYENYI,KYANGYENYI,"426105",SHEEMA,
KIGEZI,RUKUNGIRI,RUJUMBURA,RUHINDA,"412205",RUKUNGIRIBUJUMBURARUHINDA,RUHINDA,"412205",RUKUNGIRI,
ANKOLE,SHEEMA,SHEEMA,BUGONGI TOWN COUNCIL,"426101",SHEEMASHEEMABUGONGI,BUGONGI TOWN COUNCIL,"426101",SHEEMA,
ANKOLE,SHEEMA,SHEEMA,KIGARAMA,"426103",SHEEMASHEEMAKIGARAMA,KIGARAMA,"426103",SHEEMA,
ANKOLE,SHEEMA,SHEEMA,KITAGATA,"426104",SHEEMASHEEMAKITAGATA,KITAGATA,"426104",SHEEMA,
ANKOLE,SHEEMA,SHEEMA,KAKINDO TOWN COUNCIL,"426110",SHEEMASHEEMAKAKINDO TOWN COUNCIL,KAKINDO TOWN COUNCIL,"426110",SHEEMA,
ANKOLE,SHEEMA,SHEEMA,MASHERUKA,"426106",SHEEMASHEEMAMASHERUKA,MASHERUKA,"426106",SHEEMA,
ANKOLE,SHEEMA,SHEEMA,RUGARAMA,"426107",SHEEMASHEEMARUGARAMA,RUGARAMA,"426107",SHEEMA,
ANKOLE,SHEEMA,SHEEMA,SHUUKU TOWN COUNCIL,"426109",SHEEMASHEEMASHUUKU TOWN COUNCIL,SHUUKU TOWN COUNCIL,"426109",SHEEMA,
ANKOLE,SHEEMA,SHEEMA MUNICIPALITY,KABWOHE DIVISION,"426201",SHEEMASHEEMA MUNICIPALITYKABWOHE DIVISION,KABWOHE DIVISION,"426201",SHEEMA,
ANKOLE,SHEEMA,SHEEMA MUNICIPALITY,KAGANGO DIVISION,"426202",SHEEMASHEEMA MUNICIPALITYKAGANGO DIVISION,KAGANGO DIVISION,"426202",SHEEMA,
ANKOLE,SHEEMA,SHEEMA MUNICIPALITY,KASHOZI DIVISION,"426203",SHEEMASHEEMA MUNICIPALITYKASHOZI DIVISION,KASHOZI DIVISION,"426203",SHEEMA,
ANKOLE,SHEEMA,SHEEMA MUNICIPALITY,SHEEMA CENTRAL DIVISION,"426204",SHEEMASHEEMA MUNICIPALITYSHEEM CENTRAL DIVISION,SHEEMA CENTRAL DIVISION,"426204",SHEEMA,
BUNYORO,KIRYANDONGO,KIBANDA,KIGUMBA TOWN COUNCIL,"421103",KIRYANDONGOKIBANDAKIGUMBA TOWN COUNCIL,KIGUMBA TOWN COUNCIL,"421103",KIRYANDONGO,
BUNYORO,KIRYANDONGO,KIBANDA,KIRYANDONGO TOWN COUNCIL,"421106",KIRYANDONGOKIBANDAKIRYANDONGO TOWN COUNCIL,KIRYANDONGO TOWN COUNCIL,"421106",KIRYANDONGO,
BUNYORO,KIRYANDONGO,KIBANDA,MASINDI PORT,"421107",KIRYANDONGOKIBANDAMASINDI PORT,MASINDI PORT,"421107",KIRYANDONGO,
BUNYORO,KIRYANDONGO,KIBANDA,BWEYALE TOWN COUNCIL,"421101",KIRYANDONGOKIBANDABWEYALE TOWN COUNCIL,BWEYALE TOWN COUNCIL,"421101",KIRYANDONGO,
BUNYORO,BULIISA,BULIISA,BULIISA,"416102",BULIISABULIISABULIISA,BULIISA,"416102",BULIISA,
BUNYORO,BULIISA,BULIISA,BULIISA TOWN COUNCIL,"416103",BULIISABULIISABULIISA TOWN COUNCIL,BULIISA TOWN COUNCIL,"416103",BULIISA,
BUNYORO,BULIISA,BULIISA,BUTIABA,"416104",BULIISABULIISABUTIABA,BUTIABA,"416104",BULIISA,
BUNYORO,KIRYANDONGO,KIBANDA,KIGUMBA,"421102",KIRYANDONGOKIBANDAKIGUMBA,KIGUMBA,"421102",KIRYANDONGO,
TORO,KYENJOJO,MWENGE,BUTIITI,"415103",KYENJOJOMWENGEBUTIITI,BUTIITI,"415103",KYENJOJO,
TORO,KYENJOJO,MWENGE,BUTUNDUZI TOWN COUNCIL,"415105",KYENJOJOMWENGEBUTUNDUZI TC,BUTUNDUZI TOWN COUNCIL,"415105",KYENJOJO,
TORO,KYENJOJO,MWENGE,KATOOKE,"415106",KYENJOJOMWENGEKATOOKE,KATOOKE,"415106",KYENJOJO,
TORO,KYENJOJO,MWENGE,KATOOKE TOWN COUNCIL,"415107",KYENJOJOMWENGEKATOOKE TC,KATOOKE TOWN COUNCIL,"415107",KYENJOJO,
TORO,KYENJOJO,MWENGE,KIHUURA,"415109",KYENJOJOMWENGEKIHUURA,KIHUURA,"415109",KYENJOJO,
TORO,KYENJOJO,MWENGE,KYARUSOZI  TOWN COUNCIL,"415112",KYENJOJOMWENGEKYARUSOZI TC,KYARUSOZI  TOWN COUNCIL,"415112",KYENJOJO,
TORO,KYENJOJO,MWENGE,KYENJOJO TOWN COUNCIL,"415113",KYENJOJOMWENGEKYENJOJO  TC,KYENJOJO TOWN COUNCIL,"415113",KYENJOJO,
BUNYORO,KAGADI,BUYAGA,NDAIGA,"427215",KAGADIBUYAGANDAIGA,NDAIGA,"427215",KAGADI,
BUNYORO,KAGADI,BUYAGA,KIRYANGA,"427206",KAGADIBUYAGAKIRYANGA,KIRYANGA,"427206",KAGADI,
BUNYORO,MASINDI,BURULI,PAKANYI,"409203",MASINDIBUJENJEPAKANYI,PAKANYI,"409203",MASINDI,
TORO,KYENJOJO,MWENGE,NYABUHARWA,"415114",KYENJOJOMWENGENYABUHARWA,NYABUHARWA,"415114",KYENJOJO,
TORO,KYENJOJO,MWENGE,NYANTUNGO,"415116",KYENJOJOMWENGENYANTUNGO,NYANTUNGO,"415116",KYENJOJO,
TORO,KYEGEGWA,KYAKA,KAKABARA,"422103",KYEGEGWAKYAKAKAKABARA,KAKABARA,"422103",KYEGEGWA,
TORO,KYEGEGWA,KYAKA,KYEGEGWA TOWN COUNCIL,"422105",KYEGEGWAKYAKAKYEGEGWA TC,KYEGEGWA TOWN COUNCIL,"422105",KYEGEGWA,
TORO,KYEGEGWA,KYAKA,MPARA,"422106",KYEGEGWAKYAKAMPARA,MPARA,"422106",KYEGEGWA,
BUNYORO,KAGADI,BUYAGA,KAGADI,"427204",KAGADIBUYAGAKAGADI,KAGADI,"427204",KAGADI,
BUNYORO,KAGADI,BUYAGA,RUGASHARI,"427217",KAGADIBUYAGARUGASHARI,RUGASHARI,"427217",KAGADI,
BUNYORO,KAGADI,BUYAGA,KYAKABADIIMA,"427207",KAGADIBUYAGAKYAKABADIIMA,KYAKABADIIMA,"427207",KAGADI,
