"year","sex_id","calibration_group","min_rate","max_rate","expected_rate"
1990,1,"HIV/TB_coinfection_Male",2.37090639168454,13.4285144814661,6.23834352345226
1990,1,"TB_only_Male",59.3657045620618,133.562847752331,91.5368226875236
1990,2,"HIV/TB_coinfection_Female",3.59734863641098,17.6935654766446,8.67341495096791
1990,2,"TB_only_Female",33.6830911385923,85.3479198703258,54.3096995841057
1991,1,"HIV/TB_coinfection_Male",4.36122220213106,23.1667567152825,11.1315821786381
1991,1,"TB_only_Male",58.8191737475608,132.66929019017,90.4740675336862
1991,2,"HIV/TB_coinfection_Female",6.60351409750256,30.8348673395708,15.5048984860102
1991,2,"TB_only_Female",28.8948309712209,73.6853080127964,46.6131205875147
1992,1,"HIV/TB_coinfection_Male",7.72666167465843,37.9334191743655,19.1126951490261
1992,1,"TB_only_Male",54.9332515432472,122.154998360661,83.3596677035195
1992,2,"HIV/TB_coinfection_Female",11.6370330704179,51.2613596821551,26.5827501870917
1992,2,"TB_only_Female",29.4071614395613,75.7635586272264,47.5203478088771
1993,1,"HIV/TB_coinfection_Male",13.2860315775946,57.7326883604594,30.977204708248
1993,1,"TB_only_Male",57.2896882780843,125.373856341456,85.8312462796591
1993,2,"HIV/TB_coinfection_Female",19.6163651691999,77.3287065991555,43.0177311442495
1993,2,"TB_only_Female",21.5888692180868,55.5924198797208,35.1245093468856
1994,1,"HIV/TB_coinfection_Male",21.7143405398167,82.8489139680442,47.2340277550304
1994,1,"TB_only_Male",60.2875398420528,127.382617405674,88.4897063722887
1994,2,"HIV/TB_coinfection_Female",31.6778271986562,111.985320194099,65.3173262439265
1994,2,"TB_only_Female",18.7457347521543,50.2208244026296,31.4198148426994
1995,1,"HIV/TB_coinfection_Male",33.6001100350489,112.343433254908,67.3510640814096
1995,1,"TB_only_Male",64.0943958540419,129.258448730495,91.6121724277505
1995,2,"HIV/TB_coinfection_Female",48.0290302309066,149.875437712706,92.3626940375019
1995,2,"TB_only_Female",14.7200520773082,44.3110798250907,26.7278712976077
1996,1,"HIV/TB_coinfection_Male",47.3349265121205,142.515499856156,87.6928934128125
1996,1,"TB_only_Male",57.2031262636072,115.567948303073,82.012683029657
1996,2,"HIV/TB_coinfection_Female",65.2712290237981,189.662920033797,118.210444020998
1996,2,"TB_only_Female",8.78663369109265,35.1750005289675,19.886701926054
1997,1,"HIV/TB_coinfection_Male",65.7450004116222,196.464273608528,120.865631771653
1997,1,"TB_only_Male",72.785536715133,138.110357880411,101.086568706701
1997,2,"HIV/TB_coinfection_Female",89.5956914778585,258.266089240318,162.147167958244
1997,2,"TB_only_Female",12.0962867100506,45.2276745142653,26.8143295477589
1998,1,"HIV/TB_coinfection_Male",87.3829464037411,262.927786712493,160.770144386069
1998,1,"TB_only_Male",93.079178308458,172.527960351565,127.905072567002
1998,2,"HIV/TB_coinfection_Female",119.862845234033,344.440916658542,215.44009848603
1998,2,"TB_only_Female",12.4819468732528,53.9001994866053,31.2159542070964
1999,1,"HIV/TB_coinfection_Male",105.087092185158,319.883029720178,192.50750596091
1999,1,"TB_only_Male",83.7037698095312,167.341676890983,120.818646594668
1999,2,"HIV/TB_coinfection_Female",143.078484898001,419.098613496108,258.155608280842
1999,2,"TB_only_Female",12.0217340727413,63.1849826958698,35.4705290383157
2000,1,"HIV/TB_coinfection_Male",123.006764566164,386.866402263698,229.991428270891
2000,1,"TB_only_Male",85.6468997284707,182.340757958804,128.53429443822
2000,2,"HIV/TB_coinfection_Female",167.796609306535,508.960568749109,309.395652117042
2000,2,"TB_only_Female",15.8710931733383,79.6684942145243,45.1075058893881
2001,1,"HIV/TB_coinfection_Male",140.69412092828,454.747558189216,266.940439358794
2001,1,"TB_only_Male",86.5925917883691,198.920115554601,136.310532166946
2001,2,"HIV/TB_coinfection_Female",192.166035934162,598.306654057327,360.183013323817
2001,2,"TB_only_Female",18.7266470966887,98.8703742542422,54.6497088110841
2002,1,"HIV/TB_coinfection_Male",162.261322275885,520.449543519489,307.382011351945
2002,1,"TB_only_Male",93.406100615605,219.197627328955,149.097102430912
2002,2,"HIV/TB_coinfection_Female",222.449099375455,696.622553650816,418.022473332389
2002,2,"TB_only_Female",26.9359612515828,123.615167157641,69.8908249768965
2003,1,"HIV/TB_coinfection_Male",183.657202042225,580.855519414766,344.272461275992
2003,1,"TB_only_Male",100.769732378912,239.391703943855,161.67220663543
2003,2,"HIV/TB_coinfection_Female",253.32603424979,788.223157829706,472.772075959969
2003,2,"TB_only_Female",32.8147267294054,145.770498599118,83.6985157791846
2004,1,"HIV/TB_coinfection_Male",196.742014491303,621.022806204252,370.098254537389
2004,1,"TB_only_Male",103.187361429045,251.464211763932,169.391294664367
2004,2,"HIV/TB_coinfection_Female",274.72279959851,852.469447322222,513.610151064752
2004,2,"TB_only_Female",36.201940845902,160.104653086353,91.3494990983096
2005,1,"HIV/TB_coinfection_Male",203.871261462097,643.842066978448,385.465882749314
2005,1,"TB_only_Male",107.178881470274,260.575365814897,175.172085473262
2005,2,"HIV/TB_coinfection_Female",287.094794291893,880.57640055406,536.985272513797
2005,2,"TB_only_Female",32.95157879135,162.865672147421,90.6803188383149
2006,1,"HIV/TB_coinfection_Male",209.502381892169,648.793073204002,392.168096219833
2006,1,"TB_only_Male",112.192934339141,270.844041053233,182.38865175787
2006,2,"HIV/TB_coinfection_Female",293.787494236934,880.265708126941,544.29341157017
2006,2,"TB_only_Female",28.9654677081303,158.609469317491,87.1041187172736
2007,1,"HIV/TB_coinfection_Male",197.606517981484,611.017745763252,372.777128298515
2007,1,"TB_only_Male",102.385822273268,249.171447686322,167.939825533008
2007,2,"HIV/TB_coinfection_Female",273.973517592497,818.619174229636,509.537280848844
2007,2,"TB_only_Female",20.4303418531547,140.278861189775,73.7323473551718
2008,1,"HIV/TB_coinfection_Male",183.327944170711,561.188554571893,345.231339397084
2008,1,"TB_only_Male",98.6763876122458,232.41421552036,158.066994794301
2008,2,"HIV/TB_coinfection_Female",248.629152579841,734.235045573418,461.354501047031
2008,2,"TB_only_Female",16.2404658390865,124.065568050231,64.9045334279081
2009,1,"HIV/TB_coinfection_Male",167.51068401572,507.084345262142,312.923711414745
2009,1,"TB_only_Male",91.1859897659967,211.62726442272,144.705004865258
2009,2,"HIV/TB_coinfection_Female",220.025985462727,651.710848482198,407.007895636586
2009,2,"TB_only_Female",13.0372832991809,106.054224529269,55.0334126866475
2010,1,"HIV/TB_coinfection_Male",153.10329393776,456.273922111641,281.924180062232
2010,1,"TB_only_Male",79.0817868576109,181.780652530325,125.719774957057
2010,2,"HIV/TB_coinfection_Female",195.990528571895,571.19813679373,357.540425153022
2010,2,"TB_only_Female",10.8665824074307,91.6975169354894,46.6273731495867
2011,1,"HIV/TB_coinfection_Male",136.238561745372,400.851881921895,248.524418626408
2011,1,"TB_only_Male",68.4000414949375,154.644633295749,107.368918868559
2011,2,"HIV/TB_coinfection_Female",167.790834079969,482.47919016513,303.637969243951
2011,2,"TB_only_Female",10.736296553096,75.6588911853948,38.9606071653567
2012,1,"HIV/TB_coinfection_Male",115.748128977149,341.735883737315,210.793124788936
2012,1,"TB_only_Male",58.465593407358,128.225620241386,89.943698615033
2012,2,"HIV/TB_coinfection_Female",135.709286273589,390.919250074496,245.091525864681
2012,2,"TB_only_Female",11.1784515258146,63.2500037446269,33.6365353396871
2013,1,"HIV/TB_coinfection_Male",96.83127934154,288.677299920302,177.508773444279
2013,1,"TB_only_Male",49.1523660824994,106.787665429633,74.9693021414748
2013,2,"HIV/TB_coinfection_Female",110.238888498944,322.580319578077,201.211619554502
2013,2,"TB_only_Female",10.4257614634641,52.4739018314735,28.2086384848624
2014,1,"HIV/TB_coinfection_Male",84.1045381949306,251.047613146633,154.460128435419
2014,1,"TB_only_Male",41.9341181163424,91.2733031977322,63.8371713253607
2014,2,"HIV/TB_coinfection_Female",95.2495188508542,281.704151638715,174.508160418487
2014,2,"TB_only_Female",9.22188276552194,43.4262776497873,23.0358539048226
2015,1,"HIV/TB_coinfection_Male",79.2749821102906,239.442248667875,146.649616568401
2015,1,"TB_only_Male",36.8642831257806,84.7793656538526,57.8677533637756
2015,2,"HIV/TB_coinfection_Female",87.8030964777941,264.046937031952,162.218984991986
2015,2,"TB_only_Female",8.07058483260298,37.5919037483365,19.3326066887266
2016,1,"HIV/TB_coinfection_Male",79.2509018874491,246.302588895466,148.977355260936
2016,1,"TB_only_Male",33.1960650850008,82.8072229579607,54.4975218387305
2016,2,"HIV/TB_coinfection_Female",82.9033461259382,258.186567257507,156.088287620416
2016,2,"TB_only_Female",6.93521825534782,33.5443130048798,16.7323605163514
2017,1,"HIV/TB_coinfection_Male",76.0480546756959,239.894615781797,142.796262910335
2017,1,"TB_only_Male",31.1913714965941,81.8622040830871,53.0139112643772
2017,2,"HIV/TB_coinfection_Female",76.7365377778753,243.676862217048,144.440783115642
2017,2,"TB_only_Female",5.67482753734379,30.4291468557645,14.9364952815045
2018,1,"HIV/TB_coinfection_Male",67.4958868527089,214.996540270834,126.600709647271
2018,1,"TB_only_Male",32.2887155001007,83.3346283146891,53.6768862648317
2018,2,"HIV/TB_coinfection_Female",69.4645259771606,221.228302548356,130.284396063969
2018,2,"TB_only_Female",4.72040553388059,31.6174231941683,16.101399587217
