measure,location,sex,age,cause,metric,year,val,upper,lower
6,485,1,8,298,1,1990,427.028591286082,923.4762334026572,159.78199830397426
6,485,2,8,298,1,1990,3400.917766662975,5717.455261937363,1802.1946130599276
6,485,1,9,298,1,1990,734.3197674463615,1641.4904109718773,280.12757759626766
6,485,2,9,298,1,1990,3194.806095259186,5416.691944125729,1639.1552302911282
6,485,1,10,298,1,1990,1993.9185860445602,2994.512187344007,1263.3055597852133
6,485,2,10,298,1,1990,3328.0409370084813,4794.98347040482,2183.4862140910996
6,485,1,11,298,1,1990,2033.1227916064672,3202.88289728139,1145.4166410623982
6,485,2,11,298,1,1990,1725.8693815775591,2767.554198714677,999.2602230505058
6,485,1,12,298,1,1990,1532.029710963088,2586.5565432985877,771.4885059097218
6,485,2,12,298,1,1990,1283.1207890949806,1928.3275867662217,789.8306041892508
6,485,1,13,298,1,1990,716.8577926007863,1234.4926454738884,361.0011987789976
6,485,2,13,298,1,1990,853.8128386843621,1311.4661857788512,482.4811555175731
6,485,1,14,298,1,1990,435.0369245739832,763.5687533344388,212.76044498352925
6,485,2,14,298,1,1990,594.5948338651859,919.4529356027501,353.0244476628893
6,485,1,15,298,1,1990,258.2160263581055,453.02200899369006,125.14791134073432
6,485,2,15,298,1,1990,395.50529352849566,613.2421335988772,233.19745259783946
6,485,1,16,298,1,1990,155.55912425578177,273.1862025109233,75.54037591494173
6,485,2,16,298,1,1990,234.09334054840724,363.3290867397734,138.12295242812445
6,485,1,8,298,1,1991,712.3588237435217,1509.1429628291721,272.8426539463966
6,485,2,8,298,1,1991,5607.2912788283,9489.990397148558,3146.0923497554672
6,485,1,9,298,1,1991,1224.1479081470104,2729.056978923174,481.0794557757314
6,485,2,9,298,1,1991,5255.091373705173,8706.846700926588,2843.115890704381
6,485,1,10,298,1,1991,3304.4974159777976,4927.996390229398,2126.9971703171677
6,485,2,10,298,1,1991,5505.902182284771,7795.477611550587,3701.695540475584
6,485,1,11,298,1,1991,3386.162225477392,5289.517698943447,1958.2710445809998
6,485,2,11,298,1,1991,2898.532497496521,4605.795016334051,1708.6564856100103
6,485,1,12,298,1,1991,2554.9696334848813,4213.155624136003,1336.7580017206124
6,485,2,12,298,1,1991,2170.636533829705,3257.727185671008,1365.3515894096006
6,485,1,13,298,1,1991,1215.9031697179707,2076.472737915052,610.372222629192
6,485,2,13,298,1,1991,1426.595842398412,2206.240955836969,809.4296259624424
6,485,1,14,298,1,1991,729.9222340879741,1267.7317712572967,366.3052855667749
6,485,2,14,298,1,1991,1002.5104842421493,1543.312391515893,611.558272661184
6,485,1,15,298,1,1991,438.2584466733142,761.6817680830073,217.25468305458725
6,485,2,15,298,1,1991,666.3229586339793,1032.8260803732858,402.1305894233298
6,485,1,16,298,1,1991,255.6046634987875,445.0402237463207,126.87351330247245
6,485,2,16,298,1,1991,387.9654065612812,601.850221602269,233.9135373047081
6,485,1,8,298,1,1993,1604.0763615735204,3371.8989560270247,618.9374878373517
6,485,2,8,298,1,1993,12253.41061845197,20183.369230365064,7119.143361739757
6,485,1,9,298,1,1993,2802.19316362113,5926.448312110357,1139.827734097903
6,485,2,9,298,1,1993,11558.957718574335,18382.421468469187,6641.709719429047
6,485,1,10,298,1,1993,7387.421667554818,11077.790789106395,4923.266335294833
6,485,2,10,298,1,1993,12088.096394097973,16333.066560290934,8610.579374366682
6,485,1,11,298,1,1993,7584.45688963118,11570.53320911896,4600.708922764214
6,485,2,11,298,1,1993,6625.467283196733,10151.956135493681,4091.6747803377066
6,485,1,12,298,1,1993,5745.977039379301,9390.518688483127,3177.632725215324
6,485,2,12,298,1,1993,5035.431362628283,7369.973017129671,3266.7341173805753
6,485,1,13,298,1,1993,2801.2781190028777,4796.65519752473,1456.5976315168293
6,485,2,13,298,1,1993,3306.4385526287774,5037.58942129503,1967.8446077211959
6,485,1,14,298,1,1993,1702.8577948024827,3028.1560753362714,881.6921753610045
6,485,2,14,298,1,1993,2336.169112204576,3479.1086917433786,1468.658507085124
6,485,1,15,298,1,1993,1013.1127399094627,1808.3837934389924,518.5498164311109
6,485,2,15,298,1,1993,1503.1988796200803,2244.1836877831506,940.2522040542934
