measure,gender,category,mean,max,min
incidence,both,all_categories,1896,2216,1473
incidence,both,HIV_neg_female,252,299,192
incidence,both,HIV_neg_male,305,362,233
incidence,both,HIV_pos_female,908,1053,715
incidence,both,HIV_pos_male,430,502,333
prevalence,both,all_categories,2873,3339,2262
prevalence,both,HIV_neg_female,467,548,362
prevalence,both,HIV_neg_male,538,635,412
prevalence,both,HIV_pos_female,1315,1520,1047
prevalence,both,HIV_pos_male,553,636,441
incidence,female,all_categories,2151,2507,1682
incidence,female,HIV_neg_female,468,554,357
incidence,female,HIV_pos_female,1683,1953,1326
prevalence,female,all_categories,3305,3835,2613
prevalence,female,HIV_neg_female,866,1017,671
prevalence,female,HIV_pos_female,2439,2818,1943
incidence,male,all_categories,1597,1875,1229
incidence,male,HIV_neg_male,663,785,505
incidence,male,HIV_pos_male,934,1089,723
prevalence,male,all_categories,2367,2760,1851
prevalence,male,HIV_neg_male,1167,1379,894
prevalence,male,HIV_pos_male,1200,1380,957
incidence,both,HIV_neg,557,661,425
incidence,both,HIV_pos,1338,1555,1048
prevalence,both,HIV_neg,1005,1183,774
prevalence,both,HIV_pos,1868,2156,1488
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
